tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
jk.10a	jk.10a_LP-DIR-T	jk.10a		Hmt	329.2	12.5	2.0	11.0	100.0	2.1	12.1	955.0	903.0	K		hargrave 2024-03-20 18:56:47	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.10a	jk.10a_LP-DIR-T	jk.10a		Mgt	304.1	-53.9	2.0	11.0	0.0	48.4	2.9	853.0	723.0	K		hargrave 2024-03-20 18:56:47	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.10a		jk.10a																	This study	LP-NOMAG				Jasper Knob	jk
jk.10a	jk.10a_LP-DIR-T	jk.10a		Mgt	242.5	-52.4	2.0	11.0	100.0	48.4	2.9	853.0	723.0	K		hargrave 2024-03-20 18:56:47	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.10a	jk.10a_LP-DIR-T	jk.10a		Hmt	312.8	43.8	2.0	11.0	0.0	2.1	12.1	955.0	903.0	K		hargrave 2024-03-20 18:56:47	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.11a	jk.11a_LP-DIR-T	jk.11a		Hmt	80.9	-52.3	2.0	9.0	0.0	2.9	5.1	959.0	943.0	K		hargrave 2024-03-21 15:15:46	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.11a	jk.11a_LP-DIR-T	jk.11a		Mgt	78.1	-33.9	2.0	10.0	0.0	11.7	8.4	853.0	773.0	K		hargrave 2024-03-21 15:15:46	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.11a	jk.11a_LP-DIR-T	jk.11a		Hmt	58.8	-35.2	2.0	9.0	100.0	2.9	5.1	959.0	943.0	K		hargrave 2024-03-21 15:15:46	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.11a	jk.11a_LP-DIR-T	jk.11a		Mgt	66.5	-18.0	2.0	10.0	100.0	11.7	8.4	853.0	773.0	K		hargrave 2024-03-21 15:15:46	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.11a		jk.11a																	This study	LP-NOMAG				Jasper Knob	jk
jk.12a	jk.12a_LP-DIR-T	jk.12a		Mgt	268.2	-39.6	1.0	9.0	0.0	17.4	4.3	853.0	773.0	K		hargrave 2024-03-20 09:41:40	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.12a		jk.12a																	This study	LP-NOMAG				Jasper Knob	jk
jk.12a	jk.12a_LP-DIR-T	jk.12a		Mgt	313.1	-49.9	1.0	9.0	100.0	17.4	4.3	853.0	773.0	K		hargrave 2024-03-20 09:41:40	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.13a	jk.13a_LP-DIR-T	jk.13a		Hmt	20.8	61.1	2.0	9.0	0.0	2.6	3.5	959.0	943.0	K		hargrave 2024-03-21 15:16:56	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.13a	jk.13a_LP-DIR-T	jk.13a		Mgt	95.5	64.9	2.0	10.0	0.0	27.4	16.4	853.0	773.0	K		hargrave 2024-03-21 15:16:56	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.13a	jk.13a_LP-DIR-T	jk.13a		Hmt	17.7	26.2	2.0	9.0	100.0	2.6	3.5	959.0	943.0	K		hargrave 2024-03-21 15:16:56	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.13a		jk.13a																	This study	LP-NOMAG				Jasper Knob	jk
jk.13a	jk.13a_LP-DIR-T	jk.13a		Mgt	50.3	44.9	2.0	10.0	100.0	27.4	16.4	853.0	773.0	K		hargrave 2024-03-21 15:16:56	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.14a		jk.14a																	This study	LP-NOMAG				Jasper Knob	jk
jk.15a	jk.15a_LP-DIR-T	jk.15a		Hmt	293.6	-53.7	2.0	5.0	0.0	1.0	3.2	951.0	943.0	K		hargrave 2024-03-20 14:25:42	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.15a	jk.15a_LP-DIR-T	jk.15a		Mgt	294.3	-41.3	2.0	7.0	0.0	6.0	6.4	853.0	798.0	K		hargrave 2024-03-20 14:25:42	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.15a	jk.15a_LP-DIR-T	jk.15a		Hmt	243.5	-40.8	2.0	5.0	100.0	1.0	3.2	951.0	943.0	K		hargrave 2024-03-20 14:25:42	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.15a	jk.15a_LP-DIR-T	jk.15a		Mgt	257.5	-35.1	2.0	7.0	100.0	6.0	6.4	853.0	798.0	K		hargrave 2024-03-20 14:25:42	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.15a		jk.15a																	This study	LP-NOMAG				Jasper Knob	jk
jk.16a	jk.16a_LP-DIR-T	jk.16a		Mgt	196.0	-44.4	2.0	9.0	0.0	3.0	12.5	853.0	723.0	K		hargrave 2024-03-20 14:26:49	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.16a	jk.16a_LP-DIR-T	jk.16a		Hmt	205.3	-74.9	2.0	6.0	100.0	2.0	2.0	953.0	943.0	K		hargrave 2024-03-20 14:26:49	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.16a	jk.16a_LP-DIR-T	jk.16a		Hmt	199.9	-53.0	2.0	6.0	0.0	2.0	2.0	953.0	943.0	K		hargrave 2024-03-20 14:26:49	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.16a		jk.16a																	This study	LP-NOMAG				Jasper Knob	jk
jk.16a	jk.16a_LP-DIR-T	jk.16a		Mgt	196.2	-66.4	2.0	9.0	100.0	3.0	12.5	853.0	723.0	K		hargrave 2024-03-20 14:26:49	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.18a	jk.18a_LP-DIR-T	jk.18a		Hmt	320.0	58.4	2.0	9.0	0.0	9.1	21.8	953.0	923.0	K		hargrave 2024-03-20 14:27:57	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.18a	jk.18a_LP-DIR-T	jk.18a		Hmt	352.7	10.7	2.0	9.0	100.0	9.1	21.8	953.0	923.0	K		hargrave 2024-03-20 14:27:57	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.18a	jk.18a_LP-DIR-T	jk.18a		Mgt	19.5	-6.9	2.0	11.0	100.0	13.3	4.0	853.0	723.0	K		hargrave 2024-03-20 14:27:57	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.18a		jk.18a																	This study	LP-NOMAG				Jasper Knob	jk
jk.18a	jk.18a_LP-DIR-T	jk.18a		Mgt	19.0	54.1	2.0	11.0	0.0	13.3	4.0	853.0	723.0	K		hargrave 2024-03-20 14:27:57	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.19a		jk.19a																	This study	LP-NOMAG				Jasper Knob	jk
jk.19a	jk.19a_LP-DIR-T	jk.19a		Mgt	257.2	-44.3	2.0	8.0	0.0	18.0	4.2	853.0	798.0	K		hargrave 2024-03-21 08:40:02	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.19a	jk.19a_LP-DIR-T	jk.19a		Mgt	290.6	-57.5	2.0	8.0	100.0	18.0	4.2	853.0	798.0	K		hargrave 2024-03-21 08:40:02	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.19a	jk.19a_LP-DIR-T	jk.19a		Hmt	351.8	-69.5	2.0	6.0	100.0	2.7	8.8	953.0	943.0	K		hargrave 2024-03-21 08:40:02	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.19a	jk.19a_LP-DIR-T	jk.19a		Hmt	254.6	-72.6	2.0	6.0	0.0	2.7	8.8	953.0	943.0	K		hargrave 2024-03-21 08:40:02	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.20a	jk.20a_LP-DIR-T	jk.20a		Mgt	275.7	-48.1	2.0	10.0	0.0	2.3	4.3	853.0	773.0	K		hargrave 2024-03-21 15:18:04	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.20a	jk.20a_LP-DIR-T	jk.20a		Hmt	315.8	-2.3	2.0	7.0	100.0	6.4	8.0	959.0	947.0	K		hargrave 2024-03-21 15:18:04	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.20a	jk.20a_LP-DIR-T	jk.20a		Mgt	314.8	-2.6	2.0	10.0	100.0	2.3	4.3	853.0	773.0	K		hargrave 2024-03-21 15:18:04	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Jasper Knob	jk
jk.20a		jk.20a																	This study	LP-NOMAG				Jasper Knob	jk
jk.20a	jk.20a_LP-DIR-T	jk.20a		Hmt	276.5	-49.0	2.0	7.0	0.0	6.4	8.0	959.0	947.0	K		hargrave 2024-03-21 15:18:04	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.21a	jk.21a_LP-DIR-T	jk.21a		Hmt	339.2	-79.3	2.0	13.0	0.0	0.5	4.8	959.0	913.0	K		hargrave 2024-03-21 15:21:17	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
jk.21a	jk.21a_LP-DIR-T	jk.21a		Mgt	216.8	-80.9	2.0	10.0	0.0	15.3	15.1	853.0	773.0	K		hargrave 2024-03-21 15:21:17	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Jasper Knob	jk
