localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, lineationType, plunge, plungeAzimuth, declination, unitId, timedate, notes
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 89ddcb87bbbfd1c6ab197aebdcf6d174, 452210.28770066, 5149600.42753536, 46.49827806, -87.62279520, 16T, 8.00000000, 5.00000000, -1.00000000, Fold Axis, 51.75546265, 285.95776367, -2.65357494, Negaunee , Sun Jul 18 14:06:52 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 8ae7220bdbc517838a91c77212a61289, 452214.10715439, 5149599.45202610, 46.49826955, -87.62274533, 16T, 4.00000000, 5.00000000, -1.00000000, Fold Axis, 44.89352798, 284.06570435, -2.65357494, Negaunee , Sun Jul 18 13:53:43 2021, Jackson pit park
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 2b214483831dc616b1f9a2a011dfc1b2, 449656.08065637, 5148468.09398626, 46.48790214, -87.65595691, 16T, 10.22760292, 100.67400850, -1.00000000, Fold Axis, 7.12663555, 80.86696625, -2.65357494, Negaunee , Sun Jul 18 11:57:26 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 0c0ccc0f395137058c515507fe15894d, 449760.97712038, 5148369.66168059, 46.48702418, -87.65457963, 16T, 6.00000000, 5.00000000, -1.00000000, Fold Axis, 6.92055607, 105.35311127, -2.65357494, Negaunee , Sun Jul 18 11:56:59 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, baa3105c9fa9efa48f857312ac032f45, 449764.72147379, 5148368.11243046, 46.48701052, -87.65453068, 16T, 4.00000000, 5.00000000, -1.00000000, Fold Axis, 14.57360172, 111.95932007, -2.65357494, Negaunee , Sun Jul 18 11:56:17 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, bfea71f32419f2923779c8723892fb51, 449762.22888162, 5148366.99674068, 46.48700029, -87.65456303, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 16.92938042, 95.27364349, -2.65357494, Negaunee , Sun Jul 18 11:54:43 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, cf06c64918c87ac2ff557041973a2c8e, 449764.05261383, 5148367.36351577, 46.48700373, -87.65453931, 16T, 4.00000000, 5.00000000, -1.00000000, Fold Axis, 41.28134537, 88.45652771, -2.65357494, Negaunee , Sun Jul 18 11:54:21 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 8ea88638baebb36df97451928ebcd32c, 449756.21231559, 5148335.01945971, 46.48671208, -87.65463796, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 38.86489105, 82.83577728, -2.65357494, Negaunee , Sun Jul 18 11:45:06 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, b1be59ef1efd0d21f5c348e83ade854d, 449765.23214504, 5148337.34315046, 46.48673366, -87.65452070, 16T, 6.00000000, 5.00000000, -1.00000000, Fold Axis, 42.94884491, 95.49324036, -2.65357494, Negaunee , Sun Jul 18 11:43:26 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 09a71f95fc8fb1ccbe9a1d6efde6e9c6, 449762.29556918, 5148338.55039322, 46.48674431, -87.65455909, 16T, 12.00000000, 10.00000000, -1.00000000, Fold Axis, 20.72230530, 71.92272949, -2.65357494, Negaunee , Sun Jul 18 11:16:43 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 937b24a8afd9b986af650c8889b3295f, 449762.46691395, 5148364.66619976, 46.48697934, -87.65455968, 16T, 4.00000000, 5.00000000, -1.00000000, Fold Axis, 16.95090675, 93.49185944, -2.65357494, Negaunee , Sun Jul 18 11:13:15 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, c1dc2e894b0509f39184e7cf55e0bb78, 449764.98716853, 5148366.01451733, 46.48699166, -87.65452699, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 22.88217163, 100.59265137, -2.65357494, Negaunee , Sun Jul 18 11:10:43 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 0a51876753350e7e2c61d01686bc17b0, 449763.85306168, 5148366.57345573, 46.48699660, -87.65454182, 16T, 4.00000000, 5.00000000, -1.00000000, Fold Axis, 24.23497772, 100.21102905, -2.65357494, Negaunee , Sun Jul 18 11:09:54 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 3ba50511fe88617f396db60721d46b15, 449771.04341156, 5148365.51260206, 46.48698759, -87.65444803, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 28.65024185, 85.16049194, -2.65357494, Negaunee , Sun Jul 18 11:07:23 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, db9b0cafbc2b7984f912818d058e0780, 449771.04341156, 5148365.51260206, 46.48698759, -87.65444803, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 47.07998276, 82.03426361, -2.65357494, Negaunee , Sun Jul 18 11:06:16 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, dafc8f626a0a665b8de74c1dc9cb7e77, 449771.90973165, 5148362.91605718, 46.48696429, -87.65443646, 16T, 4.00000000, 5.00000000, -1.00000000, Fold Axis, 33.52347183, 52.61243439, -2.65357494, Negaunee , Sun Jul 18 11:05:07 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, ae9cade5b02b7d9725bb5629e915908b, 449771.19057371, 5148363.08501443, 46.48696576, -87.65444585, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 40.00684738, 55.53021622, -2.65357494, Negaunee , Sun Jul 18 11:04:04 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 0ec77787e0c0cd2ed3d764167c344cfb, 449767.77171918, 5148364.31953565, 46.48697661, -87.65449053, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 27.10519600, 77.87256622, -2.65357494, Negaunee , Sun Jul 18 11:02:15 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 3356ead6a75d90ec12cf5113918b5f7e, 449769.12971248, 5148363.60505772, 46.48697028, -87.65447276, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 29.81318474, 92.95550537, -2.65357494, Negaunee , Sun Jul 18 10:58:45 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, 49b978cd617b8b32b4751cdbc014a1b2, 449769.72637121, 5148363.40451507, 46.48696852, -87.65446496, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 33.38173676, 99.79078674, -2.65357494, Negaunee , Sun Jul 18 10:57:51 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, f0824a43dc9cee8caebd1bfc3cc3b665, 449770.17617900, 5148359.45619348, 46.48693303, -87.65445868, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 32.63070297, 99.03646851, -2.65357494, Negaunee , Sun Jul 18 10:57:31 2021, 
c2018fedd00ac52108fda61f0bf8177a, Locality 1, c956b6d5b04782c5f45ced1ab2700b13, 449769.81289496, 5148363.75308359, 46.48697167, -87.65446387, 16T, 3.00000000, 5.00000000, -1.00000000, Fold Axis, 35.15328979, 83.27426147, -2.65357494, Negaunee , Sun Jul 18 10:57:17 2021, Fold axis
c2018fedd00ac52108fda61f0bf8177a, Locality 1, f8797bb0ffa1a02c8fac22b8f4b650aa, 336119.80722324, 5141713.91034965, 46.40911695, -89.13222441, 16T, 6.00000000, 5.00000000, -1.00000000, Lineation, 5.16454220, 188.51365662, -2.65357494, Siemens Creek, Tue Jul 13 13:31:32 2021, 
