localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 7faeee9ef65088519240ab3200851c4f, 457801.44630809, 5142644.55241311, 46.43605433, -87.54930485, 16T, 3.55649515, 4.60172569, -1.00000000, Bedding, 10.18539238, 306.53369141, 216.53369141, -4.47149658, Negaunee, Sun Jul 30 12:19:22 2023, Same surface as NF9-6
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 5a1b242c581f2238df46da2b21e940a3, 457739.27373920, 5142654.74573815, 46.43614217, -87.55011505, 16T, 4.00000000, 3.53553391, -1.00000000, Bedding, 5.83404160, 189.67677307, 99.67677307, -4.47149658, Negaunee, Sun Jul 30 12:07:20 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 43e0f4b4a5247924c4a2a2e5d4604870, 457802.93054800, 5142639.44733778, 46.43600848, -87.54928507, 16T, 3.00000000, 3.53553391, -1.00000000, Bedding, 11.30127430, 222.40647888, 132.40647888, -4.47149658, Negaunee, Sun Jul 30 11:32:00 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, e7293b21c169c5baffcdaae8fe0cfac5, 457800.65817928, 5142645.11672909, 46.43605936, -87.54931516, 16T, 4.02432755, 4.20995848, -1.00000000, Bedding, 9.92645168, 327.87408447, 237.87408447, -4.47149658, Negaunee, Sun Jul 30 11:15:39 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 09748ba604e046ebd82e971aadd028c9, 457882.07388558, 5142635.20039211, 46.43597520, -87.54825451, 16T, 3.55649548, 4.60172543, -1.00000000, Bedding, 30.46508789, 342.00921631, 252.00921631, -4.47149658, Negaunee, Sun Jul 30 10:33:21 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, acde19aca35ef83670d9c0c3d98aa7c6, 457883.21506343, 5142635.40204469, 46.43597709, -87.54823968, 16T, 3.55649548, 4.60172543, -1.00000000, Bedding, 24.86885071, 337.18939209, 247.18939209, -4.47149658, Negaunee, Sun Jul 30 10:33:09 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 5dc31346c6f3ba66423bdab429e88485, 457881.73158163, 5142630.41070757, 46.43593208, -87.54825854, 16T, 6.00000000, 4.01682338, -1.00000000, Bedding, 23.90352249, 341.62536621, 251.62536621, -4.47149658, Negaunee, Sun Jul 30 10:31:26 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 65fbb5d2c8b6b76f5741b3bb8ab29952, 457887.08331169, 5142625.84699301, 46.43589134, -87.54818846, 16T, 3.55649555, 4.60172537, -1.00000000, Bedding, 30.01054955, 322.72994995, 232.72994995, -4.47149658, Negaunee, Sun Jul 30 10:22:34 2023, Same as nf10-2
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 246820ec39d5bc26878a9e7813f2165d, 457884.69934807, 5142619.14812060, 46.43583091, -87.54821889, 16T, 6.00000000, 5.57260836, -1.00000000, Bedding, 37.78696060, 337.36584473, 247.36584473, -4.47149658, Negaunee, Sun Jul 30 10:22:25 2023, NF10-1
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 0573f48dd3c6d15f40b1efaaf53bfd6b, 457888.82066102, 5142622.94652665, 46.43586535, -87.54816559, 16T, 3.40140684, 4.71751720, -1.00000000, Bedding, 29.40835190, 293.08316040, 203.08316040, -4.47149658, Negaunee, Sun Jul 30 10:11:04 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, f1cd1d5e82e39a8e0de741cf9cf53cff, 457891.11400219, 5142623.37666264, 46.43586936, -87.54813578, 16T, 3.38431294, 4.72979523, -1.00000000, Bedding, 15.31485844, 299.64181519, 209.64181519, -4.47149658, Negaunee, Sun Jul 30 10:10:47 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 8837509a1a8635a48dcf5b7da6be9925, 457878.91563498, 5142631.06358635, 46.43593778, -87.54829525, 16T, 12.00000000, 7.60800291, -1.00000000, Bedding, 61.82449341, 8.69188690, 278.69189453, -4.47149658, Negaunee, Sun Jul 30 10:10:04 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, b71cd83d845eaf9553250e018f6cba4b, 457797.72187751, 5142646.98130335, 46.43607595, -87.54935355, 16T, 3.00000000, 3.53553391, -1.00000000, Bedding, 56.04154587, 9.97370720, 279.97369385, -4.47149658, Negaunee, Sun Jul 30 09:36:16 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 97f0948aabecff083438dba3567d4bd4, 457801.94381116, 5142638.30391219, 46.43599813, -87.54929781, 16T, 3.00000000, 3.53553391, -1.00000000, Bedding, 15.17548752, 238.61691284, 148.61691284, -4.47149658, Negaunee, Sun Jul 30 09:33:10 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 234cb77d911e835a37d8c6d450a6c838, 457803.56394633, 5142637.92941081, 46.43599486, -87.54927669, 16T, 4.00000000, 3.53553391, -1.00000000, Bedding, 16.36429214, 222.85328674, 132.85328674, -4.47149658, Negaunee, Sun Jul 30 09:32:52 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 9d033507317afaab26cf71d78f17d73f, 457831.07775829, 5142640.67409053, 46.43602128, -87.54891880, 16T, 0.00000000, -1.00000000, -1.00000000, Bedding, 22.33247566, 248.45585632, 158.45585632, -4.47149658, Negaunee, Sun Jul 30 08:55:30 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 0e2cf2162bb731ee753c5ac7016a468d, 457833.45604370, 5142645.38726166, 46.43606384, -87.54888827, 16T, 0.00000000, -1.00000000, -1.00000000, Bedding, 14.92573643, 298.82778931, 208.82778931, -4.47149658, Negaunee, Sun Jul 30 08:55:01 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 7e9d0d252d411b074771c7079a5cbf28, 457831.51101129, 5142645.34022306, 46.43606330, -87.54891358, 16T, 0.00000000, -1.00000000, -1.00000000, Bedding, 20.68896294, 314.18600464, 224.18600464, -4.47149658, Negaunee, Sun Jul 30 08:54:46 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, 44d64d8549a73d728cefa834baa7f5e0, 443544.82689654, 5145428.55637218, 46.46006544, -87.73520882, 16T, 3.36678031, 4.74229136, -1.00000000, Bedding, 76.22942352, 211.05430603, 121.05430603, -4.47149658, Goodrich, Sat Jul 29 08:56:09 2023, 
f013c9f0414c21b97e916be55e9b2bdc, New Richmond Mine, d4efecffe139c89d77ae46cbd80f2271, 443550.42697003, 5145428.81122824, 46.46006820, -87.73513593, 16T, 3.32502573, 4.77166018, -1.00000000, Bedding, 80.63655090, 222.07342529, 132.07342529, -4.47149658, Goodrich, Sat Jul 29 08:55:15 2023, 
