localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, cb3caca4486ee10e9e5afa0302312089, 442060.61324452, 5068184.62922186, 45.76479096, -87.74510815, 16T, 3.21371496, 4.84732640, -1.00000000, Bedding, 73.63227081, 169.03823853, 79.03823853, -4.33847046, Vulcan IF , Tue Jul 20 11:03:51 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 300254fe2fabf1993831763d904eef58, 442061.29746730, 5068184.39500214, 45.76478891, -87.74509932, 16T, 3.28340819, 4.80039245, -1.00000000, Bedding, 67.45264435, 172.93731689, 82.93731689, -4.33847046, Vulcan IF , Tue Jul 20 11:03:45 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, b718fd52cb4fb5dc2796b1ea7a05e2ac, 442060.57902641, 5068184.05176491, 45.76478576, -87.74510852, 16T, 3.35450754, 4.75098055, -1.00000000, Bedding, 70.35830688, 178.07833862, 88.07833862, -4.33847046, Vulcan IF , Tue Jul 20 11:03:33 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 43b0e1040e46956aa7e099b68ad74718, 442060.51328850, 5068185.92954542, 45.76480265, -87.74510959, 16T, 3.40663730, 4.71374154, -1.00000000, Bedding, 74.96978760, 173.71562195, 83.71562195, -4.33847046, Vulcan IF , Tue Jul 20 11:03:27 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 527e0bdc635ebd4cf1b216b477037759, 442059.06122733, 5068186.57941016, 45.76480838, -87.74512834, 16T, 3.45137147, 4.68108663, -1.00000000, Bedding, 72.92462921, 172.94419861, 82.94419861, -4.33847046, Vulcan IF , Tue Jul 20 11:03:23 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, df47b83a029f1844a8adabb36364bbb4, 442058.21443567, 5068185.61046560, 45.76479959, -87.74513911, 16T, 3.49840048, 4.64604467, -1.00000000, Bedding, 70.27883148, 174.34323120, 84.34323120, -4.33847046, Vulcan IF , Tue Jul 20 11:03:16 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 35498a0ae1895e90239be3ea1f39b2bc, 442059.02434287, 5068186.69608049, 45.76480943, -87.74512883, 16T, 3.52764365, 4.62388012, -1.00000000, Bedding, 70.84054565, 177.71725464, 87.71725464, -4.33847046, Vulcan IF , Tue Jul 20 11:03:12 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 39a9175855bb41686c780bcfd9178730, 442058.73584783, 5068187.91541695, 45.76482038, -87.74513268, 16T, 3.54396289, 4.61138418, -1.00000000, Bedding, 74.78937531, 174.32777405, 84.32777405, -4.33847046, Vulcan IF , Tue Jul 20 11:03:08 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 71db4bb576b5b87f89be0982f78e8f65, 442059.60691782, 5068189.06908015, 45.76483083, -87.74512162, 16T, 3.54653209, 4.60940855, -1.00000000, Bedding, 72.14271545, 175.46434021, 85.46434021, -4.33847046, Vulcan IF , Tue Jul 20 11:03:04 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 13f2706ce4ace84609bdd6a33800bb44, 442059.53194907, 5068189.92797334, 45.76483856, -87.74512269, 16T, 3.68401081, 4.66160116, -1.00000000, Bedding, 67.81312561, 172.59883118, 82.59883118, -4.33847046, Vulcan IF , Tue Jul 20 11:02:57 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 80f4a967aa3a15c8d4653b1903d9ac5e, 442060.06318562, 5068189.94173761, 45.76483872, -87.74511586, 16T, 3.75745309, 4.73548099, -1.00000000, Bedding, 73.96572876, 175.09919739, 85.09919739, -4.33847046, Vulcan IF , Tue Jul 20 11:02:53 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, d59366601dc7783a593d0da87e56771f, 442054.11412913, 5068190.44161168, 45.76484272, -87.74519242, 16T, 14.95039644, 10.95700372, -1.00000000, Bedding, 74.23101044, 174.66510010, 84.66510010, -4.33847046, Vulcan IF , Tue Jul 20 10:14:46 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 8797ecc191c39f262fb05660ef7a0f52, 442051.20996487, 5068196.05932751, 45.76489304, -87.74523044, 16T, 19.35173366, 18.07423230, -1.00000000, Bedding, 71.23860168, 179.19694519, 89.19694519, -4.33847046, Vulcan IF , Tue Jul 20 10:14:41 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 124b48525ecfaf40a09ac243827a40e7, 422858.59435241, 5073462.12626210, 45.81040780, -87.99285880, 16T, 3.09047913, 4.92681193, -1.00000000, Overturned bedding, 59.04452896, 32.81613541, 302.81613159, -4.33847046, Briars Slate Mb, Mon Jul 19 11:25:33 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 59e5d0081907f1923689a560f9868f7e, 422860.33995122, 5073463.82877401, 45.81042332, -87.99283661, 16T, 2.08937426, 7.00042704, -1.00000000, Overturned bedding, 56.24955368, 33.32375717, 303.32376099, -4.33847046, Briars Slate Mb, Mon Jul 19 11:25:19 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 55c28ca2c9f37a2446577ca311d7afdb, 422858.00037955, 5073462.67631777, 45.81041269, -87.99286653, 16T, 3.13822292, 4.89653897, -1.00000000, Overturned bedding, 52.75046539, 28.09812927, 298.09814453, -4.33847046, Briars Slate Mb, Mon Jul 19 11:25:10 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 2460f43b0b09b6b1b8a454be0aa3d299, 422867.62155915, 5073466.85309521, 45.81045135, -87.99274339, 16T, 3.34375804, 4.75855222, -1.00000000, Overturned bedding, 61.42890549, 33.78184128, 303.78182983, -4.33847046, Briars Slate Mb, Mon Jul 19 09:50:05 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 958460828410b3e7002b3cde83dd6104, 422869.81332731, 5073460.29076496, 45.81039254, -87.99271413, 16T, 3.24373677, 4.82728793, -1.00000000, Overturned bedding, 52.53310013, 36.64533615, 306.64532471, -4.33847046, Briars Slate Mb, Mon Jul 19 09:49:47 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 470aae7e0283a7535bee827fcdee1555, 422862.28461029, 5073453.30989692, 45.81032888, -87.99280990, 16T, 3.33614506, 4.76389265, -1.00000000, Overturned bedding, 53.18318176, 37.83171463, 307.83172607, -4.33847046, Briars Slate Mb, Mon Jul 19 09:49:15 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 99a994867bb63fab1fdbf17d032224cd, 422862.26288666, 5073458.48927733, 45.81037548, -87.99281101, 16T, 3.29228223, 4.79431066, -1.00000000, Overturned bedding, 56.15673065, 38.79320908, 308.79321289, -4.33847046, Briars Slate Mb, Mon Jul 19 09:48:42 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 6a8d6abda8665d4ad723eab28717a4a7, 422862.45979496, 5073457.23424116, 45.81036421, -87.99280827, 16T, 3.19887460, 4.85713273, -1.00000000, Overturned bedding, 49.03274536, 37.56769943, 307.56768799, -4.33847046, Briars Slate Mb, Mon Jul 19 09:48:32 2021, 
38f812ab9dc1ac45f7f3f04dc919b7a4, Locality 1, 2a8987b6d828ea26f9c7c7de0cb95edc, 452234.39704602, 5149613.42064273, 46.49839669, -87.62248236, 16T, 3.28893793, 4.79660550, -1.00000000, Bedding, 60.36096954, 195.51658630, 105.51658630, -4.33847046, Naguanee IF, Sun Jul 18 16:16:04 2021, 
