,238U/206Pb,238U/206Pb 2SE(int),238U/206Pb 2SE(prop),206Pb/238U,206Pb/238U 2SE(int),206Pb/238U 2SE(prop),207Pb/235U,207Pb/235U 2SE(int),207Pb/235U 2SE(prop),207Pb/206Pb,207Pb/206Pb 2SE(int),207Pb/206Pb 2SE(prop),Err Corr 7/6 v 8/6,Err  Corr 6/8 v 7/5
HFO-47,8.162392363,0.046227974,0.249126438,0.122550689,0.000700831,0.003776839,15.50543243,0.086244252,0.466142208,0.91905478,0.046227974,0.004274071,0.386309281,0.685388235
HFO-48,8.241291438,0.043114247,0.245398518,0.121212011,0.000635684,0.003618198,15.34412437,0.079298197,0.461272596,0.917476936,0.043114247,0.004350633,0.449008895,0.682515466
HFO-5,8.159406698,0.033735316,0.239796159,0.122487094,0.000530158,0.00376845,15.47030339,0.068504316,0.465350493,0.915844228,0.033735316,0.004410023,0.519148548,0.392814158
HFO-52,8.209268894,0.04138569,0.254418502,0.121848943,0.000612191,0.003763441,15.42852418,0.075458461,0.465745367,0.917597821,0.04138569,0.004230988,0.491380413,0.679813485
HFO-53,8.138102618,0.038515098,0.249784188,0.122897841,0.00058477,0.003792445,15.53911469,0.075007745,0.469220147,0.917239235,0.038515098,0.003929404,0.467856669,0.700153891
HFO-54,8.215936917,0.042626099,0.245297739,0.121676583,0.000653966,0.003763339,15.38105106,0.069277877,0.46261872,0.917752326,0.042626099,0.003768455,0.487071578,0.766544641
HFO-6,8.23273318,0.036150284,0.253774831,0.121529207,0.000532638,0.003739114,15.3837255,0.065286101,0.462339262,0.919464462,0.036150284,0.003697088,0.465200551,0.706808989
HFO-7,8.288734524,0.039658149,0.255149148,0.120687472,0.00057851,0.003721965,15.28553584,0.070099572,0.460003572,0.91844445,0.039658149,0.004765514,0.541734417,0.546639903
HFO-78,8.27796763,0.046988458,0.256859575,0.120869258,0.00068548,0.003747138,15.27369652,0.091668305,0.463927613,0.918983184,0.046988458,0.004663186,0.429709671,0.635939576
HFO-8,8.101593234,0.034546466,0.250459446,0.123448141,0.000524454,0.003802254,15.60566715,0.070162086,0.470066491,0.9166565,0.034546466,0.004039782,0.433679645,0.554759739
HFO-9,8.192431479,0.037524217,0.254176111,0.122093272,0.000555554,0.003763129,15.43757589,0.067283126,0.464404117,0.917592355,0.037524217,0.004101407,0.487502738,0.57173315
HFO Day 2,,,,,,,,,,,,,,
HFO - 1,8.19461766,0.082277259,0.277983526,0.121998042,0.001191485,0.004159464,15.41516064,0.14747062,0.51737031,0.915445082,0.00468756,0.009811672,0.560064453,0.421797053
HFO - 10,8.189365307,0.05764111,0.286202737,0.122122106,0.000879295,0.00418661,15.44215472,0.117434912,0.521370493,0.91892381,0.004368714,0.007074942,0.531202649,0.667144567
HFO - 11,8.189288393,0.063558393,0.284926826,0.12209527,0.00095837,0.004117769,15.43035611,0.114153943,0.51126673,0.917553415,0.004247149,0.007065183,0.635321872,0.487169934
HFO - 12,8.189847292,0.054859012,0.278857805,0.122113834,0.000814226,0.004117182,15.43889069,0.111305884,0.511904606,0.918318851,0.004119924,0.006609096,0.462912525,0.552564342
HFO - 13,8.18349546,0.049961891,0.280060973,0.122177769,0.000742978,0.004088345,15.45353981,0.093952015,0.511810851,0.917352876,0.005371154,0.005809968,0.38598824,0.671500095
HFO - 14,8.197117632,0.061876036,0.276641009,0.122022118,0.000926774,0.00405686,15.41377769,0.119077259,0.504816487,0.917343759,0.00443973,0.005442554,0.415082133,0.674610545
HFO - 15,8.180834111,0.055958162,0.275290129,0.122218567,0.000832699,0.004028405,15.45583067,0.099891526,0.502259425,0.919155912,0.005290106,0.005401956,0.421251325,0.6584987
HFO - 16,8.178729253,0.063137009,0.281037036,0.122266228,0.000948875,0.004166174,15.46674615,0.115857939,0.521480769,0.914355703,0.005493998,0.010302725,0.573327784,0.35619174
HFO - 17,8.207471542,0.064646652,0.287774289,0.121696787,0.000957735,0.003986228,15.37664542,0.11262236,0.51980982,0.917327198,0.005202196,0.009488676,0.475644549,0.455127702
HFO - 18,8.174921247,0.059287721,0.277035277,0.122327574,0.000874459,0.004109413,15.48683349,0.102621296,0.521268187,0.922203944,0.005056278,0.010424147,0.45892244,0.353663282
HFO - 19,8.183848691,0.074156806,0.276826254,0.122187955,0.001084775,0.004165276,15.45309544,0.126910017,0.529475426,0.92413444,0.006703979,0.010896333,0.475658761,0.469415338
HFO - 2,8.164789344,0.063078491,0.282534119,0.122554206,0.000911612,0.004224067,15.52055568,0.09787882,0.528254842,0.916692399,0.006694817,0.010556658,0.498702526,0.481206416
HFO - 20,8.199907634,0.057359068,0.277510793,0.121962237,0.000846875,0.004182312,15.40632821,0.107562937,0.523469737,0.921268963,0.006210909,0.00909794,0.437932302,0.615819861
HFO - 21,8.178824511,0.056226945,0.276827579,0.122257772,0.000820804,0.004182152,15.46003643,0.116624195,0.524709976,0.918674679,0.005353665,0.008485996,0.37445013,0.650296272
HFO - 22,8.183027424,0.052372653,0.283294201,0.122193799,0.00076803,0.004217589,15.45061189,0.103394521,0.526366473,0.914609558,0.004952522,0.00940182,0.397578242,0.607445803
HFO - 23,8.198092003,0.051526314,0.282388848,0.12199608,0.000754,0.004207294,15.41672399,0.099309389,0.52387542,0.919270724,0.00490582,0.010529228,0.492151555,0.481777795
HFO - 24,8.182125203,0.077710914,0.274469476,0.122201307,0.001152009,0.004111126,15.45884021,0.15200793,0.52458599,0.920766314,0.010054122,0.009823201,0.353355626,0.526242516
HFO - 25,8.167589427,0.075134141,0.275654492,0.12241279,0.001040753,0.0040306,15.48707115,0.155133762,0.503940363,0.915310691,0.009216356,0.00971167,0.496792749,0.593433842
HFO - 26,8.188663826,0.070725312,0.292792006,0.122129883,0.001049106,0.004263341,15.44721899,0.161879867,0.53939132,0.926021689,0.010174224,0.010783805,0.500334566,0.590158186
HFO - 27,8.183862507,0.076656446,0.289494947,0.122202067,0.001153414,0.004240373,15.46081921,0.177914405,0.530483853,0.921737113,0.01065648,0.00896346,0.493779697,0.574476877
HFO - 28,8.200623243,0.084528746,0.281897322,0.121935092,0.001273916,0.004205753,15.3762081,0.16670517,0.530393317,0.914713744,0.008811076,0.010548313,0.443354259,0.489436725
HFO - 29,8.182663372,0.084400227,0.278209381,0.122216154,0.00127507,0.004200322,15.46104085,0.169041615,0.526848452,0.914530746,0.008179449,0.00960702,0.435332083,0.529444293
HFO - 3,8.195893734,0.089625869,0.271806443,0.121971813,0.00133432,0.004171683,15.40909174,0.177047464,0.518734976,0.915374866,0.009128582,0.010059847,0.561803664,0.384897661
HFO - 30,8.193993917,0.08886194,0.269874913,0.122044197,0.001323949,0.004067617,15.42794684,0.170102872,0.511192362,0.916166085,0.010283446,0.009228306,0.55015671,0.454703846
HFO - 31,8.163064724,0.072080509,0.275530234,0.122434729,0.001079654,0.004112333,15.47280752,0.175848808,0.514665952,0.912852385,0.009558421,0.008996967,0.480099591,0.507167794
HFO - 32,8.200665641,0.106048032,0.279536342,0.121982321,0.001588206,0.004207675,15.42061902,0.198053558,0.533142351,0.919438672,0.00991672,0.00940578,0.248524619,0.632446978
HFO - 33,8.192366574,0.120084286,0.28463113,0.122079319,0.001737778,0.004189377,15.41779385,0.215414698,0.526413801,0.917389035,0.008857325,0.009383547,0.388812824,0.57280753
HFO - 34,8.180571536,0.090491785,0.290912545,0.122191148,0.001371253,0.004176123,15.47258728,0.195340774,0.521090028,0.918561919,0.009456221,0.009499142,0.512687576,0.499207222
HFO - 35,8.193993556,0.081678233,0.279600871,0.122055887,0.001221953,0.004159509,15.41227237,0.179334786,0.521839809,0.918811832,0.009649695,0.009746418,0.412363993,0.5365049
HFO - 36,8.186038365,0.105568392,0.280567247,0.12216855,0.001559167,0.004206532,15.447729,0.2167936,0.529743978,0.915425754,0.010346552,0.009320799,0.357315641,0.570563687
HFO - 37,8.194903791,0.09272946,0.280993418,0.122027192,0.001399294,0.004190815,15.42379292,0.191159638,0.528517433,0.916892023,0.010354645,0.008146835,0.269128467,0.696067676
HFO - 38,8.186966515,0.093542154,0.28156397,0.122144103,0.001376313,0.004183659,15.44072336,0.195581269,0.523904107,0.918602675,0.010180288,0.008949143,0.401722137,0.568056037
HFO - 39,8.196197313,0.083383744,0.283302189,0.121992953,0.001245661,0.004151476,15.41981098,0.162988119,0.526842179,0.922681333,0.010213446,0.009244622,0.450871268,0.572389333
HFO - 4,8.194244896,0.071714988,0.272366026,0.122057932,0.001052261,0.004050329,15.43973161,0.168797849,0.487719291,0.916508365,0.009456993,0.005825272,0.427242832,0.618291513
HFO - 40,8.17032736,0.075803302,0.278646997,0.122408154,0.001115503,0.004162415,15.46963133,0.151996079,0.523053357,0.917596209,0.008850931,0.008704536,0.495429532,0.561275436
HFO - 41,8.199238086,0.087122053,0.290854705,0.12196229,0.001332023,0.004203694,15.41167094,0.190489719,0.532115825,0.916780122,0.009108684,0.009357637,0.336309935,0.583660429
HFO - 42,8.192360884,0.075243516,0.272839165,0.122014568,0.001141939,0.004109575,15.44840414,0.176622138,0.523516953,0.924737343,0.008245037,0.009236167,0.410597445,0.583600835
HFO - 43,8.167904765,0.109013018,0.299509859,0.12264207,0.001625251,0.004337398,15.40586412,0.209675466,0.537267401,0.908513231,0.010176373,0.009869511,0.367035682,0.675434073
HFO - 44,8.19038533,0.097029718,0.283592945,0.122097101,0.001383102,0.004173286,15.44607617,0.202954605,0.521279129,0.920602433,0.00942269,0.009136143,0.452221609,0.502213494
HFO - 45,8.19348729,0.092937954,0.285935565,0.121977326,0.001438895,0.004191731,15.45912749,0.180066773,0.537410275,0.918940804,0.00973948,0.010551389,0.31099499,0.560386561
HFO - 46,8.168728014,0.113673605,0.280971395,0.122406589,0.001711526,0.004200763,15.45424767,0.225948005,0.517479848,0.91174373,0.010271526,0.008992563,0.303773853,0.64536571
HFO - 47,8.237923904,0.099476692,0.295602616,0.121465242,0.001492858,0.004197031,15.36510229,0.205822048,0.52718204,0.92072125,0.009764666,0.009077107,0.348360443,0.668673902
HFO - 48,8.170944418,0.107739294,0.264735742,0.122400245,0.001564139,0.004199743,15.47441301,0.191183209,0.528957441,0.917736309,0.009345427,0.009676951,0.38729469,0.540006024
HFO - 49,8.186427675,0.060164347,0.270464857,0.122011824,0.000898489,0.00412318,15.42295149,0.141809245,0.518389558,0.922654836,0.008307595,0.008954939,0.322239731,0.519818406
HFO - 5,8.159311094,0.067932741,0.275716692,0.122523769,0.001041502,0.00412966,15.4879215,0.160493104,0.511922026,0.914584933,0.009313482,0.004977426,0.314245368,0.81385641
HFO - 50,8.166985758,0.066409327,0.276593799,0.122476179,0.000977984,0.004133118,15.47843189,0.148868653,0.520860537,0.914264929,0.008343688,0.007927653,0.296450197,0.556087911
HFO - 51,8.19751907,0.066307577,0.275786441,0.121977962,0.001010845,0.004114544,15.42358222,0.14671298,0.513645955,0.91769237,0.008662438,0.007246127,0.456465227,0.481602018
HFO - 52,8.190988461,0.067006911,0.273115991,0.122075429,0.001001279,0.004078689,15.43008186,0.151388105,0.515887181,0.918718279,0.007601834,0.008609605,0.424421462,0.437918537
HFO - 53,8.173292473,0.058036658,0.270836114,0.122383725,0.000865867,0.004152289,15.46629706,0.121861681,0.523773592,0.916544326,0.006885386,0.009582586,0.346778155,0.498307611
HFO - 54,8.195089031,0.089239511,0.279417707,0.122018267,0.001334207,0.004114875,15.42774078,0.183903788,0.519346669,0.91507541,0.008708289,0.008642098,0.430063742,0.523065252
HFO - 55,8.205785592,0.094230648,0.289860892,0.121943449,0.001337907,0.004364288,15.41681053,0.179596242,0.546009989,0.92198699,0.008789903,0.010519024,0.289998104,0.696043956
HFO - 56,8.16103521,0.075302848,0.285354251,0.12240469,0.001194597,0.004282344,15.4710342,0.173892462,0.538959052,0.918793534,0.009409842,0.01002291,0.27071978,0.66611671
HFO - 57,8.202863276,0.07710954,0.294556544,0.121992503,0.001161444,0.004276318,15.4256362,0.161516889,0.531351952,0.918404046,0.008951558,0.009614713,0.42699082,0.655323467
HFO - 58,8.147204446,0.107928463,0.28828438,0.122783802,0.001562983,0.004297969,15.52374318,0.201522662,0.540262221,0.917062207,0.009613061,0.010423499,0.380967817,0.662040714
HFO - 59,8.257559401,0.087857806,0.296715189,0.121096836,0.001287969,0.004229501,15.26991316,0.197366628,0.534315663,0.915109777,0.010306317,0.009687942,0.309615229,0.679262756
HFO - 6,8.20324982,0.085070638,0.277179871,0.121925527,0.001246615,0.004124643,15.42091922,0.173987884,0.511416864,0.924171234,0.008961567,0.005758098,0.560847056,0.592759415
HFO - 60,8.151570069,0.075172516,0.280031754,0.122780801,0.001122923,0.004335541,15.51523346,0.150386495,0.534679498,0.912394573,0.008406678,0.009994827,0.46689226,0.551387187
HFO - 61,8.177983315,0.084502489,0.27668849,0.122326596,0.001221306,0.004230336,15.42009248,0.184485389,0.533240462,0.914653201,0.009081725,0.009382545,0.286077812,0.634912598
HFO - 62,8.190796904,0.082467262,0.274095326,0.122075187,0.001236428,0.00415983,15.45131525,0.176153585,0.528066765,0.920543926,0.009044591,0.008550448,0.222705706,0.641402621
HFO - 63,8.181714906,0.082606494,0.288258595,0.122207144,0.001232017,0.004241233,15.41286958,0.178069048,0.533296209,0.915366666,0.007828286,0.010426418,0.404221401,0.590780219
HFO - 64,8.199268327,0.079665956,0.280355772,0.121982032,0.001183728,0.004188207,15.47793299,0.161389488,0.524931886,0.926949217,0.008659058,0.010464967,0.510811129,0.446464275
HFO - 65,8.18261996,0.087641381,0.28127403,0.122190085,0.00128996,0.004127083,15.4174842,0.177100034,0.526081047,0.913523735,0.009108049,0.009720396,0.409986456,0.507145138
HFO - 66,8.184636485,0.085429247,0.285412267,0.122206368,0.001226358,0.004269931,15.46152637,0.157632328,0.533886827,0.909071781,0.009226392,0.009905507,0.368355426,0.570831087
HFO - 67,8.214151283,0.078467363,0.286979329,0.121716852,0.001167327,0.004238473,15.36348292,0.164740011,0.538804778,0.91559895,0.009480638,0.010588937,0.298625344,0.67095159
HFO - 68,8.181410506,0.072377121,0.279747337,0.122229211,0.001090885,0.004221406,15.46554976,0.143338837,0.533978547,0.923654492,0.00894879,0.010601084,0.389664461,0.563419718
HFO - 69,8.167785056,0.074977805,0.283863197,0.122367803,0.001119056,0.004251218,15.49250815,0.146145238,0.531696038,0.911618207,0.008712136,0.010167195,0.430981119,0.627868802
HFO - 7,8.184015128,0.08537587,0.274212398,0.122181593,0.001285106,0.004121092,15.4372974,0.186114505,0.512541547,0.915836877,0.009129704,0.005938109,0.375801095,0.688870646
HFO - 70,8.245829492,0.087704634,0.298457244,0.121425808,0.001284652,0.00431907,15.29967624,0.16105975,0.53688734,0.912770166,0.00867184,0.00913758,0.364408051,0.766631229
HFO - 71,8.172987669,0.085396251,0.280235351,0.122321624,0.001274065,0.004246501,15.49535042,0.177954339,0.538184834,0.918908991,0.010305444,0.009722718,0.308670957,0.636619991
HFO - 72,8.189025308,0.083582812,0.286204435,0.12211792,0.001261908,0.004144625,15.4378264,0.164749992,0.51245577,0.923192092,0.009339814,0.005208833,0.23977549,0.86235936
HFO - 73,8.182595702,0.080988572,0.267321266,0.122162408,0.001211831,0.004077892,15.45569751,0.147128227,0.507443501,0.918272244,0.009549663,0.004918193,0.264294098,0.803972902
HFO - 74,8.204530517,0.090143641,0.274100045,0.121954018,0.001347705,0.004133037,15.38735347,0.174138083,0.511778509,0.913010339,0.010312922,0.004804581,0.300369148,0.818816078
HFO - 75,8.179162611,0.076494142,0.268786856,0.122355596,0.001174031,0.003989376,15.47122953,0.148307655,0.51416248,0.917711346,0.009804512,0.004698053,0.241710634,0.798066407
HFO - 76,8.191647611,0.096255653,0.312112476,0.122139275,0.001401577,0.004352625,15.41094354,0.186626416,0.537201925,0.914051305,0.010540385,0.010443193,0.465269104,0.699436068
HFO - 77,8.191452807,0.106697033,0.277329814,0.122033779,0.001545618,0.004132718,15.41751614,0.208852769,0.514265633,0.919845022,0.010652194,0.009268236,0.500449108,0.591418973
HFO - 78,8.179583381,0.088784832,0.282629894,0.122271525,0.001323055,0.004162271,15.4731709,0.163964198,0.527200342,0.917917116,0.008987688,0.009892859,0.396425342,0.417662919
HFO - 79,8.190303265,0.068833526,0.294617593,0.122102362,0.001013707,0.004267845,15.41905708,0.164639343,0.533554776,0.919717232,0.009631637,0.010889881,0.332921934,0.60813805
HFO - 8,8.194277767,0.110511214,0.279637872,0.122059463,0.001541155,0.004142814,15.44880592,0.207407403,0.511666146,0.918258058,0.010198178,0.005671612,0.428665427,0.734793672
HFO - 9,8.183180269,0.089823368,0.278864439,0.122194472,0.001313391,0.004113086,15.43648792,0.171462064,0.508034303,0.911174428,0.009446969,0.005530973,0.483342275,0.67469827
Z_91500 Day 1,,,,,,,,,,,,,,
91500-1,6.485687499,0.043938259,0.198696675,0.15438708,0.001064842,0.004815408,1.587805088,0.030602462,0.056299139,0.074667029,0.001494926,0.001501776,0.256583807,0.072186521
91500-10,6.440973748,0.065429912,0.208059548,0.155870253,0.001568407,0.004987352,1.603746453,0.035712143,0.059587518,0.074368946,0.001630004,0.001636238,0.175557174,0.275793901
91500-11,6.729013518,0.061182688,0.216207222,0.149050432,0.00134445,0.004751014,1.509781936,0.032362543,0.055397976,0.073295996,0.001457307,0.001464078,0.061334329,0.362359746
91500-12,6.686708401,0.066125244,0.217007661,0.150088336,0.001467126,0.004814766,1.526349681,0.034159878,0.056849896,0.073628914,0.0016728,0.001678756,0.265239618,0.161620812
91500-14,6.644231509,0.073790045,0.210117683,0.151253709,0.001728241,0.004921179,1.579703894,0.034584281,0.058365549,0.075773235,0.001492026,0.001499094,0.094203229,0.429639248
91500-15,6.683525749,0.064799768,0.213546155,0.149826234,0.001453138,0.004788783,1.570758834,0.030572389,0.05585265,0.075912332,0.001354652,0.00136246,0.095585421,0.409597343
91500-16,6.705740726,0.062916703,0.211132741,0.149616532,0.001422427,0.00477331,1.523207842,0.028243533,0.053406943,0.074050277,0.001370267,0.001377614,0.211260687,0.264339595
91500-17,6.496992194,0.064939685,0.206482088,0.154211389,0.001555453,0.004945714,1.570851596,0.031550777,0.056390495,0.073969566,0.001412063,0.001419178,0.143947791,0.33670148
91500-19,6.617264521,0.065296929,0.209148231,0.151673448,0.001522263,0.004875857,1.556688857,0.034371705,0.05770735,0.074889064,0.001722137,0.001728122,0.272355774,0.147761496
91500-2,6.69067517,0.06278992,0.21483108,0.150051548,0.001395007,0.004772914,1.541426823,0.028517287,0.054008212,0.074463677,0.001364963,0.001372421,0.259282282,0.224769829
91500-20,6.678561297,0.069998945,0.215587481,0.150184328,0.001575279,0.00485165,1.532268834,0.03468976,0.057323995,0.073881043,0.001560253,0.00156668,0.152601632,0.294585412
91500-21,6.734411337,0.064634792,0.216811755,0.148828996,0.001419419,0.004761316,1.554164508,0.031870907,0.056190246,0.075906783,0.001551661,0.001558482,0.21178321,0.242229776
91500-22,6.802333697,0.063587739,0.220913843,0.147300883,0.001351624,0.004695754,1.520526354,0.034324606,0.056809962,0.075055,0.001710793,0.001716844,0.220915138,0.193033276
91500-24,6.435475195,0.071016668,0.204366784,0.156142502,0.001759023,0.005061993,1.607401016,0.033564147,0.058422842,0.074684945,0.00136949,0.001376968,0.071048688,0.475026138
91500-25,6.712508254,0.068199704,0.22022639,0.149598278,0.001496801,0.004833381,1.512514232,0.031464396,0.054984102,0.073637979,0.001539941,0.00154641,0.144654847,0.30440612
91500-26,6.698775887,0.066706704,0.211784383,0.14992213,0.001527153,0.004848494,1.535633556,0.02954327,0.054500498,0.074384894,0.00135256,0.00136007,0.149723409,0.374131716
91500-27,6.723251103,0.057506017,0.211469409,0.149072772,0.001277119,0.004696408,1.524813456,0.028618321,0.053606938,0.074356661,0.001333412,0.001341023,0.096832772,0.336792489
91500-29,6.760361545,0.069736183,0.221048567,0.148518046,0.00150581,0.004773089,1.53212257,0.036083791,0.058158279,0.074772138,0.001697856,0.001703907,0.195575046,0.223196753
