,238U/206Pb,238U/206Pb 2SE(int),238U/206Pb 2SE(prop),206Pb/238U,206Pb/238U 2SE(int),206Pb/238U 2SE(prop),207Pb/235U,207Pb/235U 2SE(int),207Pb/235U 2SE(prop),207Pb/206Pb,207Pb/206Pb 2SE(int),207Pb/206Pb 2SE(prop),Err Corr 7/6 v 8/6,Err  Corr 6/8 v 7/5
HFO Day 1 ,,,,,,,,,,,,,,
HFO-1,8.232418977,0.044668637,0.255403356,0.121587938,0.000659839,0.003772781,15.40129499,0.082778588,0.467071142,0.917773679,0.044668637,0.004065974,0.476972209,0.702831182
HFO-10,8.105239865,0.041407899,0.254831738,0.123340475,0.000619013,0.003809519,15.59079995,0.082371871,0.4713128,0.916542201,0.041407899,0.004323089,0.458019474,0.594217827
HFO-11,8.134661492,0.038804999,0.251338722,0.122944427,0.00058552,0.003792394,15.55307493,0.074880987,0.468937697,0.91640494,0.038804999,0.004026477,0.505238174,0.611711573
HFO-12,8.261711406,0.040879421,0.252978192,0.121060084,0.000603833,0.003736758,15.31392735,0.072489909,0.461129441,0.918530092,0.040879421,0.004422384,0.530621245,0.454377912
HFO-13,8.186984692,0.059560183,0.26589328,0.122239098,0.000860461,0.003841336,15.47337798,0.103202888,0.474556643,0.915649114,0.059560183,0.005937733,0.490740277,0.641977554
HFO-14,8.033935584,0.039157754,0.247514109,0.124550137,0.000607873,0.003842334,15.79324568,0.083464316,0.477655789,0.917265541,0.039157754,0.005071394,0.507615404,0.496392422
HFO-15,8.364181629,0.041322562,0.249141405,0.119579097,0.00061254,0.00369312,15.1705397,0.070133708,0.457465385,0.918817709,0.041322562,0.0047622,0.598705966,0.594805413
HFO-16,8.286574174,0.041675419,0.255807821,0.120751297,0.000605937,0.003719303,15.24603306,0.081190204,0.459800788,0.916301996,0.041675419,0.003660194,0.338254693,0.773659029
HFO-17,8.213902886,0.039371357,0.251091577,0.121735558,0.000590497,0.003765906,15.4495893,0.08214708,0.467656184,0.921472446,0.039371357,0.004177441,0.304292001,0.669325363
HFO-18,8.072660645,0.041131155,0.254991045,0.123867867,0.000617181,0.003826192,15.61112167,0.082724385,0.471977243,0.914881084,0.041131155,0.004461583,0.443671285,0.597867219
HFO-19,8.161290906,0.051111588,0.252866088,0.122596659,0.000771815,0.003818429,15.49215195,0.109026595,0.474281306,0.91610635,0.051111588,0.00520049,0.416369423,0.690372923
HFO-2,8.068767318,0.032911251,0.24637337,0.123993801,0.000507756,0.003801057,15.69707583,0.069506009,0.471383882,0.91750945,0.032911251,0.003639669,0.384108858,0.638576495
HFO-20,8.182114028,0.046315031,0.256597961,0.122255193,0.000684236,0.003790855,15.45009653,0.091304321,0.469216638,0.918011094,0.046315031,0.004662125,0.442620589,0.643842528
HFO-21,8.22002953,0.044043442,0.244494406,0.12153263,0.000679042,0.003769504,15.37373715,0.091566435,0.46712581,0.918096074,0.044043442,0.005018758,0.486841768,0.598428384
HFO-22,8.158537584,0.064906818,0.260164779,0.122708724,0.000963593,0.003862353,15.53292582,0.127714934,0.479783533,0.919212042,0.064906818,0.005802577,0.369206075,0.694134252
HFO-23,8.190100556,0.053922456,0.26732724,0.122034214,0.000766119,0.003798129,15.435975,0.108150858,0.472206737,0.917483529,0.053922456,0.00554977,0.477757456,0.588377223
HFO-24,8.196920221,0.047570034,0.264149104,0.121994308,0.000680629,0.00377943,15.40567723,0.08686168,0.466751889,0.916078725,0.047570034,0.005318336,0.54629537,0.515690396
HFO-25,8.197154131,0.043339112,0.255086558,0.121983791,0.000641495,0.003775732,15.42479017,0.08540294,0.467517942,0.91837551,0.043339112,0.004983416,0.496208453,0.559401174
HFO-26,8.157664755,0.045531275,0.255800879,0.122586629,0.000676117,0.003798519,15.50407472,0.084610171,0.469379301,0.916586942,0.045531275,0.004339526,0.49946978,0.630623051
HFO-27,8.21051055,0.047606828,0.256541362,0.121807955,0.000700921,0.003777088,15.38214626,0.090161991,0.466500615,0.917811069,0.047606828,0.004399841,0.408305938,0.705760863
HFO-28,8.183671531,0.055989957,0.255067708,0.122323337,0.000838222,0.003818602,15.47207007,0.106258916,0.472356725,0.918921717,0.055989957,0.00499372,0.380131712,0.71141377
HFO-29,8.153359718,0.049172247,0.252028494,0.122642777,0.000744005,0.00381334,15.47088761,0.090675466,0.469772395,0.916159481,0.049172247,0.004738188,0.460093709,0.591396457
HFO-3,8.318487876,0.038367789,0.258039823,0.1203043,0.000549921,0.003698451,15.22016339,0.067119058,0.456578899,0.917259127,0.038367789,0.004510661,0.517022386,0.487990063
HFO-30,8.216270508,0.038522044,0.248876763,0.121646079,0.000581436,0.003756447,15.39310147,0.071790165,0.464241287,0.917539256,0.038522044,0.004182168,0.494753898,0.670609589
HFO-31,8.225374695,0.050645754,0.250143572,0.121503248,0.000763836,0.003772651,15.38336,0.09966451,0.467478236,0.918656461,0.050645754,0.005655595,0.451358178,0.586225127
HFO-32,8.19764847,0.056723989,0.250639131,0.122053391,0.000862008,0.003808846,15.37187977,0.102633062,0.467585634,0.915284655,0.056723989,0.006152265,0.47803539,0.517727726
HFO-33,8.12912042,0.053069321,0.253479775,0.123040104,0.000802895,0.00383494,15.58127571,0.100966243,0.474563946,0.918350543,0.053069321,0.00613146,0.527842134,0.499409791
HFO-34,8.308829099,0.050970094,0.259768052,0.120430173,0.000733834,0.003739969,15.22347653,0.079201451,0.459916647,0.916342067,0.050970094,0.004579641,0.600601243,0.701506904
HFO-35,8.114317375,0.046192197,0.249314594,0.123292994,0.000707018,0.003816009,15.58267447,0.078197052,0.47002938,0.917193214,0.046192197,0.005177707,0.552723534,0.551155113
HFO-36,8.168012603,0.039769058,0.251867508,0.122436655,0.000596834,0.003779903,15.50892812,0.079679958,0.468434287,0.919009349,0.039769058,0.00497868,0.478180212,0.496766742
HFO-37,8.365544456,0.048712195,0.259743099,0.119677525,0.000696669,0.003714779,15.17621664,0.087032724,0.459987689,0.919528221,0.048712195,0.004441769,0.452629692,0.689042878
HFO-38,8.197295043,0.041740334,0.254367256,0.122076291,0.000618803,0.003771012,15.45474286,0.083614945,0.467341528,0.918052935,0.041740334,0.004897469,0.535773898,0.521254578
HFO-39,8.050533286,0.042661601,0.247870685,0.124308898,0.000661016,0.003840606,15.66495412,0.087210188,0.473416315,0.914323083,0.042661601,0.004831998,0.424353133,0.566547891
HFO-4,8.173694039,0.036638785,0.255393855,0.122411637,0.000541055,0.003771473,15.47548813,0.069530614,0.466019159,0.916452808,0.036638785,0.003944041,0.57992973,0.514077036
HFO-40,8.011743742,0.051621826,0.246580737,0.125038712,0.000811065,0.003874196,15.76584932,0.086906777,0.473790764,0.918058466,0.051621826,0.004672673,0.52137242,0.660956382
HFO-41,8.180769438,0.04924746,0.244193111,0.122310004,0.0007615,0.003775891,15.45057984,0.089275385,0.464294479,0.918751086,0.04924746,0.004012393,0.372198431,0.781908472
HFO-42,8.341230215,0.046360192,0.257075016,0.119902408,0.000650104,0.003604936,15.11541518,0.085346929,0.455252965,0.915413814,0.046360192,0.004629355,0.382207059,0.646172472
HFO-43,8.171456838,0.038530602,0.253777271,0.122407525,0.000572995,0.003773965,15.44226706,0.082494202,0.4668849,0.915543388,0.038530602,0.004521657,0.354732738,0.566987149
HFO-44,8.216277687,0.037178911,0.245383272,0.121670624,0.000568832,0.003754329,15.40375138,0.068474405,0.463938658,0.91811138,0.037178911,0.003972415,0.519651028,0.634176389
HFO-45,8.159674555,0.051932058,0.251307639,0.122526297,0.000789655,0.00382127,15.50478437,0.092248874,0.47162524,0.918752876,0.051932058,0.004553789,0.401802731,0.7303403
HFO-46,8.140963368,0.053192414,0.249763644,0.122914918,0.000810958,0.003807834,15.49994945,0.094808267,0.467816689,0.915648819,0.053192414,0.004474928,0.395713559,0.751527603
