,Spot size (Âµm),Fe57_mean,Pb204_mean,Pb206_mean,Pb207_mean,Pb208_mean,Th232_mean,U238_mean,TotalBeam_mean,BeamSeconds_mean,Mask_mean,Fe57_CPS_mean,Pb204_CPS_mean,Pb206_CPS_mean,Pb207_CPS_mean,Pb208_CPS_mean,Th232_CPS_mean,U238_CPS_mean,TotalBeam_CPS_mean,Pb206/U238_mean,Pb206/U238 age_mean,Pb207/U235_mean,Pb207/U235 age_mean,Pb208/Th232_mean,Pb208/Th232 age_mean,DC Pb206/U238_mean,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb207/U235_mean,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb208/Th232_mean,DC Pb208/Th232 age_mean,DC Pb207/Pb206_mean,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC U238/Pb206_mean,Raw U/Th_mean,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
Fe-Grab-24,60,1484.83,4568.4,5.07042,4.22535,16.9014,2.8169,1.97183,6084.22,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-25,60,698.642,5153.13,6.76056,6.19718,8.4507,2.8169,1.97183,5877.97,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-37,60,264.794,4082.33,10.4225,5.35211,14.0845,2.8169,3.09859,4382.9,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-38,60,1577.66,4270.42,12.3944,12.1127,33.8028,0,39.1551,5945.54,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-39,60,1529.76,4396.51,13.2394,9.85915,33.8028,1.40845,33.2394,6017.83,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
RAK-15,30,250.709,5873.15,7.88732,7.04225,21.1268,2.8169,1.69014,6164.42,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-25,30,245.075,4374.68,6.47887,5.91549,8.4507,4.22535,2.8169,4647.64,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-26,30,208.454,4275.35,7.32394,5.6338,12.6761,2.8169,8.4507,4520.7,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
NIST 610-14,30,219.723,4592.36,7.60563,4.78873,8.4507,1.40845,4.78873,4839.12,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-26,60,197.186,5739.99,6.76056,6.19718,8.4507,1.40845,1.97183,5961.96,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-27,60,569.042,5585,9.01408,3.66197,14.0845,5.6338,1.69014,6188.12,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-28,60,771.882,5470.86,7.04225,2.8169,15.493,4.22535,2.25352,6274.57,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-29,60,1419.95,5230.62,7.32394,5.07042,9.85915,0,1.12676,6673.95,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-30,60,1107.14,5209.49,6.47887,5.35211,14.0845,0,3.94366,6346.49,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-31,60,929.645,5134.82,5.07042,9.01408,14.0845,1.40845,2.53521,6096.57,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-32,60,907.11,5088.31,7.88732,7.04225,8.4507,2.8169,2.8169,6024.44,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-33,60,1087.47,5139.04,8.16901,6.76056,12.6761,1.40845,3.09859,6258.62,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-34,60,825.417,5170.04,7.04225,5.91549,7.04225,4.22535,1.97183,6021.65,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-35,60,1439.59,5195.4,6.19718,6.19718,18.3099,1.40845,1.12676,6668.23,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-36,60,1127.41,5321.51,6.76056,5.35211,9.85915,0,2.53521,6473.43,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-37,60,414.098,4793.84,6.47887,5.91549,9.85915,1.40845,2.8169,5234.41,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-38,60,1307.2,4612.08,7.88732,7.32394,11.2676,4.22535,2.53521,5952.52,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-39,60,1267.75,4562.77,4.22535,7.04225,11.2676,0,1.12676,5854.18,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-40,60,1589.13,4584.83,5.27778,6.11111,9.72222,1.38889,1.66667,6198.13,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-41,60,1166.3,4659.28,8.16901,7.04225,7.04225,1.40845,1.97183,5851.22,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-42,60,1039.51,4615.6,6.47887,7.60563,5.6338,0,1.97183,5676.8,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-43,60,1101.5,4662.1,7.32394,9.01408,14.0845,0,1.69014,5795.71,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-44,60,1529.82,4846.67,8.16901,7.60563,5.6338,2.8169,3.94366,6404.66,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-45,60,1216.8,4598.73,5.83333,4.16667,15.2778,2.77778,1.94444,5845.53,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-40,60,214.088,4013.29,6.19718,5.07042,8.4507,2.8169,2.53521,4252.45,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-41,60,1295.89,4123.19,9.57746,11.831,23.9437,1.40845,57.4669,5523.31,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-42,60,1188.83,4140.09,9.01408,8.73239,25.3521,0,32.1127,5404.13,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
RAK-16,30,326.77,5520.88,10.9859,7.32394,11.2676,0,8.73239,5885.96,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-27,30,228.173,4204.2,8.73239,5.91549,12.6761,1.40845,3.09859,4464.2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-28,30,273.246,4111.91,6.47887,6.76056,14.0845,8.4507,8.73239,4429.67,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
NIST 610-15,30,214.088,4454.99,8.4507,7.88732,15.4931,5.6338,5.07042,4711.61,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-46,60,236.623,4891.06,10.7042,7.32394,8.4507,2.8169,3.66197,5160.64,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
Fe-Grab-47,60,940.948,4776.22,5.91549,3.66197,102.839,4.22535,2.53521,5836.35,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-1,60,307.049,5364.48,7.04225,7.04225,9.85915,2.8169,2.8169,5701.11,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-2,60,881.834,5372.94,5.6338,6.19718,8.4507,1.40845,2.53521,6279,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-3,60,1149.4,5180.6,6.76056,5.91549,9.85915,5.6338,4.78873,6362.96,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-4,60,1371.97,4967.85,6.47887,7.04225,19.7183,5.6338,3.38028,6382.07,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-5,60,1597.58,4964.32,10.1408,9.29577,4.22535,5.6338,4.22535,6595.42,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-6,60,983.174,4872.03,6.76056,6.19718,16.9014,1.40845,2.53521,5889.01,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-7,60,1386.05,4773.41,6.19718,5.07042,16.9014,2.8169,3.38028,6193.83,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-8,60,1552.3,4598.7,7.60563,5.6338,2.8169,8.4507,1.97183,6177.48,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-9,60,1200.12,4909.37,6.76056,5.35211,5.6338,0,3.09859,6130.33,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-10,60,1408.61,4674.07,6.19718,4.22535,14.0845,2.8169,2.53521,6112.55,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-11,60,1112.78,4590.95,9.29577,7.88732,18.3099,4.22535,3.09859,5746.54,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-12,60,791.613,5002.36,4.78873,5.35211,14.0845,0,2.53521,5820.74,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-13,60,712.731,4935.44,7.32394,4.78873,14.0845,1.40845,4.22535,5680,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-14,60,1231.19,4798.77,6.19718,5.07042,9.85915,2.8169,3.09859,6057,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-15,60,1518.5,4855.13,5.6338,6.76056,11.2676,5.6338,2.8169,6405.74,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-16,60,1115.57,4741,7.60563,6.19718,18.3099,4.22535,2.53521,5895.44,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-17,60,977.543,4967.14,4.78873,6.76056,11.2676,5.6338,3.38028,5976.52,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-43,60,208.454,3890.02,4.78873,7.04225,5.6338,0,2.25352,4118.19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-44,60,1338.39,4079.51,11.2676,21.127,21.1268,2.8169,34.3662,5508.6,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-45,60,1340.98,4059.79,12.6761,10.7042,14.0845,2.8169,37.1831,5478.23,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
RAK-17,30,292.965,5575.83,8.16901,7.04225,7.04225,1.40845,5.6338,5898.1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-29,30,264.794,4152.77,7.60563,7.88732,15.493,0,2.53521,4451.09,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-30,30,267.61,4063.31,5.91549,5.6338,14.0845,0,2.8169,4359.37,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
NIST 610-16,30,174.65,4391.58,7.32394,5.91549,11.2676,1.40845,1.40845,4593.56,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-18,60,191.552,5081.97,7.60563,7.88732,9.85915,2.8169,6.76056,5308.46,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-19,60,1536.43,4961.36,6.66667,5.55556,5.55556,1.38889,3.88889,6520.85,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-20,60,1073.32,4811.45,6.19718,6.76056,15.493,2.8169,2.25352,5918.29,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-21,60,663.92,4738.36,4.72222,7.5,11.1111,2.77778,2.22222,5430.61,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-22,60,904.305,4665.62,3.38028,5.35211,11.2676,1.40845,3.09859,5594.43,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-23,60,1250.87,4802.29,6.19718,7.04225,11.2676,7.04225,3.09859,6087.81,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-24,60,1462.28,4711.42,7.88732,5.6338,11.2676,4.22535,3.94366,6206.66,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-25,60,802.875,4641.67,7.04225,4.78873,9.85915,2.8169,3.38028,5472.43,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-26,60,346.489,4593.06,7.32394,4.78873,9.85915,2.8169,4.50704,4968.84,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-27,60,1507.19,4394.4,11.5493,11.5493,9.85915,1.40845,2.25352,5938.22,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-28,60,1386.08,4502.89,9.29577,5.91549,11.2676,4.22535,3.09859,5922.77,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-29,60,1997.8,4599.4,4.78873,6.19718,12.6761,1.40845,2.53521,6624.81,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-30,60,10828.7,5083.38,7.32394,34.0859,25.3521,1.40845,7.60563,15987.9,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-31,60,509.878,5341.23,5.35211,5.07042,12.6761,2.8169,4.22535,5881.25,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-32,60,535.244,5448.32,7.04225,6.76056,7.04225,1.40845,3.66197,6009.48,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-33,60,687.379,5360.96,6.47887,3.94366,14.0845,2.8169,2.53521,6078.2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-34,60,631.07,5393.36,7.04225,7.04225,8.4507,1.40845,1.97183,6050.35,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
GQ2_1-35,60,605.675,5284.17,8.4507,6.19718,7.04225,4.22535,1.40845,5917.17,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
