,Spot size (Âµm),Fe57_mean,Pb204_mean,Pb206_mean,Pb207_mean,Pb208_mean,Th232_mean,U238_mean,TotalBeam_mean,BeamSeconds_mean,Mask_mean,Fe57_CPS_mean,Pb204_CPS_mean,Pb206_CPS_mean,Pb207_CPS_mean,Pb208_CPS_mean,Th232_CPS_mean,U238_CPS_mean,TotalBeam_CPS_mean,Pb206/U238_mean,Pb206/U238 age_mean,Pb207/U235_mean,Pb207/U235 age_mean,Pb208/Th232_mean,Pb208/Th232 age_mean,DC Pb206/U238_mean,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb207/U235_mean,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb208/Th232_mean,DC Pb208/Th232 age_mean,DC Pb207/Pb206_mean,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC U238/Pb206_mean,Raw U/Th_mean,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
MP111_4-7,40,1030.78,5965.94,13.8889,11.6667,30.5556,1.38889,4.16667,7058.39,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-8,40,540.861,5627.97,14.6479,13.8028,32.3944,1.40845,3.94366,6235.03,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-9,40,605.668,5883.01,16.6197,13.2394,28.169,4.22535,1.69014,6552.63,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-10,40,611.298,5751.27,18.0282,17.4648,33.803,2.8169,5.07042,6439.75,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-11,40,600.022,5553.29,14.3662,13.8028,29.5775,2.8169,4.22535,6218.1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-12,40,662.008,5645.58,14.0845,11.5493,15.493,1.40845,4.50704,6354.63,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-13,40,540.867,5455.36,14.6479,10.9859,30.9859,7.04225,4.50704,6064.4,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-14,40,574.668,5430,15.493,12.6761,26.7606,1.40845,3.09859,6064.1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-15,40,563.412,5223.58,18.3099,17.7465,39.4366,9.85915,7.32394,5879.66,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-16,40,492.97,5317.98,16.6197,18.3099,33.8028,4.22535,5.35211,5889.26,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-17,40,397.192,5290.5,17.4648,14.3662,29.5775,7.04225,4.78873,5760.93,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-18,40,726.837,5319.39,18.0282,19.1549,30.9859,5.6338,6.19718,6126.23,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-19,40,712.724,5161.58,19.1549,16.9014,32.3944,4.22535,5.35211,5952.33,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-20,40,430.997,5012.23,17.4648,15.493,29.5775,5.6338,7.88732,5519.28,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-1,60,456.35,5775.22,16.0563,14.6479,35.2113,4.22535,3.66197,6305.37,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-2,60,2425.58,5929.81,27.5,21.9444,59.7224,1.38889,57.2224,8523.17,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-3,60,1850.96,5897.81,31.2676,25.3521,47.8873,4.22535,66.1973,7923.7,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
RAK-2,30,518.324,7933.38,16.338,18.0282,30.9859,9.85915,6.76056,8533.68,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-1,30,439.453,5735.76,18.3099,18.3099,33.8028,8.4507,10.4225,6264.51,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-2,30,487.335,5623.74,17.4648,14.9296,28.169,7.04225,10.1408,6188.82,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
NIST 610-1,30,408.459,6083.81,20,19.1549,28.169,2.8169,9.57746,6571.99,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-21,40,369.022,5605.42,16.6197,20.5634,30.9859,8.4507,11.831,6062.9,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-22,40,439.447,5756.9,21.6901,19.7183,38.0282,14.0845,8.4507,6298.32,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-23,40,775.101,5449.75,18.6111,18.0556,43.0557,5.55556,8.61111,6318.74,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-24,40,802.882,5219.35,19.1549,14.0845,42.2535,7.04225,7.04225,6111.81,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-25,40,1209.7,5556.11,19.1549,15.7746,25.3521,5.6338,7.32394,6839.05,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-26,40,498.605,5584.29,19.1549,18.5915,29.5775,7.04225,4.22535,6161.49,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-27,40,585.937,5523.7,16.338,16.338,22.5352,9.85915,9.57746,6184.29,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-28,40,622.57,5269.37,17.7465,17.1831,18.3099,8.4507,8.16901,5961.8,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-29,40,726.917,5449.02,22.5352,16.6197,25.3521,7.04225,6.76056,6254.25,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
MP111_4-30,40,464.803,5290.51,16.0563,14.3662,25.3521,2.8169,5.91549,5819.81,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
