,Final U238 Pb206_mean,Final U238 Pb206_2SE,Final Pb207 Pb206_mean,Final Pb207 Pb206_2SE,rho 207Pb 206Pb v 238U.206Pb,Final U238 Pb206_prop2SE,Final Pb207 Pb206_prop2SE
JK25,1.89644335,0.199882045,0.678679156,0.052087822,0.171823213,,
JK25,7.956000807,0.43392635,0.286092011,0.034271776,-0.021998703,,
JK25,5.247555002,0.372935433,0.461674115,0.038244117,0.048639684,,
JK25,1.21674639,0.098859335,0.781130399,0.039933665,0.120231323,,
JK25,5.13243736,0.351908884,0.477345205,0.045395398,-0.323499697,,
JK25,1.349094824,0.142906756,0.833680484,0.056940124,0.092749593,,
JK25,0.058888388,0.017120238,0.886656925,0.030462859,0.01181657,,
JK25,0.692000787,0.055486335,0.831386529,0.024917831,-0.18417528,,
JK25,3.473687582,0.339573064,0.622998751,0.038248592,-0.115473948,,
JK25,0.530896114,0.047471921,0.872566321,0.028413633,0.056318976,,
JK25,1.048823723,0.080242224,0.831070667,0.023956877,-0.052797243,,
JK25,2.248274745,0.106610963,0.729829741,0.032953496,0.032758992,,
JK25,2.11834593,0.086470789,0.765096757,0.032401888,0.193904939,,
JK25,1.315947438,0.047349224,0.808044633,0.028648132,0.335590558,,
JK25,2.156996662,0.318865648,0.756552357,0.034430498,-0.068021942,,
JK25,3.882667391,0.241570688,0.59337473,0.036071332,-0.25116843,,
JK25,1.05126608,0.085014911,0.808454231,0.030586629,0.055453306,,
JK25,1.018423577,0.107038495,0.828666717,0.028015756,0.000434481,,
JK25,1.734288463,0.115185075,0.759704024,0.030365732,-0.016561374,,
JK25,4.982814933,0.325084238,0.527222906,0.054999837,0.357748186,,
JK25,1.114798902,0.114705036,0.843414411,0.029363079,-0.059344696,,
JK25,2.013251335,0.162171706,0.74275465,0.025747727,-0.078791655,,
JK25,0.430068679,0.082252781,0.907701923,0.036987225,-0.134561903,,
JK25,2.114662925,0.092434225,0.721195389,0.03461597,0.138938957,,
JK25,4.084983413,0.567263514,0.620578372,0.075123701,0.40274329,,
JK25,1.909839571,0.121622126,0.74071666,0.032210399,-0.076997893,,
JK25,1.251945607,0.068044031,0.821495199,0.030730423,0.162890265,,
JK25,1.205733846,0.096070546,0.812613659,0.036852248,-0.175459441,,
JK25,0.218001596,0.022604952,0.900157583,0.02778312,0.104210687,,
JK25,2.902979485,0.183731098,0.706892359,0.033749823,-0.160031377,,
JK25,0.731949209,0.113805564,0.853888802,0.062132129,0.164631992,,
JK25,0.25003905,0.025273809,0.907985232,0.040666076,0.220209751,,
JK25,0.040314891,0.006794929,0.927332395,0.029791158,-0.026843851,,
JK25,0.498845448,0.031312999,0.898369813,0.040042209,0.291259724,,
JK25,3.864918297,0.192087184,0.613864662,0.034015725,-0.213488059,,
JK25,0.174891008,0.014684491,0.889069242,0.034182332,0.128429412,,
JK25,0.335195712,0.029880708,0.877246666,0.03802928,0.171317137,,
JK25,0.188839335,0.024785741,0.880505295,0.041150115,0.019443075,,
JK25,0.647994445,0.091147317,0.864168189,0.040586317,-0.086768819,,
JK25,0.547908753,0.095297753,0.868375762,0.041630093,-0.155315421,,
JK25,0.632495315,0.072135619,0.864316042,0.062735502,0.050373381,,
JK25,4.817151824,0.251037674,0.499384287,0.035456958,0.251336905,,
JK25,4.54673854,0.350719198,0.549070646,0.062253318,0.581119608,,
JK25,0.625264751,0.049780363,0.851925455,0.02768907,-0.112839944,,
JK25,0.237769995,0.01787375,0.938692164,0.038268414,0.87456323,,
JK25,3.349991634,0.16718378,0.641541535,0.048650839,0.362733035,,
JK25,1.640703867,0.103890117,0.799679845,0.045703261,0.27309373,,
JK25,7.221660172,0.292106047,0.330456644,0.02727636,0.300530163,,
JK25,2.021336001,0.102335091,0.733389102,0.034317471,0.161636427,,
JK25,0.108691075,0.016727438,0.907067447,0.02604902,-0.13254938,,
JK25,2.422581363,0.14138034,0.70813598,0.050986891,0.278590276,,
JK25,0.987233641,0.076962115,0.833674173,0.042854873,-0.026852442,,
JK25,2.657171974,0.135430538,0.633240259,0.041142804,0.184547788,,
JK25,0.758513332,0.056411493,0.848148041,0.043947484,0.311750162,,
JK25,0.210230125,0.018503527,0.896279123,0.034216709,0.223575842,,
JK25,0.843931714,0.163201916,0.783876193,0.042183413,-0.283758738,,
JK25,7.141066282,0.535816356,0.258048314,0.047567016,0.359756671,,
JK25,3.382985173,0.271976516,0.584728857,0.051224081,0.628854762,,
JK25,0.279972583,0.02001144,0.895844379,0.039470618,0.134456881,,
JK25,2.046772694,0.127264275,0.713986812,0.034463872,0.145130767,,
JK25,6.28131906,0.284812692,0.373424682,0.027978855,-0.178282409,,
JK25,3.896503322,0.273867987,0.529715884,0.043706117,0.040928163,,
JK25,4.158996882,0.226656231,0.522984952,0.03393902,0.10321822,,
JK25,2.86043082,0.264044703,0.628829302,0.03425112,-0.225800602,,
JK25,3.704403194,0.220026317,0.583107288,0.034404215,-0.09402179,,
JK25,2.065376378,0.095891755,0.698095404,0.033734211,0.357125765,,
JK25,0.148498676,0.016497715,0.887031676,0.045906352,0.152943148,,
JK25,0.522751594,0.05778125,0.866377898,0.034047051,0.038336578,,
JK25,3.432678015,0.208768974,0.593767376,0.039399066,0.120428358,,
JK25,5.395736392,0.411657562,0.398190484,0.040578007,-0.131290962,,
JK25,0.400382408,0.023349479,0.858271457,0.028066566,0.152455926,,
JK25,0.572325093,0.033219159,0.871158832,0.029476544,0.18949529,,
JK25,2.034434404,0.22296791,0.763789702,0.032912454,-0.08942833,,
JK25,0.771626149,0.060713211,0.807501859,0.034217665,0.161878279,,
JK25,1.087645102,0.059478398,0.808224934,0.028473064,0.011793473,,
JK25,1.123291206,0.089211342,0.83631962,0.031664069,0.005093191,,
JK25,1.347853207,0.071060706,0.799583049,0.027090385,0.208509447,,
JK25,0.100310507,0.012724686,0.9091802,0.029611024,0.069086558,,
JK25,1.441689469,0.087091928,0.80869152,0.03015444,0.025282968,,
JK25,0.159716323,0.014418651,0.899189496,0.029836401,0.139245928,,
JK25,2.496546795,0.178579258,0.686001679,0.030360464,-0.246843098,,
JK25,2.075594273,0.148253188,0.65368997,0.065323245,0.453241874,,
JK25,0.572249595,0.036301479,0.881375801,0.030815735,0.444907224,,
JK25,0.538242001,0.033367719,0.859104469,0.045186075,0.447738997,,
JK25,1.634809668,0.088340821,0.785161864,0.033813411,0.219716004,,
JK25,1.417792103,0.111736214,0.80900626,0.033794154,0.050132365,,
JK25,1.700467137,0.100392567,0.753066886,0.030048375,-0.079153351,,
JK25,1.669379425,0.070695759,0.795254455,0.026465653,0.033420786,,
JK25,0.752027354,0.051062176,0.83831729,0.029220391,0.282269097,,
JK25,1.70115341,0.102376285,0.776327336,0.029713581,0.256922655,,
JK25,1.190731114,0.056883382,0.79926889,0.031133207,0.20702996,,
JK25,0.43010932,0.031873565,0.887526961,0.032723382,0.049772006,,
JK25,0.067048155,0.008569718,0.901468735,0.031125946,0.164490682,,
JK25,0.417225287,0.02878719,0.880311243,0.036920531,0.227897107,,
JK25,0.11671741,0.013278748,0.89959207,0.037290934,0.050244176,,
