,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ6_2_matrix
GQ6_2_matrix-86,1.40673,0.0755498,5648.4,202.179,143.801,9.01312,5046.34,64.2,0.734677,0.0125799,4770.9,20.6703,0.757431,0.0414353,0.468434,0.583525,
GQ6_2_matrix-87,1.23105,0.0674906,5162.44,193.737,120.507,7.58687,4869.62,61.3811,0.703069,0.0106197,4728.9,20.8685,0.870402,0.0473044,0.273086,0.675201,
GQ6_2_matrix-88,0.988015,0.0528,4424.84,171.662,85.9186,5.30763,4529.68,63.1663,0.623041,0.0080226,4559.93,19.0012,1.08621,0.0595036,0.373052,0.588543,
GQ6_2_matrix-89,0.97965,0.0528607,4396.17,171.358,85.5009,5.29801,4524.36,62.0734,0.626468,0.00705655,4566.91,16.1662,1.10088,0.0571697,0.289974,0.754073,
GQ6_2_matrix-90,0.968646,0.0525915,4360.09,172.036,83.3725,5.1792,4499.12,62.5796,0.620019,0.00795498,4550.8,18.6904,1.11634,0.0606748,0.344586,0.684515,
GQ6_2_matrix-91,0.987735,0.0538307,4422.23,173.605,85.6527,5.36041,4525.76,63.1274,0.622476,0.00757899,4558.99,18.0628,1.09912,0.0575665,0.32775,0.704127,
GQ6_2_matrix-92,0.976601,0.0534351,4385.9,173.178,84.7556,5.29282,4517.95,60.9944,0.625541,0.00858422,4562.99,19.8304,1.11492,0.0602028,0.433349,0.621157,
GQ6_2_matrix-93,1.03346,0.0566127,4568.98,179.342,88.5779,5.6507,4560.9,62.241,0.617389,0.00764415,4544.97,17.9958,1.0559,0.0655227,0.116116,0.844278,
GQ6_2_matrix-94,1.00471,0.055563,4482.5,181.759,87.35,5.55257,4544.81,64.0824,0.625935,0.00866166,4563.87,19.9246,1.07813,0.0592025,0.300373,0.678385,
GQ6_2_matrix-95,1.01715,0.0570103,4514.08,181.114,90.0551,5.77446,4574.2,64.3219,0.638256,0.00877498,4596.85,19.6825,1.0646,0.0588903,0.298797,0.72505,
GQ6_2_matrix-96,0.987928,0.0549456,4422.9,178.247,86.6296,5.51288,4537.18,64.7553,0.633093,0.00683637,4582.44,15.5526,1.08575,0.0604669,0.216831,0.773111,
GQ6_2_matrix-97,0.96763,0.0545239,4355.22,176.497,84.6973,5.41563,4514.2,64.6853,0.634973,0.00819325,4585.29,18.6821,1.10201,0.059567,0.251017,0.745092,
GQ6_2_matrix-98,0.942204,0.0522543,4279.64,178.241,82.7581,5.28411,4491.78,64.6474,0.634144,0.0075624,4584.07,17.3434,1.11405,0.0617411,0.221571,0.685391,
GQ6_2_matrix-99,0.935609,0.0529781,4256.04,180.476,81.8081,5.27231,4479.17,65.4267,0.632617,0.00861094,4579.36,19.6947,1.11732,0.0638497,0.381306,0.706317,
GQ6_2_matrix-100,0.909227,0.0515174,4162.91,172.562,80.9278,5.21209,4468.76,65.0929,0.64349,0.00764512,4607.25,17.5971,1.13782,0.0623277,0.227471,0.753652,
GQ6_2_matrix-101,0.847771,0.047957,3952.65,166.619,72.1358,4.62544,4354.42,64.5336,0.615894,0.00845357,4540.44,20.0019,1.20634,0.0687191,0.433866,0.616302,
GQ6_2_matrix-102,0.827903,0.0471427,3881.28,166.201,71.6444,4.6806,4345.79,65.6677,0.626288,0.00855457,4569.35,19.8541,1.22777,0.0686086,0.347948,0.715714,
GQ6_2_matrix-103,0.74734,0.0424197,3593.79,156.195,64.4913,4.11007,4243.04,63.9783,0.624462,0.00794818,4563.33,19.092,1.34869,0.0761249,0.473981,0.580281,
GQ6_2_matrix-104,0.697959,0.0376921,3409.44,142.935,59.2343,3.66232,4158.13,62.3744,0.636914,0.00789858,4590.04,17.9746,1.40137,0.0734654,0.452963,0.616189,
