,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ6_2_matrix
HFO - 33,0.12205,0.00680028,742.055,39.0985,15.4238,0.986508,2837.83,61.8969,0.911559,0.00871282,4978.17,9.44048,8.19623,0.45384,0.299385,0.822353,
HFO - 32,0.122327,0.0066401,743.701,38.0873,15.471,0.960566,2843.39,60.86,0.918734,0.00916694,4976.09,9.98927,8.17639,0.439785,0.416507,0.753519,
HFO - 31,0.122084,0.00655603,742.394,37.6314,15.4328,0.947268,2841.94,59.4096,0.916881,0.00835822,4975.84,20.3852,8.19083,0.439555,0.487617,0.680603,
HFO - 36,0.122102,0.00669284,742.34,38.348,15.4357,0.965396,2839.76,58.7675,0.915253,0.00889571,4970.87,13.3833,8.19307,0.435869,0.395168,0.792428,
HFO - 35,0.12219,0.00657493,742.952,37.6779,15.4493,0.958422,2842.28,60.5515,0.920182,0.00825036,4978.51,16.0968,8.1796,0.425297,0.221248,0.789886,
HFO - 34,0.122073,0.00664471,742.149,38.1349,15.4308,0.964027,2838.04,59.7351,0.921561,0.00856434,4948.45,22.4355,8.19356,0.441808,0.281909,0.850151,
HFO - 39,0.122087,0.00657985,742.42,37.7241,15.4559,0.982708,2842.08,60.0678,0.924551,0.0080465,4969.99,30.9817,8.19293,0.427903,0.431737,0.701926,
HFO - 38,0.122428,0.00661392,744.399,37.9805,15.4524,0.930715,2842.22,57.5426,0.913194,0.0079416,4960.55,13.9624,8.1714,0.444586,0.40087,0.628252,
HFO - 37,0.121904,0.00619282,741.244,35.5069,15.4145,0.898776,2838,55.2779,0.915323,0.00885286,4969.33,16.103,8.20152,0.40407,0.257648,0.799201,
HFO - 42,0.122169,0.00656219,742.866,37.6333,15.4434,0.95064,2840.9,58.1053,0.917127,0.00878365,4963.61,17.9613,8.18544,0.428936,0.338456,0.689085,
HFO - 41,0.12204,0.00657067,742.101,37.6577,15.4302,0.950744,2841.37,59.8454,0.917971,0.00858916,4977.04,14.0098,8.19318,0.435552,0.423362,0.7512,
HFO - 40,0.122162,0.00649206,742.83,37.2701,15.4424,0.943695,2840.93,58.1016,0.916429,0.00815193,4977,13.6336,8.18556,0.433588,0.332278,0.705532,
HFO - 45,0.121894,0.00638427,741.294,36.6358,15.4116,0.926252,2839.15,56.8852,0.918348,0.008658,4979.56,9.35948,8.20036,0.423623,0.503828,0.663633,
HFO - 44,0.122964,0.00675184,747.342,38.746,15.539,0.974724,2847.37,61.4214,0.913711,0.0085587,4962,16.7722,8.14116,0.450138,0.264462,0.800081,
HFO - 43,0.121974,0.00660615,741.785,37.9625,15.4182,0.963218,2839.68,59.6619,0.917134,0.00859021,4979.65,16.2104,8.20892,0.448817,0.483925,0.636622,
HFO - 30,0.122117,0.00653406,742.617,37.5256,15.4366,0.949937,2842.19,57.1885,0.921558,0.00838915,4970.18,39.0088,8.18912,0.426072,0.489461,0.588162,
HFO - 29,0.122233,0.00668305,743.252,38.4008,15.4536,0.968376,2841.81,60.5135,0.920133,0.00841008,4977.14,12.6415,8.18192,0.438689,0.461271,0.662901,
HFO - 28,0.122241,0.00671181,743.344,38.5335,15.4348,0.953809,2840.91,58.9415,0.916225,0.00829146,4966.69,15.8366,8.19027,0.447912,0.40239,0.569172,
HFO - 55,0.12207,0.00614741,742.368,35.3006,15.4324,0.899882,2840.97,55.8207,0.913629,0.00819739,4971.65,14.973,8.19069,0.41197,0.484084,0.591727,
HFO - 54,0.122246,0.00632875,743.354,36.3607,15.4504,0.926693,2842.99,55.3706,0.913903,0.00793034,4964.03,25.508,8.17665,0.415718,0.324685,0.716168,
HFO - 53,0.122064,0.00659588,742.183,37.8428,15.4329,0.952297,2839.01,58.1564,0.921299,0.0088822,4961.1,18.7629,8.19362,0.436918,0.316889,0.795211,
HFO - 52,0.121889,0.00670235,741.161,38.4742,15.405,0.967497,2837.46,59.6309,0.918052,0.00801828,4977.56,20.9251,8.20554,0.449818,0.440282,0.849109,
HFO - 51,0.122676,0.00659211,745.724,37.8237,15.5196,0.955856,2844.81,58.5121,0.919154,0.00788287,4971.92,16.7408,8.15219,0.437693,0.395018,0.813541,
HFO - 50,0.1219,0.00630424,741.294,36.2482,15.403,0.925116,2837.76,56.9868,0.918689,0.00765608,4977.9,16.2573,8.18877,0.423778,0.307971,0.825462,
HFO - 58,0.121865,0.00655479,740.956,37.6696,15.4014,0.949163,2836.23,59.5712,0.918332,0.00796027,4978.4,24.7478,8.20013,0.449298,0.23682,0.86718,
HFO - 57,0.122994,0.007004,747.26,40.2469,15.569,1.01127,2844.21,62.8922,0.918407,0.0072289,4961.29,47.6768,8.14372,0.477063,0.117956,0.930645,
HFO - 56,0.122022,0.00695033,741.983,39.9994,15.4182,1.00173,2838.33,63.0635,0.913019,0.00761679,4964.63,20.9843,8.19969,0.479957,0.246151,0.828051,
HFO - 61,0.122141,0.00650282,742.764,37.3077,15.4406,0.947598,2841.27,57.9809,0.918609,0.00835693,4980.68,11.6198,8.18737,0.443457,0.386654,0.638967,
HFO - 60,0.122122,0.00655389,742.603,37.6013,15.439,0.953463,2840.92,58.9227,0.921145,0.00784205,4961.23,40.6476,8.18827,0.434584,0.31771,0.737512,
HFO - 59,0.12213,0.00664092,742.537,38.1476,15.4386,0.966223,2839.03,60.0912,0.915442,0.00824269,4982.11,21.5119,8.1886,0.451115,0.237186,0.83593,
HFO - 64,0.122137,0.00650612,742.757,37.3589,15.4387,0.947636,2842.23,59.869,0.915612,0.00787963,4980.92,16.8532,8.18707,0.446133,0.362602,0.642598,
HFO - 63,0.122103,0.00653112,742.524,37.5161,15.4403,0.950379,2840.87,58.9843,0.919254,0.0078939,4969.64,14.3294,8.19116,0.441531,0.377222,0.709539,
HFO - 62,0.122137,0.00648564,742.774,37.2564,15.4389,0.946266,2841.37,58.1175,0.91503,0.0083699,4972.33,15.3016,8.18721,0.436197,0.42517,0.563977,
HFO - 67,0.122221,0.00663967,743.155,38.1682,15.452,0.969562,2840.97,59.9486,0.915972,0.00829578,4971.95,31.3628,8.18069,0.464038,0.286964,0.745417,
HFO - 66,0.121841,0.00692032,740.905,39.8609,15.403,0.997889,2837.19,62.8491,0.920631,0.00802808,4969.7,42.0497,8.21607,0.476772,0.311106,0.803906,
HFO - 65,0.122224,0.00662378,743.224,38.0646,15.4489,0.949121,2841.94,58.4872,0.916248,0.00809673,4968.31,21.5592,8.18281,0.436892,0.511097,0.647849,
HFO - 70,0.122218,0.00680241,743.168,39.0092,15.4447,0.966549,2841.42,59.7478,0.913648,0.00782004,4964.39,20.8054,8.18445,0.445689,0.282571,0.689842,
HFO - 69,0.121963,0.00642945,741.754,36.9091,15.4299,0.931175,2841.33,57.5556,0.924031,0.00822612,4964.24,40.7613,8.19925,0.428454,0.531211,0.44768,
HFO - 68,0.122196,0.00657551,743.059,37.7918,15.4422,0.941087,2841.66,57.8502,0.916533,0.00785356,4979.97,12.6323,8.1835,0.435276,0.453331,0.657511,
HFO - 2,0.122001,0.00632743,742.708,37.4114,15.4389,0.944424,2841.56,58.4135,0.91706,0.007677,4968.16,38.8844,8.18812,0.437218,0.328417,0.586301,
HFO - 49,0.122202,0.00645892,743.018,37.044,15.4535,0.950466,2839.98,57.8986,0.918595,0.00824621,4974.69,34.0856,8.18207,0.425425,0.0937139,0.824868,
HFO - 48,0.122038,0.00649245,742.125,37.3252,15.4281,0.943765,2839.99,58.5985,0.918555,0.00872275,4967.18,19.1832,8.19386,0.433617,0.340291,0.680563,
HFO - 47,0.122034,0.00660207,742.149,37.9245,15.4233,0.955099,2840.18,59.0263,0.915578,0.00816562,4981.09,6.78455,8.19361,0.454531,0.253922,0.658454,
HFO - 46,0.122172,0.0062029,742.898,35.5909,15.4447,0.897763,2841.54,54.9731,0.917358,0.00767483,4975.4,22.6361,8.1832,0.410889,0.366378,0.730802,
JK22
JK22_62,0.340212,0.0303302,1851.9,136.225,18.0918,2.46272,2826.82,129.896,0.377209,0.026957,3681.92,119.499,3.24814,0.269851,-0.179582,0.909979,
JK22_63,0.353664,0.0424319,1877.03,171.294,18.5127,4.27544,2657.66,142.448,0.336125,0.0309652,3387.07,146.816,3.37815,0.279852,-0.127344,0.964191,
JK22_64,0.300518,0.0196484,1671.78,84.0116,16.2565,1.33647,2846.56,73.4992,0.401728,0.0193432,3870.75,74.3671,3.41086,0.22765,0.0669103,0.897067,
JK22_65,0.381632,0.0420195,2015.76,168.022,25.1014,3.66341,3120.76,118.137,0.478455,0.0338373,3996.39,109.52,3.07694,0.230857,-0.10379,0.949729,
JK22_66,0.207058,0.0171715,1199.77,87.3459,10.3387,1.27479,2331.27,95.6881,0.358365,0.0214484,3653.81,92.2913,5.24443,0.371063,-0.145799,0.919141,
JK22_67,0.264839,0.0226197,1492.98,108.542,16.4969,2.34727,2740.56,113.8,0.42593,0.0278943,3843.12,103.204,4.12827,0.308813,-0.240892,0.930629,
JK22_68,0.369805,0.0293353,1999.89,132.329,21.3783,2.29584,3109.75,105.299,0.458439,0.0399138,3869.86,125.661,2.91765,0.221851,0.32789,0.686554,
JK22_69,0.775837,0.0591172,3655.11,214.859,71.2259,6.46995,4273.32,94.0076,0.673147,0.0299719,4520.3,58.9921,1.37345,0.0985201,0.22037,0.734619,
JK22_70,0.28809,0.020415,1619.1,98.9202,13.2336,1.45778,2591.16,96.1923,0.332299,0.0197118,3534.36,93.8807,3.66844,0.250175,-0.382755,0.910056,
JK22_71,0.262962,0.0202331,1489.78,98.3255,15.5111,1.70968,2761.58,96.4661,0.432024,0.0244331,3945.08,86.5486,3.99592,0.278103,-0.114694,0.909727,
JK22_72,0.350015,0.0241201,1919.03,115.039,15.6761,1.44722,2777.98,96.0562,0.327688,0.0167669,3541.38,78.5327,3.03025,0.225468,-0.193491,0.724909,
JK22_73,0.472833,0.0327958,2485.2,138.044,29.2879,2.63171,3428.03,90.4433,0.452862,0.0249754,4023.83,81.9433,2.1984,0.159167,-0.0633181,0.676283,
JK22_74,0.334217,0.0223849,1846.1,107.8,15.5626,1.35516,2827.86,93.3139,0.347714,0.0169416,3622.36,76.419,3.00457,0.193686,-0.152955,0.818662,
JK22_75,0.272673,0.0205203,1539.22,101.244,11.7449,1.29161,2488.68,103.981,0.316831,0.0202572,3454.63,104.677,3.92172,0.279342,-0.314858,0.836866,
JK22_76,0.338924,0.0251131,1861.45,119.296,15.7981,1.59803,2758.81,103.372,0.325456,0.0150537,3532.31,75.6611,3.2818,0.247222,-0.497298,0.895533,
JK22_77,0.264106,0.0177306,1502.17,88.8506,10.7372,0.986718,2473.87,88.0284,0.300465,0.0155634,3393.91,83.771,3.99156,0.254542,-0.117995,0.745151,
JK22_78,0.237195,0.0162169,1363.93,83.3696,6.98136,0.711363,2029.17,79.9535,0.20461,0.0112042,2805.55,93.7386,4.49195,0.327605,-0.214976,0.779613,
JK22_79,0.558713,0.0409339,2836.49,170.966,32.6967,3.0963,3507.94,98.684,0.447057,0.0312318,3902.7,101.111,1.96019,0.145064,0.259565,0.409048,
JK22_80,2.37809,0.365592,7071.85,505.023,260.037,40.0677,5389.87,123.532,0.777901,0.026533,4708.01,46.3192,0.605862,0.0560242,-0.0175264,0.98658,
JK22_81,0.286912,0.0193987,1615.58,96.8884,10.6282,0.917504,2451.76,81.1383,0.268571,0.0129744,3232.39,75.2655,3.7426,0.267654,0.0591734,0.654287,
JK22_82,0.342642,0.0281996,1869.15,133.22,17.6413,2.44844,2777.95,118.003,0.34416,0.0238726,3527.65,103.661,3.37147,0.300914,-0.281035,0.674716,
JK22_83,0.27246,0.0198137,1559.57,106.797,11.6528,1.21386,2530.35,111.421,0.302995,0.0165563,3424.74,86.5495,3.94654,0.311264,-0.483528,0.854908,
JK22_84,1.17329,0.148995,4708.97,398.427,111.36,15.4289,4575.77,143.088,0.674569,0.0269111,4580.72,51.6101,1.23398,0.131449,-0.254157,0.961484,
JK22_85,0.312901,0.0259197,1729.2,121.692,17.8165,2.14344,2865.48,116.791,0.409118,0.0298371,3760.52,120.104,3.50835,0.257846,0.27674,0.838966,
JK22_86,0.356042,0.0264616,1942.06,120.712,21.8697,2.05834,3141.62,99.444,0.444352,0.0227888,3983.58,80.87,3.04443,0.223381,0.0715393,0.84213,
JK22_87,0.408892,0.0338269,2171.45,148.139,31.5015,3.41204,3426.72,105.038,0.53777,0.0244867,4277.04,68.1362,2.7335,0.214657,-0.0894148,0.933119,
JK22_88,0.248054,0.0171914,1419.12,87.4696,12.3351,1.11911,2569.19,98.727,0.352593,0.0185232,3652.06,88.7465,4.32365,0.279504,-0.187622,0.66333,
JK22_89,0.369899,0.0367953,1990.39,165.487,25.6378,3.18711,3177.74,113.668,0.479561,0.02227,4103.11,74.8942,3.23494,0.257207,-0.167895,0.920181,
JK22_90,0.381916,0.0271032,2065.62,122.298,25.5582,2.84567,3220.46,89.1408,0.464713,0.0261166,4037.64,81.8724,2.75799,0.192897,-0.0590012,0.880343,
JK22_91,0.574106,0.0609234,2804.13,231.28,46.3804,6.142,3691.99,147.325,0.544712,0.0343043,4169.05,85.679,2.27573,0.223996,-0.340952,0.890195,
JK22_92,0.320852,0.0259489,1768.83,122.195,21.1522,2.83513,2992.21,123.799,0.45836,0.0330159,3918.87,117.379,3.39525,0.279958,-0.0353821,0.900221,
JK22_93,0.259614,0.0203652,1471.99,98.9826,13.4953,1.54185,2610.01,95.4317,0.376584,0.0232472,3729.88,96.4265,4.16458,0.282082,-0.0724819,0.89002,
JK22_94,0.434682,0.044611,2254.63,179.557,25.2518,5.41993,2967.35,130.495,0.347558,0.0300615,3468.23,119.53,2.73314,0.242295,0.124331,0.0716039,
JK22_95,0.312622,0.0231768,1736.08,110.054,16.0882,1.75844,2812.92,95.3001,0.383475,0.0265471,3734.97,106.746,3.39715,0.246865,0.0663934,0.836527,
JK22_96,0.356984,0.0243436,1953.1,109.592,21.3184,1.98666,3092.86,81.8593,0.399459,0.0213545,3838.88,79.3806,3.03202,0.189336,-0.0964022,0.878685,
JK22_97,0.681614,0.0817484,3136.43,243.406,55.8576,9.51892,3848.79,121.268,0.495329,0.0304463,4068.37,92.0607,1.91457,0.147919,-0.0785977,0.964353,
JK22_98,0.318522,0.021562,1770.36,101.775,15.5152,1.66881,2749.04,85.5328,0.307162,0.0209635,3393.96,101.507,3.48365,0.227767,-0.122605,0.879145,
JK22_99,0.684553,0.0727581,3227.45,238.93,54.8783,7.90605,3893.26,132.858,0.514058,0.0468901,3807.48,150.74,1.90415,0.163375,0.310856,0.907886,
JK22_100,0.662696,0.0595249,3158.64,186.621,56.7189,6.67982,3986.22,114.676,0.520431,0.0376881,4042.37,122.236,1.8439,0.143822,0.235462,0.800925,
JK22_101,0.383601,0.0314306,2059.39,140.157,22.758,3.03539,3080.68,137.152,0.344281,0.0240751,3561.38,117.636,3.13394,0.286379,-0.310625,0.937463,
JK22_102,0.369076,0.0286216,1997.18,133.816,14.3182,1.6132,2622.09,111.019,0.219366,0.0156553,2847.9,129.648,3.33335,0.273239,-0.142873,0.747174,
JK22_103,0.429602,0.0366662,2260.21,153.699,33.5473,4.01197,3496.69,111.343,0.462564,0.0326669,3928.29,115.758,2.88099,0.217695,0.237165,0.854617,
JK22_104,0.69691,0.0543761,3348.02,193.751,51.9097,6.25668,3898.02,101.218,0.422146,0.0266855,3863.94,99.9172,1.78598,0.130366,-0.0713381,0.906463,
JK22_105,0.733832,0.0711269,3430.18,232.109,62.4064,8.69965,4068.27,121.489,0.474892,0.0295916,4049.36,95.9243,1.80324,0.146833,-0.10782,0.954384,
JK22_106,0.815325,0.0785074,3713.13,246.851,72.7673,9.99907,4187.01,114.315,0.482852,0.0278105,4054.64,82.1408,1.61665,0.127438,-0.0901091,0.941227,
JK22_107,1.12397,0.116821,4572.06,236.884,111.649,17.4055,4575.34,113.546,0.511375,0.0327354,4072.11,95.4335,1.18331,0.0913788,-0.0359149,0.89385,
JK22_108,0.639385,0.0525489,3134.71,207.531,59.3,6.28726,4023.07,114.654,0.504357,0.0367968,4029.38,98.5515,2.0602,0.174122,0.258147,0.598983,
JK22_109,0.59671,0.0380991,2995.35,151.314,48.5082,3.84283,3923.08,80.2765,0.455267,0.0207052,4047.87,68.4498,2.03495,0.139805,0.229852,0.758591,
JK22_110,0.733091,0.0745491,3417.6,235.54,62.5588,7.76844,4095.55,107.503,0.485004,0.0274817,4079.99,83.8657,1.85064,0.138831,-0.0682945,0.957324,
JK22_111,0.600435,0.0444095,2990.59,167.028,49.8666,4.78234,3914.38,80.6455,0.47084,0.0245314,4072.95,72.7479,2.08052,0.143509,0.160969,0.892232,
JK22_112,0.929046,0.10258,4069.53,300.86,109.969,15.6673,4585.93,123.42,0.635405,0.0408077,4299.46,90.5368,1.53532,0.130888,0.165679,0.905364,
JK23
JK23_75,0.241354,0.0171807,1384.34,88.2135,15.4791,1.3754,2789.78,93.3941,0.368818,0.0255801,3665.09,106.214,5.19772,0.372692,0.362625,0.284675,
JK23_76,0.178831,0.0105388,1058.74,57.2119,6.68585,0.505104,2052.68,72.2172,0.210651,0.00882855,2873.28,69.5871,6.5753,0.380422,0.0546413,0.544093,
JK23_77,0.8111,0.0688541,3758.14,238.126,87.038,8.49616,4482.94,101.537,0.620905,0.0324325,4354.97,73.9468,1.62468,0.128322,0.307811,0.822119,
JK23_78,3.45759,0.301205,9401.24,477.001,433.662,40.0581,6112.57,104.764,0.728426,0.0289207,4596.58,51.889,0.381952,0.0364387,0.108135,0.853868,
JK23_79,1.00073,0.108701,4252.25,305.25,117.268,13.5138,4729.88,111.922,0.707789,0.0384346,4481.22,73.2441,1.44924,0.135955,0.284482,0.891184,
JK23_80,1.0835,0.0804392,4727.45,274.782,124.978,11.0886,4853.13,94.9681,0.670137,0.0309311,4484.87,60.2365,1.12967,0.0926088,0.233183,0.726301,
JK23_81,0.553906,0.0460971,2812.25,186.353,54.4093,5.30947,4023.43,101.755,0.577803,0.034693,4403.26,87.1415,2.18864,0.176907,0.291397,0.501373,
JK23_82,1.66727,0.178299,6152.7,422.099,186.87,23.406,5195.61,127.587,0.644875,0.0225057,4548.53,42.7174,0.814296,0.0760173,-0.18144,0.971268,
JK23_83,0.620426,0.0503286,3049,193.924,71.7148,7.20176,4246.04,97.0768,0.699178,0.0395346,4451.3,68.7342,1.96838,0.162892,0.353287,0.836568,
JK23_84,1.08195,0.111337,4511.11,349.169,129.844,15.2926,4715.65,150.936,0.703401,0.030921,4556.21,57.3778,1.3637,0.161118,-0.435033,0.901931,
JK23_85,1.25098,0.0902792,5176.43,249.074,139.772,10.8889,4989.84,79.2981,0.697052,0.0259451,4591.59,47.5794,0.921931,0.06002,0.278934,0.731857,
JK23_86,0.190904,0.0137697,1119.83,73.3096,11.8718,1.2195,2509.58,95.1065,0.385226,0.0198454,3774.14,83.0814,6.11008,0.405547,-0.353908,0.809628,
JK23_87,1.84955,0.158917,6573.4,345.643,220.672,19.9857,5407.55,94.1281,0.773366,0.0295241,4689.47,45.7135,0.663579,0.0518367,0.171549,0.821872,
JK23_88,0.181828,0.0133606,1070.13,69.8785,8.47265,0.901626,2195.91,82.4699,0.309953,0.0201058,3436.62,103.474,6.17472,0.405446,-0.219159,0.906198,
JK23_89,0.384561,0.0284616,2075.11,130.419,27.4096,2.57084,3319.5,97.281,0.464618,0.0249765,4045.61,80.5428,2.94115,0.207051,0.0388001,0.624018,
JK23_90,1.27197,0.0915282,5247.74,265.48,133.07,10.415,4939.71,85.5644,0.699506,0.0223914,4620.52,42.3814,0.88628,0.0641234,0.211514,0.798381,
JK23_91,0.196657,0.0133535,1151.78,70.2493,10.9037,1.08143,2445.32,74.7006,0.369957,0.0205884,3720.53,68.6289,5.49114,0.373821,0.032146,0.683814,
JK23_92,1.51201,0.123446,5809.79,318.956,183.003,16.0316,5230.38,91.828,0.823766,0.0365505,4668.41,47.4861,0.745574,0.0569684,0.300921,0.74272,
JK23_93,0.20427,0.0130559,1193.9,68.9784,12.1909,1.05122,2586.24,81.0781,0.409837,0.0212348,3880.91,79.7992,5.12844,0.349566,0.080744,0.766531,
JK23_94,1.03714,0.101538,4398.96,299.573,106.268,13.3188,4586.09,113.998,0.689863,0.0421395,4390.98,78.6727,1.1823,0.11185,0.211767,0.910485,
JK23_95,0.864131,0.0763333,3894.16,254.181,77.9453,9.16962,4255.85,143.59,0.596019,0.0348297,4301.89,89.2589,1.36642,0.130339,-0.405704,0.902603,
JK23_96,0.483345,0.0312691,2535.9,138.541,39.6954,3.33155,3709.72,80.2465,0.567305,0.0249043,4342.51,64.1252,2.16288,0.142711,0.0881754,0.553018,
JK23_97,0.826953,0.0642418,3829.77,229.4,76.442,6.73738,4347.67,102.136,0.646746,0.0256892,4511.16,53.0181,1.33589,0.108015,0.0774295,0.841685,
JK23_98,0.175402,0.0101775,1040.39,55.6458,8.59936,0.610279,2281.07,67.8161,0.350724,0.0110947,3691.71,49.7575,5.82115,0.341634,0.130846,0.577227,
JK23_99,0.428685,0.036646,2256.48,149.938,34.558,3.49029,3552.92,96.4585,0.598929,0.0320934,4343.24,77.5129,2.5727,0.176937,0.172591,0.899753,
JK23_100,0.218374,0.0135369,1274.36,73.571,11.2089,0.915665,2502.27,74.24,0.373144,0.0165965,3743.21,67.1685,4.76197,0.304005,-0.0131354,0.676794,
JK23_101,1.94106,0.147683,6798.66,324.174,196.098,16.4501,5302.17,92.2307,0.728078,0.0207973,4701.03,36.7861,0.578763,0.0462758,-0.0538251,0.853258,
JK23_102,0.545168,0.0425903,2755.44,179.003,42.999,4.13365,3751.02,103.979,0.560801,0.0219315,4341.19,55.457,2.05646,0.191288,-0.163975,0.840778,
JK23_103,0.531628,0.0398676,2709.14,164.093,40.1255,3.65048,3692.11,91.6104,0.540569,0.0211452,4299.97,58.547,2.04452,0.148908,0.011558,0.838336,
JK23_104,0.161491,0.00906399,964.207,50.2717,4.5666,0.315337,1733.99,53.7657,0.205886,0.00699361,2842.37,52.8688,6.32289,0.369877,0.233449,0.290316,
JK23_105,0.549092,0.0416329,2795.41,172.476,50.9238,4.42437,3967.53,84.6313,0.685281,0.0286632,4559.18,54.5132,1.99631,0.142722,0.2332,0.782785,
JK23_106,4.76799,0.389362,11213.7,438.54,598.072,54.3363,6445.08,91.0808,0.900717,0.0238412,4850.16,30.3884,0.233512,0.0199523,0.796263,0.925321,
JK23_107,2.14974,0.229306,6918.62,477.38,219.354,24.5767,5270.84,138.717,0.737073,0.0257536,4656.99,43.6553,0.673665,0.0871392,-0.150973,0.933214,
JK23_108,0.302734,0.0230792,1685.82,112.672,19.3727,1.86137,2991.01,100.398,0.474795,0.0292196,4008.63,93.7914,3.6468,0.299529,0.368091,0.679737,
JK23_109,0.674751,0.0633324,3259.62,244.056,55.2533,6.84855,3897.06,125.647,0.560086,0.026975,4298.89,71.6296,1.78121,0.174054,-0.30276,0.918631,
JK23_110,0.14253,0.0107384,853.853,60.3646,7.50343,0.825714,2063.63,102.879,0.37913,0.0282057,3673.71,110.659,7.60172,0.59693,-0.09517,0.579298,
JK23_111,0.899348,0.0824738,4006.78,250.708,79.5727,9.02905,4345.83,99.9614,0.627215,0.0189184,4520.5,40.3609,1.27232,0.090174,-0.48239,0.969638,
JK23_112,1.78832,0.239638,5951.24,507.726,179.205,26.4728,4934.65,151.612,0.692213,0.0202602,4639.63,38.5939,0.868549,0.0877408,-0.278695,0.979209,
JK23_113,0.210142,0.012856,1226.08,68.1845,12.7283,0.995013,2625.29,76.1829,0.447546,0.0215134,3997.1,75.2476,4.89836,0.317185,0.263645,0.479959,
JK23_114,1.62885,0.171466,5917.3,405.666,158.961,17.6319,5012.07,121.139,0.717627,0.0259256,4665.38,40.1411,0.816138,0.0857357,-0.135302,0.914673,
JK23_115,0.910937,0.0681548,4139.7,237.682,85.7591,7.1418,4482.58,89.2507,0.691765,0.0305851,4525.36,57.4685,1.20039,0.0948274,0.363908,0.669278,
JK23_116,0.528307,0.0532647,2642.97,204.495,45.769,5.82998,3761.06,131.317,0.648497,0.0495724,4217.27,106.868,2.27541,0.206343,0.142655,0.844165,
JK23_117,2.64121,0.221537,8155.09,413.903,274.594,25.7756,5633.83,102.182,0.758629,0.0284725,4658.1,48.2556,0.432157,0.0386193,0.115319,0.831772,
JK23_118,1.06262,0.0804575,4580.78,238.723,107.021,8.31482,4731.67,75.0976,0.759451,0.0297245,4636.27,52.3522,1.0104,0.0694996,0.401873,0.481421,
JK23_119,0.195954,0.0162653,1141.03,84.3012,14.2492,1.59193,2673.74,97.5812,0.518287,0.0219992,4233.64,65.7578,5.67365,0.393918,-0.297483,0.929604,
JK23_120,4.87459,0.51095,10707.4,620.637,605.263,68.1451,6291.34,138.77,0.86326,0.0215844,4845.03,29.604,0.296978,0.0405854,0.00276913,0.952199,
JK23_121,0.589972,0.0568594,2883.92,230.602,48.354,5.66394,3705.13,165.585,0.551913,0.033239,4216.54,101.038,2.29396,0.306881,-0.523276,0.858254,
JK23_122,0.142402,0.00859678,856.705,48.0853,7.08801,0.530303,2102.67,64.9095,0.361099,0.0132319,3712.1,57.0205,7.25545,0.433255,0.0294243,0.721687,
JK23_123,0.442569,0.0446134,2295.08,172.326,36.227,4.516,3569.1,103.409,0.574855,0.0239907,4347.47,52.8054,2.60636,0.180863,-0.259321,0.946946,
JK23_124,0.78406,0.0667917,3684.75,243.091,79.952,8.08591,4351.22,97.7274,0.722892,0.0345783,4538.95,72.4492,1.48068,0.12705,0.185895,0.838346,
JK23_125,0.172342,0.0102346,1023.1,56.2351,9.18063,0.666441,2342.84,64.8196,0.386284,0.0138224,3834.79,50.7593,6.0439,0.365184,0.205525,0.553602,
JK23_126,0.800662,0.0640655,3735.31,221.515,83.2742,7.22659,4445.76,82.9315,0.746378,0.0301376,4642.48,44.8056,1.40049,0.101758,0.421589,0.842075,
JK23_127,0.64924,0.048068,3190.33,195.67,63.61,5.39567,4167.65,95.3797,0.710142,0.0317248,4570.28,51.2549,1.70939,0.144893,0.259203,0.671319,
JK23_128,3.04285,0.296345,8701.86,484.729,367.84,37.245,5895.5,115.086,0.877321,0.0261638,4814.87,42.0925,0.401621,0.0382951,0.0380662,0.946814,
JK23_129,0.168523,0.0111142,1000.12,60.9473,12.857,1.03752,2642.48,82.4169,0.565571,0.0316249,4234.21,80.9597,6.34854,0.43247,0.416385,0.399524,
JK23_130,0.662908,0.0480206,3263.91,197.125,53.4167,4.53636,4006.8,95.2968,0.586189,0.0253667,4372.75,61.6357,1.67279,0.140973,0.0417339,0.760589,
JK23_131,0.544667,0.0404171,2764.63,163.169,48.4921,4.21059,3892.02,88.4817,0.643471,0.0267745,4483.39,56.2553,2.03059,0.13639,0.0152028,0.72662,
JK23_132,0.653146,0.0567451,3178.95,219.575,53.6858,5.44274,3960.98,114.016,0.588895,0.0289217,4339.83,68.7622,1.7909,0.15896,-0.0899672,0.707286,
JK23_133,0.404229,0.0331262,2162.95,157.655,29.6874,2.97124,3374.3,132.581,0.505351,0.0277705,4176.79,90.2306,2.89143,0.312385,-0.390248,0.758311,
JK23_134,1.82687,0.177947,6538.31,443.049,206.561,22.6043,5301.14,134.529,0.831821,0.0402213,4647.1,59.247,0.704218,0.0860079,0.00433233,0.876852,
JK25_2
JK25_2_1,0.323633,0.0224427,1792.95,108.868,28.5902,2.65326,3360.45,91.401,0.641542,0.0426399,4282.16,89.0422,3.34999,0.253163,0.362733,0.378326,
