,Si29_mean,Si29_2SE,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Si29_CPS_mean,Si29_CPS_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ5_12-10,66469.9,783.92,8.82743e+06,255862,809.176,32.7645,2484.79,113.691,630.721,50.113,2104.15,148.434,253.646,37.5512,878.317,78.8544,8.90157e+06,256634,20.4367,1.73377,1,0,15172.1,780.734,8.82645e+06,255864,23.5423,32.7083,2480.28,113.69,626.996,50.1129,2096.13,148.453,253.727,37.551,878.301,78.8542,8.8484e+06,256634,3.3346,0.268896,9054.38,393.13,120.412,13.9272,4684.84,106.467,1516.75,823.194,63241.6,8138.73,7.50507,0.75741,1.22179,13113.5,525.102,93.4305,13.4925,17.7998,4352.31,112.305,1516.75,823.194,63241.6,8138.73,0.248711,0.00967508,0.00972202,3125.01,61.1818,0.17298,0.0145149,541.684,284.734,2.53271,0.255124,0.411545,7711.65,425.437,686.278,97.3887,14.0398,18.5218,4394.37,112.277,148.12,0.248994,0.00968594,0.00973292,3126.82,61.1719,61.4686,0.523194,0.0439124,0.0708357,-0.39613,0.899421,
GQ5_12-11,81381.5,3135.16,8.34246e+06,234627,832.819,31.1224,2804.52,184.669,702.109,71.4333,2534.51,187.635,161.04,23.1827,488.268,37.3407,8.43234e+06,237620,20.4367,1.73377,1,0,30655.8,3118.04,8.34146e+06,234626,58.4961,31.1236,2800.07,184.668,698.393,71.4331,2525.29,187.657,160.711,23.1901,488.196,37.3446,8.37957e+06,237603,6.40333,0.388631,12630,330.329,209.513,14.2246,5356.94,68.3586,-2290.25,1041.84,53284,2320.64,14.3531,0.986668,2.08209,17214.7,409.145,156.546,12.1498,22.9349,5027.48,76.359,-2290.25,1041.84,53284,2320.64,0.241453,0.0108028,0.0108425,3077.27,66.8335,0.0807271,0.00518032,-263.825,113.768,4.88539,0.335294,0.707545,11131.3,360.696,761.149,164.725,12.7635,24.0935,5079.15,76.2611,143.957,0.241744,0.0108156,0.0108553,3079.21,66.8222,67.0674,0.241313,0.0154532,0.0326098,-0.125144,0.724307,
GQ5_12-12,69830.9,1187.93,8.33402e+06,300500,796.476,29.5084,2772.85,155.202,732.254,53.9774,2179.69,164.634,1680.09,277.799,4211.03,881.184,8.4197e+06,303132,20.4367,1.73377,1,0,19775.5,1181.82,8.33313e+06,300497,29.9643,29.4921,2768.49,155.202,728.548,53.9773,2169.68,164.639,1678.55,277.805,4210.77,881.185,8.36774e+06,303118,1.03924,0.0787718,4390.08,268.145,36.733,2.96421,3512.15,107.707,1.71933,0.148082,19179.3,1157.63,2.26591,0.171094,0.336233,7232.7,381.326,26.8933,2.20011,4.00097,3209.86,105.72,1.71933,0.148082,19179.3,1157.63,0.255279,0.00819417,0.00825249,3186.72,52.4926,0.607772,0.0750008,2.44097,0.148455,0.779049,0.0588035,0.11556,3569.46,223.686,439.585,28.5924,2.33817,4.25203,3268.88,106.127,192.996,0.255605,0.00820451,0.0082629,3188.74,52.483,52.8565,1.79368,0.221453,0.435197,-0.172788,0.901868,
GQ5_12-13,65048.6,714.596,8.34721e+06,329149,787.038,35.6735,3617.34,217.553,869.115,68.5188,3132.02,208.764,284.319,44.841,1077.76,159.54,8.42243e+06,330294,20.4367,1.73377,1,0,15138.2,714.229,8.34647e+06,329147,19.2382,35.6746,3613.06,217.552,865.418,68.5186,3122.29,208.746,282.116,44.8447,1077.63,159.535,8.37089e+06,330290,5.83552,0.571384,11637.2,537.78,185.395,17.2128,5155.33,96.0977,-195.204,69.7016,51483.1,1924.64,12.0593,0.994556,1.83361,15915,460.466,128.797,10.0581,18.9025,4841.15,77.7867,-195.204,69.7016,51483.1,1924.64,0.237706,0.00787637,0.00792899,3080.29,51.5428,0.103488,0.00791766,-21.5424,9.31598,4.19511,0.346758,0.639298,10129.1,398.905,735.44,138.53,10.8403,20.3723,4913.95,78.0237,146.632,0.238025,0.00788682,0.00793951,3082.44,51.5328,51.8771,0.301248,0.0231371,0.0426566,0.297499,0.927978,
GQ5_12-14,108426,2806.52,8.17433e+06,336736,814.732,35.6929,3400.48,172.797,1022.34,63.0693,3026.88,176.258,1139.02,84.0518,2889.12,171.903,8.29535e+06,335586,20.5569,1.72821,1,0,58734.7,2811.76,8.17362e+06,336737,43.6033,35.6887,3396.29,172.795,1018.65,63.0691,3018.46,176.23,1136.95,84.0547,2889.15,171.903,8.24402e+06,335579,1.24076,0.034715,5171.63,99.5747,50.7545,1.96566,3995.85,37.0362,3.29474,0.353037,27690.4,1571.68,2.71225,0.100153,0.360647,8434.08,166.979,37.0922,1.7281,4.92237,3685.43,47.4006,3.29474,0.353037,27690.4,1571.68,0.302608,0.00934492,0.00941675,3451.56,47.9974,0.382046,0.0138459,3.02937,0.305669,0.954326,0.0350644,0.126266,4323.74,111.132,400.181,40.3358,1.87209,5.33252,3768.51,47.3204,134.789,0.303036,0.00935798,0.00942991,3453.76,47.9888,48.3577,1.09358,0.0393882,0.141835,-0.0779664,0.795734,
GQ5_12-15,73604.2,1277.29,8.14893e+06,310864,793.895,28.4416,3505.8,158.169,871.776,46.7105,3161.76,179.604,240.911,24.956,602.742,27.3106,8.2321e+06,311056,20.4367,1.73377,1,0,24485.1,1280.92,8.14817e+06,310865,37.6339,28.5403,3501.7,158.168,868.098,46.7104,3155.16,179.576,239.409,24.951,602.69,27.3122,8.18129e+06,311042,6.14764,0.265296,12538.9,240.228,208.491,10.333,5392.72,51.8182,-33.5336,43.4461,54627.7,1762.39,13.6271,0.771789,1.90414,17084,343.955,154.028,9.57779,21.4021,5067.33,62.1961,-33.5336,43.4461,54627.7,1762.39,0.249045,0.00719482,0.00725797,3153.64,48.5371,0.0811406,0.00449462,-13.6346,12.0922,4.85877,0.273935,0.675849,11245.7,304.798,751.992,169.569,10.5058,23.4759,5164.65,62.0456,138.644,0.249415,0.00720546,0.00726871,3155.99,48.5274,48.9534,0.228366,0.0125953,0.031075,-0.00969895,0.873802,
GQ5_12-16,63406.2,796.355,7.97392e+06,283068,763.571,29.4685,2649.83,69.2846,624.409,29.391,2365.13,105.152,136.365,19.7665,372.424,33.1395,8.04445e+06,283790,20.4367,1.73377,1,0,14754,792.243,7.97313e+06,283068,26.5091,29.4584,2645.82,69.2831,620.741,29.3908,2360.12,105.138,135.831,19.7616,372.356,33.1379,7.9942e+06,283782,9.00612,0.750594,14290.4,456.987,286.572,23.6842,5628.95,79.4324,-1287.03,360.53,55474.3,2183.3,19.4624,1.5445,2.92682,18858.5,437.957,208.347,16.7022,30.8093,5312.17,77.8816,-1287.03,360.53,55474.3,2183.3,0.235411,0.00840597,0.00845435,3064.84,59.8565,0.0598934,0.00383613,-158.964,48.1916,7.04656,0.559234,1.05974,12935.4,400.745,759.408,232.485,18.6327,34.3702,5422.92,77.9026,143.701,0.235777,0.00841891,0.00846736,3067.32,59.8431,60.1875,0.165702,0.0106171,0.0201193,0.0537271,0.946215,
GQ5_12-17,78537.5,1308.95,8.43469e+06,455242,770.346,30.89,1191.67,50.9578,351.771,18.6686,1053.03,59.8202,403.256,52.127,857.375,93.9697,8.51829e+06,454664,20.4374,1.73384,1,0,30063.5,1310.15,8.43391e+06,455242,31.5686,30.8835,1187.75,50.9587,348.112,18.6686,1049.07,59.8186,403.39,52.13,857.375,93.9693,8.46829e+06,454660,1.78938,0.166707,6310.02,366.567,77.9332,9.52242,4242.09,119.652,997.456,569.418,45192.7,8276.67,4.12589,0.449968,0.692995,9832.76,535.887,61.2007,8.80041,11.631,3931.7,135.436,997.456,569.418,45192.7,8276.67,0.310034,0.0177508,0.0177906,3462.19,84.1317,0.348086,0.0349708,362.458,185.132,1.51604,0.164927,0.254004,5593.51,397.855,612.735,69.1504,9.92354,13.1154,4053.5,135.562,179.164,0.310538,0.0177792,0.0178191,3464.72,84.1152,84.3038,0.944498,0.0947072,0.145858,-0.312779,0.888147,
GQ5_12-18,63151.4,968.943,8.70898e+06,468171,752.926,31.7533,472.677,40.4541,128.556,15.5173,333.34,45.9194,85.4311,18.1179,502.03,74.8138,8.77485e+06,469102,20.6771,1.73377,1,0,14891.2,963.324,8.70825e+06,468170,8.1915,31.7559,468.838,40.4536,124.907,15.5172,329.582,45.9245,85.5762,18.118,502.031,74.8139,8.72511e+06,469093,1.28778,0.147615,4916.52,360.763,50.1831,7.90648,3665.13,162.189,1008.41,261.848,80426.9,11314.8,2.82026,0.348633,0.50133,7912.05,517.444,38.7484,7.11426,8.59043,3359.41,169.836,1008.41,261.848,80426.9,11314.8,0.284319,0.023997,0.0240217,3180.21,144.376,0.521588,0.0568917,909.189,193.005,1.05441,0.129998,0.186936,4312.52,360.73,518.726,44.404,8.13615,9.82435,3490.94,170.794,206.233,0.2848,0.0240374,0.0240622,3182.93,144.338,144.487,1.38932,0.151403,0.217715,-0.17311,0.946159,
GQ5_12-19,81115.1,1936.53,8.30193e+06,393857,773.25,32.394,2551.57,133.454,706.93,46.9058,2211.47,142.263,316.239,33.3897,1508.62,116.768,8.39151e+06,395844,20.4367,1.73377,1,0,33020.4,1937.74,8.30129e+06,393855,40.7538,32.3652,2547.8,133.453,703.291,46.9057,2206.75,142.283,315.971,33.3982,1508.54,116.772,8.34201e+06,395843,1.89198,0.0942667,6719.36,204.044,72.3365,4.39532,4295.41,58.6705,9.48758,1.00322,44381.8,1825.09,4.06702,0.20352,0.557962,10344.2,249.87,51.6476,3.40582,7.26543,3981.89,60.9637,9.48758,1.00322,44381.8,1825.09,0.278295,0.00858368,0.00864982,3333.13,46.5668,0.263227,0.0117767,6.13156,0.654929,1.54877,0.0772503,0.211786,5952,186.054,510.077,60.0677,3.9479,8.42183,4132.39,61.0352,130.203,0.278786,0.00859867,0.00866492,3335.89,46.5561,46.9148,0.688232,0.0308184,0.0844904,-0.204225,0.891,
