,Si29_mean,Si29_2SE,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Si29_CPS_mean,Si29_CPS_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
NIST 610 - 27,980959,36854.8,3236.77,184.607,4766.73,205.876,74559.9,3111.24,66425.5,2738.76,158129,7195.01,283195,11175.7,334916,15667.7,1.91575e+06,74390.1,20.4367,1.73377,1,0,955549,36855,3020.49,184.619,4282.77,205.833,74557.5,3111.24,66423.6,2738.76,158125,7195.01,283195,11175.7,334915,15667.7,1.88962e+06,74390.5,0.225636,0.00318146,1310.75,16.7721,27.7047,0.350398,3407.26,12.2778,0.553843,0.00686869,8912.22,91.7744,0.498802,0.0119516,0.064828,2600.97,50.3429,20.3767,0.440674,2.57006,3101.44,20.3099,0.553843,0.00686869,8912.22,91.7744,0.894784,0.0121024,0.0125798,4907.35,24.6162,2.04513,0.0440635,1.17147,0.0190888,0.170017,0.00419864,0.0227742,1010.63,22.9086,124.261,20.8298,0.466757,2.72218,3122.13,21.0572,122.808,0.906838,0.0122654,0.0127492,4912.51,25.2941,26.2918,5.94641,0.132006,0.716029,0.385504,0.821257,
NIST 610 - 26,983952,41320.1,3134.59,207.012,4731.43,210.141,74179.1,3277.1,66181,2863.88,157526,7394.05,281107,11011.8,333590,16408.2,1.9172e+06,80414.4,20.4367,1.73377,1,0,958723,41318.4,2923.01,207.284,4236.85,210.269,74176.2,3277.09,66179.1,2863.88,157523,7394.05,281107,11011.8,333588,16408.2,1.89125e+06,80413.2,0.22571,0.00364752,1310.87,19.2471,27.7223,0.345479,3408.06,12.0384,0.556685,0.00916547,8946.44,121.015,0.49733,0.0124484,0.0647368,2594,52.3462,20.3388,0.433166,2.56414,3102.14,20.4613,0.556685,0.00916547,8946.44,121.015,0.896539,0.0126275,0.0130875,4928.28,23.1631,2.04963,0.04678,1.17113,0.0202277,0.142999,0.00360609,0.0187532,860.38,20.1449,104.762,18.272,0.391193,2.31569,2998.7,20.4601,121.115,0.90832,0.0127934,0.0132595,4914.71,27.5361,28.5393,7.3761,0.169782,0.88294,0.463172,0.81047,
NIST 610 - 25,939174,36188.1,3067.04,186.256,4560.2,206.104,70918.6,2982.8,63664.5,2727.62,148547,6372.05,269282,10921.7,317101,15306.5,1.82217e+06,71797.7,20.4374,1.73384,1,0,914322,36189.3,2847.06,185.991,4052.7,206.275,70916.5,2982.8,63662.6,2727.62,148545,6372.05,269281,10921.7,317100,15306.5,1.79658e+06,71798.5,0.227074,0.00337767,1318.2,17.8294,28.031,0.367541,3417,12.9961,0.548268,0.00662113,8828.44,85.9751,0.501711,0.0120068,0.0652034,2613.43,50.4838,20.5724,0.460657,2.59748,3112.59,21.3139,0.548268,0.00662113,8828.44,85.9751,0.899514,0.0115571,0.0120613,4932.16,18.5802,2.03333,0.0440164,1.16571,0.0178718,0.300707,0.0064515,0.0350352,1695.64,32.3722,175.799,38.6952,0.778516,4.38979,3733.03,19.6124,110.588,0.911156,0.0117067,0.0122174,4930.98,19.8423,20.7079,4.03424,0.0844441,0.458578,0.340448,0.811827,
NIST 610 - 24,960006,34701.3,3084.79,185.312,4611.82,187.268,71328.9,2921.82,63457.6,2593.62,150734,6271.93,273727,11203.8,319481,14732.5,1.84646e+06,69740.1,20.4367,1.73377,1,0,935158,34709.8,2868.75,185.237,4089.09,187.465,71326.7,2921.82,63455.7,2593.62,150732,6271.91,273727,11203.8,319481,14732.5,1.82087e+06,69749.3,0.226089,0.00269609,1313.37,14.1573,27.7117,0.298962,3406.82,10.6041,0.55083,0.00561561,8863.85,72.9992,0.499554,0.0108188,0.0647235,2605.55,45.8254,20.3836,0.419364,2.56734,3102.52,19.3313,0.55083,0.00561561,8863.85,72.9992,0.891369,0.00857012,0.00922715,4956.12,12.5072,2.03572,0.0410121,1.15753,0.0142173,0.1422,0.00311925,0.0186609,856.172,17.4995,104.69,18.2414,0.379127,2.32101,2995.27,19.4214,118.898,0.902918,0.00868117,0.00934671,4962.66,14.269,15.363,7.42473,0.151714,0.907627,0.307135,0.896363,
NIST 610 - 23,945439,36509.6,3121.67,186.974,4679.26,181.743,71166.9,2984.67,63471.6,2656.54,150766,6504.1,271048,11187.4,316235,15019.8,1.82593e+06,72179.3,20.4367,1.73377,1,0,920508,36515.1,2894.37,187.059,4161.34,182.193,71164.6,2984.67,63469.7,2656.54,150765,6504.13,271047,11187.4,316235,15019.8,1.80025e+06,72186.7,0.228028,0.00267745,1323.56,14.0606,28.0252,0.285541,3420.7,9.95382,0.555745,0.00642935,8926.27,83.3153,0.502078,0.0102261,0.0649453,2617.06,43.3563,20.6103,0.417911,2.5949,3113.39,19.1297,0.555745,0.00642935,8926.27,83.3153,0.893862,0.00890294,0.0095405,4946.84,15.7931,2.0176,0.0398481,1.15723,0.0144204,0.266509,0.00510116,0.0323971,1521.06,25.7674,163.647,32.8168,0.623322,3.87034,3568.71,18.2367,113.235,0.905624,0.00902009,0.00966604,4951.9,16.8817,18.0906,4.11813,0.0787455,0.500107,0.31128,0.866336,
NIST 610 - 22,932556,37094.8,2931.51,186.784,4581.17,192.091,70565.5,3013.89,63064.3,2752.19,150586,6866.29,267827,11406.1,316914,15733.9,1.80905e+06,74301.7,20.4367,1.73377,1,0,908138,37103.3,2726.63,186.438,4074.09,192.516,70562.8,3013.89,63062.4,2752.19,150582,6866.28,267827,11406.1,316913,15733.9,1.78393e+06,74311.7,0.226194,0.0026053,1313.96,13.7133,27.7852,0.307089,3409.35,10.7433,0.560602,0.00662812,8988.92,85.4253,0.498931,0.00955635,0.0644457,2604.24,40.5533,20.3928,0.385178,2.56311,3103.97,17.9939,0.560602,0.00662812,8988.92,85.4253,0.893095,0.00844604,0.00911451,4959.76,8.81836,2.031,0.036505,1.1717,0.0151479,0.247197,0.00437829,0.0295261,1422.49,22.4488,151.389,32.349,0.557925,3.71262,3555.62,16.7322,111.342,0.905079,0.00855935,0.00923679,4968.35,7.75667,8.37058,4.33312,0.0743737,0.501558,0.175001,0.838533,
NIST 610 - 21,895194,37162.1,2848.06,159.088,4374.33,188.079,66449.9,2752.34,59206.3,2475.3,142761,6263.34,255991,10429.4,297171,13956.3,1.72879e+06,69945.6,20.4367,1.73377,1,0,871056,37173.7,2618.59,159.172,3850.72,188.257,66447.3,2752.34,59204.3,2475.3,142759,6263.34,255991,10429.4,297170,13956.3,1.70389e+06,69959.2,0.22711,0.00376485,1318.16,19.8451,27.8247,0.367621,3409.73,13.0469,0.55714,0.00752886,8942,96.9584,0.498661,0.0121312,0.0648436,2606.57,52.3658,20.4121,0.449454,2.57591,3105.4,20.8844,0.55714,0.00752886,8942,96.9584,0.890778,0.0117912,0.0122764,4909.75,21.0915,2.03724,0.0461222,1.15576,0.0188144,0.210937,0.00499176,0.026682,1235.12,27.0035,144.339,25.9184,0.553885,3.17442,3338.07,20.4791,117.37,0.902991,0.0119529,0.0124447,4920.18,21.381,22.2608,4.51892,0.0993672,0.531138,0.465041,0.812392,
HFO
HFO-1,68661.6,971.524,7.84542e+06,718693,2351.53,113.719,28000.7,1774.1,25519,1619.09,60558.3,3899.96,11.1111,5.06513,209700,19064.8,8.24036e+06,745628,20.4367,1.73377,1,0,7676.81,949.149,7.84486e+06,718694,1666.48,113.502,27995.2,1774.1,25515.1,1619.09,60550.1,3899.97,11.1034,5.06518,209699,19064.9,8.17811e+06,745599,0.146093,0.00423422,877.342,23.7002,18.3645,0.533168,2994.3,27.8927,-7.54714e+06,1.06684e+06,129404,5214.95,0.31622,0.00367768,0.0405609,1770.28,17.9359,13.2537,0.157904,1.65445,2695.52,11.1463,-7.54714e+06,1.06684e+06,129404,5214.95,0.912348,0.00823307,0.00894616,4962.5,17.9917,3.1745,0.0368178,-2.67433e+07,4.56949e+06,0.122114,0.00140534,0.0154994,742.523,8.05888,88.881,15.4351,0.181275,1.89931,2840.13,11.1037,116.34,0.91214,0.00823123,0.00894416,4962.18,17.9921,19.5504,8.1775,0.0916975,1.01133,0.388039,0.681397,
HFO-2,68739.9,942.133,8.79213e+06,781766,2544.42,104.486,31963.5,1712,29299.1,1533.48,69347.3,3545.06,12.987,5.41783,237098,20366.1,9.23115e+06,809302,20.4367,1.73377,1,0,8944.82,926.616,8.79153e+06,781768,1867.42,104.411,31958,1712,29295.2,1533.48,69338.7,3545.07,13.0093,5.41766,237097,20366,9.17004e+06,809280,0.148797,0.00467614,892.156,26.2538,18.8456,0.607263,3015.07,31.8315,3.15999e+06,456610,278791,9503.71,0.321279,0.0036729,0.0412041,1795.02,17.9156,13.5438,0.170207,1.69153,2715.69,11.8354,3.15999e+06,456610,278791,9503.71,0.919445,0.00809444,0.00882959,4964.12,17.0481,3.12835,0.0360371,1.05703e+07,1.83681e+06,0.122246,0.00140044,0.0157107,743.285,8.04286,90.228,15.4594,0.194102,1.929,2841.28,11.9245,118.506,0.919299,0.00809328,0.00882831,4963.9,17.0436,18.5915,8.17953,0.0945548,1.06075,0.26708,0.715037,
HFO-3,67655.2,1040.57,7.90246e+06,728352,2377.33,117.189,28633.5,1768.53,26323.4,1650.39,62604,3958.68,9.09091,4.63325,213229,18829.5,8.30329e+06,755103,20.4374,1.73384,1,0,8860.08,1023.24,7.90185e+06,728351,1699.75,117.266,28628.1,1768.53,26319.6,1650.39,62595.4,3958.67,8.98704,4.63388,213228,18829.5,8.24318e+06,755080,0.146792,0.00447536,881.083,24.9667,18.5643,0.55745,3004.31,27.9869,-780548,133470,130098,4440.31,0.317914,0.00399227,0.040806,1778.4,19.4358,13.3718,0.153794,1.66868,2705.35,11.0957,-780548,133470,130098,4440.31,0.919594,0.00829517,0.00901418,4944.37,22.3335,3.16413,0.0387249,-2.82682e+06,548568,0.121993,0.00152647,0.0156024,741.796,8.75104,89.4466,15.4208,0.177064,1.92116,2840.65,11.1797,121.3,0.919511,0.00829434,0.00901328,4944.24,22.3343,24.2702,8.19808,0.0999892,1.02201,0.386801,0.722865,
HFO-4,68142.1,875.709,7.80796e+06,737664,2395.08,116.942,28501.4,1829.62,26106.3,1656.06,61819.3,3978.98,0,0,211135,19746.6,8.20619e+06,765367,20.4374,1.73384,1,0,10450,855.793,7.80738e+06,737663,1714.63,116.942,28496,1829.62,26102.4,1656.06,61811.2,3978.96,-0.24375,0.00291911,211135,19746.6,8.14718e+06,765342,0.150872,0.00533011,903.229,29.4889,19.0076,0.659255,3025.72,32.9579,-219785,16988.5,134092,3312.76,0.324147,0.0047709,0.0416803,1808.37,22.8788,13.6154,0.182395,1.70165,2722.07,12.656,-219785,16988.5,134092,3312.76,0.919513,0.0088218,0.00950092,4957.79,18.0622,3.09816,0.0434819,-727120,75180.1,0.122153,0.00175454,0.0153283,742.643,10.0133,87.4802,15.4426,0.201442,1.87935,2841.76,12.4394,116.053,0.919493,0.00882174,0.00950086,4957.77,18.0589,19.4491,8.18402,0.112429,0.982223,0.333162,0.790455,
HFO-5,56557.1,756.373,7.47073e+06,666364,2167.08,104.007,26227.9,1690.74,23910.4,1548.03,56747.4,3798.57,11.6883,5.17802,200600,17567.3,7.83719e+06,691291,20.4367,1.73377,1,0,7772.33,756.111,7.47027e+06,666364,1525.79,103.447,26224.2,1690.74,23906.8,1548.03,56740.9,3798.56,10.5049,5.17844,200598,17567.3,7.78726e+06,691291,0.140587,0.00354072,846.794,19.9036,17.5418,0.416088,2960.52,23.5776,-41056,3555.61,126273,3872.81,0.305569,0.00369111,0.0392074,1717.88,18.1801,12.8195,0.150376,1.60003,2664.16,11.0908,-41056,3555.61,126273,3872.81,0.912868,0.00835659,0.00906073,4943.42,22.6597,3.28643,0.0402567,-143679,14856,0.122153,0.00147112,0.0156264,742.729,8.43845,89.6342,15.4182,0.185465,1.97338,2840.46,11.178,118.937,0.914637,0.00837276,0.00907826,4946.18,22.6567,24.5658,8.18548,0.0994946,1.05684,0.367874,0.707718,
HFO-6,56185,885.779,7.43513e+06,683906,2085.9,108.546,25977.8,1761.66,23783.3,1583.8,56303.7,3809.49,15.7895,5.87712,199157,17782.2,7.79866e+06,709279,20.6771,1.73377,1,0,7762.97,875.508,7.43464e+06,683906,1460.45,108.436,25974.1,1761.66,23779.7,1583.8,56297.9,3809.46,15.3289,5.87476,199156,17782.2,7.74908e+06,709265,0.139063,0.00296946,838.516,16.8058,17.6639,0.415043,2961.96,22.5948,-97691.7,7857.63,127171,3546.69,0.303046,0.00309152,0.0388342,1705.7,15.269,12.7712,0.1398,1.59309,2660.91,10.3113,-97691.7,7857.63,127171,3546.69,0.919638,0.00901274,0.00967865,4964.17,14.5368,3.31298,0.0335994,-330812,29661.6,0.121997,0.00126324,0.0158682,741.889,7.25189,91.0948,15.4243,0.170519,1.94315,2839.71,10.5555,120.285,0.921483,0.00903099,0.00969825,4967.02,14.5352,15.6091,8.19868,0.0843395,1.05943,0.395656,0.564547,
HFO-7,56218.8,929.091,7.54108e+06,692083,2195,102.187,26957.9,1645.39,24562.6,1475.1,58376.4,3489.99,11.039,5.0506,201872,17836.2,7.91129e+06,716995,20.4367,1.73377,1,0,8509.74,917.832,7.5406e+06,692082,1573.7,102.075,26954.2,1645.39,24559,1475.1,58371.6,3489.97,11.1724,5.04957,201870,17836.2,7.86244e+06,716979,0.146318,0.00484845,878.109,26.9042,18.4318,0.630294,2997,31.6391,410701,52747.9,245777,6892.15,0.316364,0.00472727,0.0406877,1770.37,22.8976,13.2596,0.203855,1.66019,2696.24,14.5327,410701,52747.9,245777,6892.15,0.913208,0.00862468,0.00930906,4964.42,18.6346,3.17505,0.046848,1.44581e+06,229934,0.122183,0.00177409,0.0152696,742.807,10.1489,87.3521,15.4448,0.231145,1.88244,2841.07,14.3527,116.888,0.915104,0.00864274,0.00932854,4961.22,19.8483,21.4233,8.18233,0.118822,1.0227,0.242413,0.806601,
HFO-8,51683.2,789.157,8.03976e+06,741740,2369.39,110.154,29475.8,1721.35,26923.9,1543.61,63947.8,3784.05,12.9032,5.40281,217229,20043.8,8.43141e+06,769162,20.4374,1.73384,1,0,8421.29,799.107,8.03935e+06,741739,1737.07,109.494,29471.7,1721.34,26920.6,1543.61,63941.9,3784.05,12.9017,5.40282,217228,20043.8,8.38702e+06,769172,0.151636,0.00503864,907.761,28.1331,19.1407,0.647541,3028.44,33.0608,-3.82104e+07,4.31546e+06,132675,3302.64,0.326417,0.00394298,0.0418824,1819.9,19.1068,13.7366,0.182142,1.71659,2728.75,12.4953,-3.82104e+07,4.31546e+06,132675,3302.64,0.916533,0.00831541,0.00902823,4975.25,11.7134,3.07199,0.0365224,-1.29279e+08,1.89981e+07,0.122128,0.00149568,0.0158871,742.58,8.58013,91.1383,15.4383,0.207249,1.95321,2839.6,12.7459,120.123,0.920172,0.0083485,0.00906416,4976.19,11.9331,12.956,8.20154,0.101664,1.07987,0.261517,0.749329,
HFO-9,71225.7,1803.14,8.80879e+06,627288,2555.1,107,33250.7,1518.33,30452.4,1403.88,72201.6,3319.06,11.1842,5.07978,240002,17741.8,9.25606e+06,649154,20.4367,1.73377,1,0,27401.6,1793.97,8.80836e+06,627288,1947.73,106.674,33246.6,1518.33,30449.1,1403.88,72195.2,3319.08,11.186,5.07976,240000,17741.8,9.21118e+06,649163,0.148628,0.00399804,891.763,22.4303,18.7471,0.507426,3015.82,26.3748,3.64016e+07,4.52376e+06,324380,11967.6,0.322505,0.00329412,0.0413282,1801.18,16.0644,13.5528,0.156053,1.69128,2716.73,10.9039,3.64016e+07,4.52376e+06,324380,11967.6,0.916552,0.00811825,0.008847,4964.42,21.41,3.11334,0.0321704,1.23343e+08,1.88253e+07,0.122173,0.00125816,0.0157848,742.905,7.22805,90.6833,15.4471,0.178896,1.93885,2840.91,11.0483,119.74,0.920256,0.00815097,0.00888265,4953.45,24.5124,26.7128,8.18601,0.0851405,1.06818,0.306409,0.675074,
HFO-10,50598.1,901.467,6.79372e+06,685620,2049.2,108.583,24725.9,1785.7,22502.4,1624.98,52876.8,3746.67,9.27152,4.68986,185632,18138,7.1333e+06,711758,20.5569,1.72821,1,0,6799.63,891.386,6.79329e+06,685619,1451.75,108.486,24722,1785.7,22499.1,1624.98,52869.2,3746.69,9.26464,4.68989,185631,18138,7.08848e+06,711746,0.144942,0.00355351,871.364,19.9995,18.1226,0.439825,2988.35,24.2359,-8.82086e+06,1.52192e+06,126153,4264.25,0.31451,0.00271487,0.040267,1762.33,13.3149,13.1237,0.126794,1.63567,2688.12,9.32997,-8.82086e+06,1.52192e+06,126153,4264.25,0.910902,0.00719767,0.00800112,4953.46,21.2891,3.18525,0.0269671,-3.23759e+07,6.58379e+06,0.122117,0.00105479,0.0156447,742.629,6.05873,89.8632,15.4358,0.148558,1.91643,2840.95,9.16167,118.187,0.914647,0.00722726,0.00803401,4959.29,21.2827,23.6585,8.18901,0.0692494,1.02711,0.296002,0.630639,
HFO-11,46075.2,848.567,6.31026e+06,677700,1969.2,113.446,22642.5,1747.36,20577.8,1566.63,48865.7,3806.55,9.80392,4.79272,169450,17561.3,6.61985e+06,702843,20.6771,1.73377,1,0,6613.76,854.951,6.30986e+06,677701,1361.36,112.896,22638.6,1747.36,20574.7,1566.63,48860.2,3806.57,8.90284,4.79271,169450,17561.3,6.57936e+06,702851,0.147676,0.00399465,886.419,22.4376,18.5134,0.504275,3003.4,26.801,-46454.7,4770.33,127743,4194.85,0.319329,0.00333546,0.0409271,1785.66,16.2967,13.2937,0.138306,1.65765,2701.35,10.3988,-46454.7,4770.33,127743,4194.85,0.911337,0.00955577,0.0101753,4948.2,23.3362,3.14483,0.0331053,-159356,20381,0.122174,0.00130202,0.0159762,742.9,7.47859,91.7646,15.4652,0.167954,2.013,2843.57,10.6395,127.519,0.91676,0.00961266,0.0102358,4951.01,24.6751,26.2747,8.18642,0.0879042,1.07861,0.438096,0.513965,
HFO-12,46468.3,712.285,6.54386e+06,636202,1941.72,104.941,23536.5,1673.36,21593.8,1560,50814.1,3724.6,10.3896,4.91765,179102,16922.9,6.86755e+06,660521,20.4374,1.73384,1,0,6734.03,714.978,6.54344e+06,636202,1358.5,104.534,23532.6,1673.36,21590.7,1560,50807.7,3724.61,9.94867,4.9142,179101,16922.9,6.82681e+06,660524,0.141882,0.00326418,854.285,18.4166,17.8471,0.406766,2974.75,22.5056,-97549.4,6417.34,127709,4909.34,0.308949,0.00283288,0.0395665,1734.95,13.9321,12.9675,0.141554,1.61754,2676.57,10.0711,-97549.4,6417.34,127709,4909.34,0.915493,0.00801318,0.00874905,4952.45,12.0943,3.24721,0.029606,-329358,25963.9,0.122021,0.0011098,0.0155004,742.063,6.37144,88.9891,15.4248,0.167753,1.91692,2841.11,10.1487,115.97,0.921005,0.00806126,0.00880155,4960.99,12.0862,13.1961,8.19501,0.0740668,1.03448,0.247965,0.623901,
HFO-13,46533.5,903.009,6.64536e+06,650030,1954.36,113.019,23729.3,1718.49,21839.5,1596.33,51433,3642.92,10.3896,4.91765,179434,17251.2,6.9703e+06,674819,20.4367,1.73377,1,0,7027.15,891.516,6.64497e+06,650029,1386.15,112.811,23725.4,1718.49,21836.4,1596.33,51426.5,3642.92,10.5206,4.91708,179433,17251.2,6.92982e+06,674803,0.142901,0.00324666,860.045,18.3312,18.1093,0.406233,2986.49,22.0386,378088,51091.6,244844,6748.65,0.31132,0.00315845,0.0398932,1746.48,15.5566,13.1196,0.124644,1.63499,2686.76,8.99861,378088,51091.6,244844,6748.65,0.92158,0.00929187,0.00994174,4939.75,34.6006,3.22518,0.0335324,1.3163e+06,211755,0.122154,0.00125356,0.0158332,742.794,7.20821,91.044,15.4421,0.149092,1.95569,2841.3,9.25207,121.362,0.927195,0.00934852,0.0100024,4933.91,36.3699,38.9136,8.18694,0.0862393,1.08925,0.548616,0.520423,
HFO-14,43125.9,760.973,6.31838e+06,613810,1858.26,103.408,22582.9,1629.74,20498.4,1467.77,48184.8,3419.43,8.44156,4.48063,170761,16292.1,6.62364e+06,636794,20.4367,1.73377,1,0,6428.88,764.703,6.318e+06,613810,1272.75,102.99,22579.8,1629.74,20495.5,1467.77,48177.1,3419.41,8.13809,4.48162,170760,16292.1,6.58596e+06,636798,0.14362,0.00372672,863.793,20.8919,17.9922,0.470991,2977.58,24.7771,-140179,8260.83,122574,2979.05,0.311302,0.0029601,0.0398756,1746.48,14.527,13.0168,0.128386,1.62255,2679.23,9.32163,-140179,8260.83,122574,2979.05,0.9092,0.00882182,0.00948633,4955.7,23.7709,3.21614,0.031963,-474711,34682.9,0.122132,0.0011598,0.0156237,742.691,6.65616,89.6652,15.4403,0.152744,1.93039,2841.11,9.44196,119.328,0.916412,0.00889185,0.00956163,4943.63,30.4014,32.6913,8.18697,0.0812391,1.09437,0.478452,0.488349,
HFO-15,43342.1,747.773,6.39111e+06,649015,1822.36,100.117,22478.4,1691.54,20455,1565.8,47690.1,3538.77,7.84314,4.33308,171457,16848.2,6.69896e+06,673221,20.4367,1.73377,1,0,6328.47,752.545,6.3907e+06,649015,1245.7,100.082,22475.3,1691.54,20452.1,1565.8,47683.4,3538.74,7.88953,4.33305,171456,16848.2,6.66095e+06,673228,0.141881,0.00336805,854.212,18.9677,17.6816,0.402254,2966.03,22.2748,907406,95470.5,273449,3976,0.308525,0.00315556,0.0395369,1732.72,15.5523,12.8709,0.14683,1.60606,2668.06,10.7273,907406,95470.5,273449,3976,0.908086,0.00928358,0.00991569,4951.2,14.928,3.25057,0.0345809,3.1498e+06,406997,0.122037,0.00125231,0.0156905,742.125,7.19598,90.1605,15.428,0.176297,1.92838,2839.8,10.8767,118.972,0.915353,0.00935776,0.00999492,4958.14,15.1885,16.2227,8.1957,0.0875021,1.09634,0.413503,0.564192,
HFO-16,43721.1,759.094,6.38064e+06,626936,1885.87,105.486,23065.3,1649.56,20633.3,1439.36,48821.6,3489.63,0,0,171115,16212,6.69063e+06,650309,20.4367,1.73377,1,0,6683.47,755.735,6.38023e+06,626935,1311.83,105.38,23062.2,1649.56,20630.5,1439.36,48816,3489.61,-0.0188894,0.000507536,171114,16212,6.65259e+06,650304,0.145442,0.0034672,874.229,19.4715,18.1152,0.448819,2985.29,23.5602,-2.78106e+06,326632,121735,5813.9,0.316581,0.00305209,0.0405549,1774.16,14.5644,13.1069,0.13241,1.63403,2685.68,9.42625,-2.78106e+06,326632,121735,5813.9,0.903665,0.00882649,0.00948288,4955.48,15.7923,3.16595,0.030091,-9.67683e+06,1.34682e+06,0.122154,0.00119866,0.0159273,742.806,6.89021,91.5541,15.4408,0.157061,1.93823,2841.07,9.60113,118.484,0.910959,0.00889775,0.00955945,4961.17,16.677,17.9172,8.18745,0.0793992,1.05502,0.423002,0.500739,
HFO-17,39285.5,731.165,5.83237e+06,606573,1762.63,94.9547,21354.9,1635.23,19345.8,1504.77,45142.2,3426.12,0,0,157417,16087.4,6.11681e+06,629629,20.5569,1.72821,1,0,6178.12,729.42,5.832e+06,606574,1238.5,95.2818,21352.2,1635.23,19343.1,1504.77,45138.4,3426.13,-0.125935,0.00504057,157416,16087.5,6.08278e+06,629629,0.147675,0.00338752,886.839,19.0711,18.4126,0.423855,3001.98,22.7437,-310260,19217.6,125121,5105.16,0.320914,0.00302179,0.0411047,1793.55,14.7393,13.2951,0.129107,1.65708,2700.39,9.41153,-310260,19217.6,125121,5105.16,0.906103,0.0081867,0.00889411,4965.19,12.2158,3.12671,0.0295835,-1.03557e+06,84773.2,0.122148,0.00113829,0.0154839,742.789,6.53603,88.908,15.4415,0.148923,1.91142,2842.43,9.43701,121.123,0.914979,0.00826691,0.00898125,4967.16,12.8394,13.9488,8.1861,0.0764426,1.03983,0.434635,0.586375,
HFO-18,39857,743.975,6.13456e+06,591386,1901.13,102.662,22399.7,1582.97,20120.5,1361.32,47772.1,3349.66,14.4737,5.68908,165693,15799.4,6.4326e+06,613923,20.5569,1.72821,1,0,6582.58,750.71,6.13416e+06,591386,1354.22,103.114,22396.8,1582.97,20117.8,1361.32,47767.6,3349.68,14.4953,5.68907,165692,15799.4,6.39832e+06,613933,0.147167,0.00391584,883.633,21.9379,18.4752,0.519976,3000.95,27.1774,1.73868e+06,196134,266861,9712.5,0.319031,0.00342055,0.0408962,1784.17,16.7051,13.32,0.152269,1.66212,2700.39,10.8585,1.73868e+06,196134,266861,9712.5,0.911008,0.0090824,0.00973162,4967.75,12.9962,3.14831,0.0338169,5.64677e+06,760581,0.121927,0.00129667,0.0155031,741.479,7.44795,89.0479,15.4134,0.173831,1.89748,2838.94,10.8201,118.108,0.91999,0.00917218,0.00982781,4975.46,13.7652,14.7491,8.20043,0.0875147,1.04633,0.357139,0.579297,
