,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,PbTotal_mean,PbTotal_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,PbTotal_CPS_mean,PbTotal_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
GQ5_5
GQ6_2_mrt-35,7.97271e+06,503862,610.272,29.1429,1517.41,104.292,1351.36,89.645,3249.84,234.027,107.097,17.0318,301.294,26.6199,6728.89,417.945,7.98659e+06,504664,17.0522,1.69166,1,0,8.58042e+06,417346,89.4532,30.0346,1634.87,88.7881,1443.31,72.5887,3501.07,205.873,115.357,17.8477,326.616,24.904,6631.96,344.474,8.59423e+06,417995,5.50947,0.338079,11843.7,306.191,691.031,45.9684,6581.45,59.4754,-7074.9,1935.72,65017.9,2023.88,4.66487,0.281425,0.320267,10962.8,299.593,584.817,36.5896,41.1607,6416.49,58.3882,-17659.2,5614.9,78444.4,2361.22,0.899985,0.0235169,0.0236209,4825.57,40.6944,0.23657,0.0142183,-631.118,182.458,4.7328,0.285507,0.324912,11038.5,300.326,341.776,597.176,37.3613,42.0288,6437.69,58.391,65.6857,0.91407,0.0238848,0.0239905,4836.48,41.4089,41.592,0.240102,0.0144288,0.0164202,0.913223,0.112021,
GQ6_2_mrt-36,8.50866e+06,475858,678.728,31.0285,1945.43,119.427,1719.7,102.432,4070.4,255.035,163.872,21.8835,364.031,26.4093,8414.26,466.447,8.52603e+06,476753,17.1622,1.68815,1,0,9.11147e+06,362558,159.939,32.1958,2083.73,96.4553,1840.6,81.7285,4367.46,206.825,176.952,22.3416,389.71,23.9304,8451.41,363.464,9.12894e+06,363202,5.58325,0.272783,12144.4,277.684,686.74,35.0214,6615.46,51.9377,17799.4,7321.18,93827.6,10897.5,4.70677,0.235534,0.281547,11252.3,290.704,586.302,31.3945,36.6446,6450,55.6818,54583.8,23704.8,108618,11607.4,0.894092,0.0219545,0.0220644,4830.75,37.8695,0.225425,0.0130226,1487.37,625.208,4.79257,0.239649,0.286466,11348.1,291.407,348.335,598.475,32.0468,37.406,6470.83,55.685,64.9972,0.908072,0.0222978,0.0224094,4830.26,38.5237,38.7166,0.228388,0.013186,0.0157619,0.917661,0.202868,
GQ6_2_mrt-37,8.55519e+06,482252,571.488,28.1963,535.851,32.7457,460.616,29.4771,1072.13,83.7542,59.7403,12.7525,97.4194,8.79492,2643.49,140.742,8.56076e+06,482506,17.0641,1.68873,1,0,9.16008e+06,371297,36.6572,29.7978,565.86,25.2128,481.595,23.0202,1147.19,76.5888,64.0645,13.5127,103.437,8.59294,2245.09,120.937,9.16487e+06,371490,7.76984,1.2518,12622.5,537.087,865.645,109,6659.59,96.9071,-31744.2,7266.31,45461.4,2267.88,6.67939,1.14792,1.16861,11724.1,534.62,746.873,100.152,103.006,6493.89,99.6371,-68990.3,14023,57928.4,2924.11,0.867552,0.0348998,0.034965,4739.87,49.5843,0.221342,0.0192403,-2559.8,523.19,6.83106,1.17326,1.1944,11843.9,536.28,545.943,762.439,102.236,105.149,6514.81,99.6386,102.477,0.881104,0.0354449,0.0355112,4739.48,50.5272,50.6216,0.223583,0.0194313,0.0197814,0.998079,0.265358,
GQ6_2_mrt-38,8.91455e+06,546960,570.846,25.708,876.592,50.7994,780.886,44.0686,1816.93,133.254,95.484,15.3049,165,13.0236,4047,214.494,8.92297e+06,547352,17.0641,1.68873,1,0,9.55689e+06,446084,34.8712,25.3401,923.616,36.2576,837.358,33.0494,1929.79,115.349,102.151,16.0042,176.321,11.4383,3719.92,164.963,9.56471e+06,446365,5.81926,0.398154,12084.4,347.998,712.586,47.0439,6617.18,64.865,11495.3,3447.95,108047,12594.7,4.9383,0.347309,0.383164,11191.6,352.294,607.317,40.8341,45.2847,6450.67,67.087,26096.7,6837.57,122552,12731.1,0.908117,0.0323901,0.0324671,4815.3,33.6547,0.226194,0.0136194,1171.66,336.627,5.07719,0.356938,0.393787,11337.9,353.708,390.224,620.282,41.7042,46.2496,6472.09,67.0847,74.3964,0.92229,0.0328956,0.0329738,4821.41,33.4667,33.5463,0.227558,0.0136932,0.0151068,0.911945,0.352485,
GQ6_2_mrt-39,8.9716e+06,557027,654.505,27.0627,2089.61,119.765,1844.59,106.197,4268.74,259.928,221.431,28.183,528.529,37.4865,8857.44,466.107,8.99008e+06,557859,17.278,1.69334,1,0,9.63477e+06,450157,135.279,27.9236,2241.43,82.261,1981.91,77.819,4553.02,196.978,239.88,28.4326,568.982,32.4985,8887.78,300.247,9.65346e+06,450657,4.07368,0.17785,10446,238.099,498.889,20.2819,6292.4,41.6409,-1081.65,578.588,60467.4,2073.07,3.45759,0.152541,0.190021,9588.84,230.256,422.858,16.982,21.7761,6119.43,40.3569,-3977.83,1919.5,73999.6,2854.67,0.897185,0.0262492,0.0263418,4801.32,39.9008,0.303495,0.013146,-139.268,70.9596,3.57515,0.157701,0.196449,9755.28,231.805,288.76,432.25,17.3578,22.258,6141.69,40.3542,51.7464,0.911175,0.0266585,0.0267526,4819.76,39.9218,40.0627,0.303842,0.0131503,0.0163813,0.787145,0.469852,
GQ6_2_mrt-40,9.11902e+06,560174,640.662,25.1677,2119.86,135.439,1860.52,122.864,4336.74,298.106,214.196,26.9709,447.573,27.0787,8954.63,545.136,9.13759e+06,561154,17.0641,1.68873,1,0,9.73518e+06,434528,137.023,26.6441,2278.74,109.201,1999.21,101.806,4670.94,251.67,229.237,27.4816,481.19,21.0576,9079.56,442.615,9.75406e+06,435240,4.81622,0.209836,11257.3,237.51,583.667,27.8432,6433.61,49.1286,-587.242,265.856,60470.5,2366.24,4.14286,0.21374,0.253214,10394.7,265.043,498.22,26.2123,30.7413,6268.2,56.7061,-1242.47,553.408,74462.8,2214.42,0.880108,0.0225986,0.0227021,4824.81,34.5734,0.259891,0.0128901,-83.0366,35.0172,4.30862,0.221885,0.262864,10597.2,266.627,315.87,509.858,26.8155,31.4487,6291.63,56.6869,66.4814,0.89382,0.0229508,0.0230559,4841.06,34.807,34.9664,0.258725,0.0128067,0.0151719,0.893736,0.110391,
GQ6_2_mrt-41,9.6123e+06,583711,628.862,27.8708,1537.3,80.8725,1337.82,67.0265,3083.74,182.293,363.643,39.3024,368.881,36.4935,6629.64,305.723,9.62631e+06,584168,17.0641,1.68873,1,0,1.03287e+07,460331,125.549,29.2726,1636.84,53.6601,1428.09,45.5546,3324.13,139.765,388.312,39.5486,407.864,41.0781,6535.56,214.191,1.03426e+07,460492,4.57246,0.315526,10820.9,394.954,557.676,41.023,6360.08,80.1195,11.5733,1.56593,47207.5,2049.91,3.83138,0.259067,0.287891,9949.3,363.967,469.473,34.1393,37.3434,6190.95,76.1869,-133.11,239.821,61217.2,2998.1,0.873985,0.0266017,0.0266884,4823.78,32.8063,0.304693,0.0261502,1.36275,0.186587,4.01003,0.27116,0.30133,10177.5,367.872,408.802,481.146,34.9879,38.2717,6215.82,76.1997,83.3513,0.88759,0.0270157,0.0271039,4827.4,33.3033,33.4119,0.301594,0.0259204,0.0288043,0.913123,-0.0877132,
GQ6_2_mrt-42,9.04238e+06,525402,600.337,26.9059,1734.12,123.41,1525.91,112.119,3635.68,271.52,259.48,29.5861,349.877,27.0082,7482.58,496.447,9.05828e+06,526405,17.0522,1.69166,1,0,9.7625e+06,388617,92.9444,27.0763,1857.9,100.844,1649.2,97.7526,3900.86,228.736,282.951,29.3442,377.663,24.1946,7536.2,427.196,9.77855e+06,389464,5.35416,0.269606,11753,272.715,635.275,30.1887,6521.93,48.147,906.028,789.932,60991,5457.43,4.53215,0.231642,0.275169,10862.6,273.53,541.655,26.7541,31.9478,6355.44,50.4541,4436.53,3099.85,75832.3,6188.1,0.873311,0.0218261,0.0219316,4831.53,35.6038,0.237035,0.0118084,159.569,97.6196,4.77126,0.243746,0.289547,11132,275.959,327.813,555.994,27.4552,32.7849,6381.94,50.4433,60.2357,0.886894,0.0221655,0.0222727,4840.23,36.5577,36.7344,0.233141,0.0116041,0.0137845,0.856717,0.346385,
GQ6_2_mrt-43,9.34359e+06,596507,529.499,26.074,446.354,38.7374,376.93,32.6961,909.718,81.692,109.091,18.6134,114.771,12.116,2260.07,145.171,9.34839e+06,596783,17.0641,1.68873,1,0,1.00293e+07,495052,8.19432,27.7182,474.89,37.1005,397.457,30.2748,978.187,77.5744,116.064,19.6164,122.085,11.9566,1857.72,136.349,1.00333e+07,495299,4.53151,0.50276,10207.3,398.044,516.06,53.7564,6190.36,84.8617,-2745.32,906.305,38404.5,2124.62,3.83303,0.410941,0.429711,9459.8,401.462,440.294,44.6431,46.8451,6039.8,88.9971,-5270.52,1355.5,50507.9,2659.2,0.841232,0.0385047,0.0385603,4654.9,72.4133,0.319619,0.0260841,-347.743,122.54,4.05837,0.435208,0.455086,9739.67,406.25,424.805,452.754,45.9092,48.1735,6068.07,88.9942,93.3837,0.854305,0.0391031,0.0391596,4649.51,74.6596,74.7673,0.312436,0.0254898,0.0266541,0.971836,0.313993,
GQ6_2_mrt-44,9.08554e+06,560988,607.708,28.2557,1511.63,80.918,1316.1,73.8969,3117.72,176.231,912.552,116.529,377.296,25.6034,6629.83,296.631,9.10005e+06,561466,17.278,1.69334,1,0,9.76856e+06,445589,92.7494,29.4543,1608.85,55.8861,1407.08,56.1179,3318.52,127.595,938.466,123.317,401.64,23.2143,6419.27,204.683,9.78292e+06,445773,4.29682,0.238417,10570.9,285.999,521.664,30.9016,6308.98,61.387,5.22493,0.621404,34376.7,2080.31,3.68007,0.228746,0.258591,9773.52,322.13,444.86,28.3684,31.787,6141.67,67.7257,9.98554,0.981411,46264.4,1655.48,0.873035,0.023442,0.0235402,4811.64,39.2844,0.299986,0.0180803,0.592219,0.0690111,3.91634,0.243147,0.274872,10085.5,325.963,368.493,458.297,29.2125,32.7328,6171.88,67.7024,75.8612,0.886591,0.023806,0.0239058,4817.4,40.0789,40.2468,0.291413,0.0175328,0.0198204,0.91853,0.181227,
GQ6_2_mrt-45,9.48631e+06,605287,540.98,26.8899,335.049,37.6,264.533,28.7457,667.335,84.9939,110.391,30.204,102.436,18.6221,1811.8,147.431,9.49015e+06,605196,17.278,1.69334,1,0,1.01988e+07,493682,19.8814,28.0717,351.814,38.6379,279.189,29.1564,704.888,88.3492,116.917,32.2502,108.257,19.74,1359.77,152.266,1.02017e+07,493461,-35.21,16.648,10346.4,627.285,-4983.28,2153.62,6129.64,142.038,13640.6,3105.93,134520,14212.6,-32.603,15.5104,15.5472,9444.82,648.614,-4599.97,1985.68,1991.21,5942.88,149.539,22797.3,5796.38,148897,13119.1,0.866286,0.0582153,0.0582543,4557.37,63.3564,0.300215,0.0412926,981.669,275.414,-34.835,16.5714,16.6106,9766.5,657.184,658.741,-4746.97,2049.13,2054.84,5975.11,149.523,149.939,0.879726,0.0591186,0.0591582,4573.74,63.0649,63.1071,0.289875,0.039855,0.0399495,0.954697,-0.120688,
GQ6_2_mrt-46,9.25416e+06,541291,574.364,27.3862,1251.15,112.094,1104.25,97.683,2602.93,254.792,277.926,33.0737,261.551,25.7857,5536.42,453.8,9.26578e+06,542164,17.1622,1.68815,1,0,9.93014e+06,418588,64.0014,28.346,1344.13,106.547,1185.35,92.8797,2769.26,240.277,297.23,33.7998,279.097,25.5298,5396.94,432.399,9.94152e+06,419431,5.35694,0.362518,11602.4,334.536,664.327,48.7534,6520.55,65.8325,2754.84,1628.37,61480.4,8133.98,4.53029,0.297437,0.332431,10725,327.345,563.232,39.536,43.5058,6354.31,66.5891,7088.12,4280.19,79204.8,9564.51,0.891879,0.0283671,0.0284519,4792.11,44.5342,0.244936,0.015199,253.959,148.569,4.86171,0.319207,0.356763,11092.5,331.728,370.757,582.567,40.8971,45.0035,6388.52,66.5853,73.271,0.905706,0.0288069,0.0288929,4799.67,45.3498,45.4852,0.23538,0.0145962,0.0163135,0.963337,0.26809,
GQ6_2_mrt-47,9.2379e+06,564138,621.951,28.0064,1706.76,127.422,1532.69,111.939,3648.7,280.958,182.469,31.7178,164.615,13.0348,7513.81,512.501,9.25329e+06,565112,17.0522,1.69166,1,0,9.97478e+06,438799,117.684,28.6033,1843.77,112.245,1656.86,97.0737,3945.87,250.576,195.495,33.5125,175.313,11.6409,7563.61,444.69,9.99031e+06,439607,12.076,1.14765,15867.4,489.828,1506.15,147.074,7296.95,84.5811,-2748.84,950.738,59236.5,2198.44,10.399,1.03632,1.09091,14906.9,520.142,1301.22,132.632,139.106,7131.19,90.9789,-7497.91,2238.57,72471.7,3099.76,0.912996,0.0245631,0.0246656,4861.85,28.073,0.126569,0.0110169,-130.221,42.0237,11.1882,1.11474,1.17347,15328.5,523.652,551.239,1348.41,137.417,144.126,7167.41,90.9545,95.3948,0.927139,0.0249436,0.0250477,4873.49,28.3085,28.4266,0.121064,0.0105291,0.0110838,0.999915,0.196046,
GQ6_2_mrt-49,9.53751e+06,591051,516.998,26.757,186.04,16.8197,154.98,14.6183,427.282,48.276,156.211,35.4195,30.7792,4.73367,1286.82,77.9856,9.54035e+06,591209,17.0522,1.69166,1,0,1.03029e+07,463556,-10.1072,27.9998,198.545,15.9681,165.574,13.8857,459.178,48.1799,169.604,37.8223,32.8683,4.93096,811.422,73.585,1.03048e+07,463703,-87.0699,31.1555,11916.8,725.264,-10274.5,3721.42,6440.01,158.881,-455.373,104.593,23823.3,2784.89,-70.8301,25.5825,25.6875,11131.8,737.02,-8377.56,3044.31,3056.27,6285.98,164.409,-1330.5,322.439,29744.7,3577.31,0.882169,0.067939,0.0679737,4528.14,81.4706,0.201699,0.032165,-34.8624,10.8502,-76.2961,27.5574,27.6706,11513.3,747.484,750.555,-8714.75,3166.77,3179.21,6325.77,164.409,165.055,0.895813,0.0689898,0.069025,4537.43,81.5522,81.5938,0.191739,0.0305732,0.0306988,0.834873,0.150956,
GQ6_2_mrt-50,9.22177e+06,570882,574.052,32.6218,1077.53,132.759,953.387,112.866,2293.22,278.661,396.162,39.6393,162.565,17.8951,4950.79,537.916,9.23223e+06,571848,17.0522,1.69166,1,0,9.96419e+06,446104,51.7672,33.3642,1168.57,134.12,1033.83,113.305,2488.99,281.258,427.344,39.0579,175.785,17.8376,4797.81,542.243,9.97437e+06,447114,6.82193,0.53409,12905,478.719,857.374,68.5355,6767.45,92.1892,37.6929,59.4316,38444.8,2430.52,5.96556,0.522251,0.557644,12012.3,496.564,739.746,61.7007,66.1486,6601.22,98.0783,14.0226,1.83182,50879.1,2002.82,0.914939,0.0331975,0.0332738,4784.03,53.7543,0.202563,0.0186266,0.554089,0.0909211,6.41533,0.561801,0.599874,12401.9,502.86,536.938,770.595,64.2635,68.8961,6642.69,98.0666,105.136,0.92908,0.0337106,0.033788,4788.46,55.3229,55.4499,0.19228,0.0176786,0.0188767,0.949399,0.231727,
GQ6_2_mrt-51,9.25743e+06,548573,555.461,25.6212,1316.1,83.401,1163.63,74.1655,2704.17,184.87,142.208,19.7848,200.39,17.3356,5739.36,329.342,9.26926e+06,549183,17.0522,1.69166,1,0,9.99888e+06,412460,53.4888,26.5951,1418.68,66.7021,1252.79,60.2786,2919.59,156.27,155.303,20.2313,215.355,16.4903,5645.83,258.533,1.00106e+07,412883,7.42861,0.565308,13426.6,433.506,893.46,64.3609,6842.31,71.1054,-27573.9,9740.38,57332.7,2174.42,6.28465,0.480424,0.52271,12496.3,425.188,758.336,54.1351,59.3987,6686.83,73.8691,-57959.1,21143.7,71315,2491.03,0.893413,0.0275808,0.0276682,4814.64,36.7592,0.182771,0.0127757,-1873.41,745.044,6.73312,0.51481,0.560123,12873.6,429.339,467.129,791.073,56.4711,61.9619,6729.68,73.8697,81.052,0.907212,0.0280068,0.0280956,4830.35,36.9416,37.0587,0.173486,0.0121271,0.0131945,0.926925,0.267302,
GQ6_2_mrt-52,9.92604e+06,595308,516.463,26.3052,286.909,33.1466,253.767,28.837,576.334,68.0587,10.5263,4.93045,25.4194,5.5866,1600.7,117.734,9.9295e+06,595549,17.278,1.69334,1,0,1.06615e+07,466321,4.70165,27.879,307.164,33.1635,269.996,29.0141,615.694,69.127,11.4333,5.32168,26.6656,5.94569,1184.76,123.187,1.06641e+07,466575,-106.244,26.825,14605.6,814.744,-11496.5,3144.19,7053.88,145.664,99172.7,14466.8,205414,11277.7,-86.995,23.002,23.178,13899.7,840.905,-9441.02,2687.37,2704.55,6928.28,150.719,212602,28075.9,220407,11747,0.917771,0.0637803,0.0638203,4470.84,114.678,0.0839128,0.019131,4578.8,1270.03,-92.6356,24.5088,24.6964,14256.7,847.679,854.165,-9859.92,2806.4,2824.34,6972.17,150.715,151.678,0.931937,0.0647647,0.0648053,4485,115.137,115.209,0.0797584,0.0181859,0.018325,0.926744,0.129485,
GQ6_2_mrt-53,9.08242e+06,541614,547.127,25.3561,995.82,46.142,830.781,38.945,1982.22,129.273,614.59,66.1667,271.318,20.2408,4364.88,194.005,9.09206e+06,541842,17.0641,1.68873,1,0,9.7355e+06,432649,22.1817,25.5018,1037.64,35.334,874.773,28.8964,2075.86,115.883,634.552,68.4507,290.728,18.5948,4031.53,159.152,9.7445e+06,432694,3.81479,0.25834,9905.72,352.513,437.174,27.5868,6140.56,74.7335,4.74469,0.766205,31288.7,1813.37,3.17499,0.203001,0.228113,9121.92,333.075,376.959,24.8323,27.6461,5965.98,68.9741,11.1837,2.2441,43658.4,2417.84,0.852735,0.0272144,0.0272951,4765.06,34.4856,0.339196,0.0205801,0.687586,0.106453,3.35506,0.214442,0.240969,9389.2,337.113,378.816,393.968,25.9537,28.8945,6010.65,68.9867,76.8037,0.865888,0.0276342,0.0277162,4783.81,34.322,34.4238,0.323486,0.0196184,0.0220453,0.897521,0.207579,
G_NIST610
NIST 610 - 24,17255.3,678.728,20135.2,504.032,328649,7512.76,298550,6960.73,713056,17249.1,1.30769e+06,30037.7,1.55349e+06,47200.8,1.36049e+06,31826.8,5.60853e+06,136578,17.0522,1.69166,1,0,16854.5,511.961,19677.8,368.882,334539,5619.11,304215,5047.71,726987,12685.7,1.33388e+06,20223.9,1.59556e+06,35047,1.38534e+06,23174.4,5.7169e+06,99745.3,0.210501,0.00167256,1231.27,8.90734,26.4101,0.208846,3360.8,7.69471,0.544842,0.0040003,8788.32,52.4406,0.178114,0.00190464,0.00613997,1056.37,10.3845,22.4206,0.216289,0.75442,3200.63,9.21364,1.28328,0.12623,16159.7,1046.82,0.910461,0.00440371,0.00494069,4969.01,0,5.6363,0.0579282,1.19293,0.0127895,0.197159,0.00211583,0.00682078,1159.69,11.3487,36.5847,24.3199,0.236796,0.825949,3279.77,9.32898,32.5397,0.908953,0.00439651,0.00493261,4966.62,0,0,5.10094,0.0526798,0.169823,0.879776,0.374651,
NIST 610 - 25,17632.4,638.666,21054.5,481.186,341942,7630.42,310244,7074.33,743870,17537.4,1.33868e+06,31023.7,1.59884e+06,47153.6,1.41711e+06,32151.6,5.79863e+06,137476,17.1622,1.68815,1,0,17391.9,495.282,20403.9,398.974,347120,5894.79,315322,5271.74,756338,13253.7,1.36104e+06,23169.8,1.63647e+06,35561.3,1.4391e+06,23997.9,5.89253e+06,103991,0.212906,0.00201507,1243.96,10.6861,26.6508,0.224094,3369.55,8.16864,0.55553,0.00367421,8928.1,47.7305,0.180242,0.00215373,0.00628721,1067.92,11.7521,22.6616,0.242511,0.76972,3210.66,10.2965,1.3165,0.132921,16407.5,1082.17,0.909352,0.00644853,0.00682562,4988.47,8.04164,5.57612,0.0662633,1.20064,0.0127472,0.199323,0.00238265,0.00695548,1171.23,12.7933,37.3466,24.5024,0.263418,0.83608,3286.7,10.3757,32.9322,0.907953,0.00643869,0.00681521,4986.29,8.03376,8.50355,5.0547,0.0601508,0.175594,0.812209,0.447012,
NIST 610 - 2,14485.3,581.73,18616.8,491.642,302638,6988.74,274325,6520.91,654560,18193.1,1.18519e+06,28587.7,1.39868e+06,45966.5,1.25393e+06,29952.4,5.09422e+06,137621,17.0522,1.69166,1,0,14426.8,413.763,18132.5,371.528,307869,5000.37,279414,4496.28,670719,12299.4,1.20753e+06,19782.5,1.44302e+06,31704.1,1.27613e+06,20970.5,5.21729e+06,89263.4,0.214386,0.00242845,1251.68,12.8746,26.8096,0.25277,3376.19,9.4325,0.555543,0.00484358,8926.79,62.791,0.18149,0.00237063,0.00640273,1074.65,12.918,22.7885,0.254893,0.777577,3215.92,10.7665,1.29634,0.125277,16390.3,1068.46,0.90883,0.00784601,0.00815841,4967.38,9.32273,5.54317,0.0719197,1.19355,0.0150225,0.218083,0.00280814,0.00758439,1271.13,14.841,40.0836,26.1351,0.289397,0.882835,3349.59,10.7183,32.6973,0.91019,0.00785775,0.00817062,4969.51,9.3225,9.69369,4.6462,0.0596192,0.161023,0.759113,0.537948,
NIST 610 - 3,12729.1,474.691,17112.4,453.297,280596,6703.03,255289,5892.67,602376,15522,1.09971e+06,24383.3,1.29339e+06,36912.9,1.16032e+06,26158,4.73391e+06,109493,17.0522,1.69166,1,0,12673.6,376.843,16718.7,298.528,286556,4352,259242,4062.73,616563,9996.47,1.11947e+06,15928.9,1.32161e+06,25477.6,1.17965e+06,18282.7,4.81645e+06,76492.9,0.217435,0.00172875,1268.08,9.14879,27.077,0.168945,3385.6,6.10763,0.550619,0.00377159,8864.07,49.0446,0.183695,0.00230668,0.00644678,1086.7,12.5083,23.0412,0.278168,0.793136,3226.33,11.5206,1.31535,0.130225,16267,1037.91,0.905829,0.00524468,0.00569856,4981.26,14.3712,5.47298,0.0657243,1.18023,0.0126283,0.197317,0.00250609,0.00700411,1160.39,13.4313,37.5382,25.4059,0.308962,0.880938,3321.54,11.6492,33.2152,0.90884,0.00526203,0.0057174,4981.24,15.2972,16.621,5.09205,0.0618738,0.172927,0.881326,0.261726,
NIST 610 - 4,12231.8,474.499,16925.9,470.552,278322,6130.35,252153,5588.94,601785,15913.7,1.07232e+06,24480.5,1.28229e+06,36302.1,1.15264e+06,26085.7,4.67959e+06,107803,17.0522,1.69166,1,0,12350.5,343.051,16637.9,312.233,283364,3916.13,256827,3472.97,616503,10149.6,1.09244e+06,15771.8,1.31846e+06,23547.1,1.17332e+06,16756,4.77486e+06,67719.5,0.216175,0.00240462,1261.19,12.724,26.9893,0.227346,3381.91,8.15094,0.563974,0.00572122,9034.73,73.7535,0.183327,0.00262205,0.00655516,1084.56,14.2972,22.9821,0.274575,0.790098,3223.83,11.6084,1.35067,0.135826,16412.7,1037.13,0.906629,0.00738663,0.00771608,4970.61,15.1482,5.49543,0.080527,1.20439,0.0129422,0.206904,0.00287017,0.00717547,1213.61,15.8005,39.5014,25.9809,0.308983,0.889108,3343.46,11.6112,33.4115,0.909802,0.00741247,0.00774308,4972.41,15.3828,16.0689,4.84303,0.0707344,0.176837,0.823322,0.559822,
NIST 610 - 5,11471.9,481.453,15878.7,419.693,258685,6109.42,235456,5780.77,559938,14071.6,1.02631e+06,23368.8,1.21327e+06,34875.4,1.07004e+06,26030,4.38588e+06,111825,17.1622,1.68815,1,0,11607.4,345.123,15497.8,290.544,263647,3970.47,240720,3620.23,572936,8790.16,1.04434e+06,16247.3,1.24332e+06,24600.8,1.0933e+06,16030.9,4.48583e+06,71572,0.213424,0.00176774,1246.79,9.36998,26.7923,0.192088,3375.06,6.93374,0.549313,0.00401246,8846.74,52.3857,0.180588,0.00198275,0.00624147,1069.87,10.7923,22.7795,0.244773,0.774043,3215.71,10.2593,1.30441,0.132026,16294.7,1086.52,0.912226,0.00447452,0.00500585,4955.54,35.8705,5.5604,0.059035,1.18842,0.00921527,0.193711,0.00215401,0.00678057,1141.08,11.5928,36.4927,24.4551,0.265462,0.83947,3284.8,10.3917,32.8615,0.915225,0.00448923,0.00502231,4960.21,35.863,40.1216,5.19276,0.0558526,0.175817,0.899529,0.32136,
NIST 610 - 6,10600.3,465.081,15542.5,400.03,253122,6296.32,228320,5848.74,543159,14842.2,976712,25971.2,1.1613e+06,33148.5,1.04014e+06,26247.9,4.22925e+06,108222,17.0641,1.68873,1,0,10766.2,322.42,15157.3,300.64,258718,4144.74,233644,3785.68,556138,10245.2,999418,17876.7,1.18992e+06,23338.2,1.06367e+06,16562.3,4.32752e+06,68362.3,0.218448,0.00243528,1273.21,12.862,27.1779,0.319558,3389.01,11.7279,0.557379,0.00658502,8947.71,84.7905,0.185507,0.00279006,0.00668903,1096.35,15.1505,23.1565,0.351548,0.825111,3229.69,14.8031,1.29616,0.125552,16374.5,1071.35,0.903836,0.0108385,0.0110643,4938.74,24.4694,5.4343,0.0818065,1.19029,0.0174558,0.189522,0.00287721,0.00689795,1118.11,15.5703,37.3289,23.4575,0.360061,0.845091,3242.18,14.9707,35.1373,0.907223,0.0108791,0.0111057,4939.03,25.5347,26.0666,5.30184,0.0805767,0.193179,0.700013,0.375909,
