,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,PbTotal_mean,PbTotal_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,PbTotal_CPS_mean,PbTotal_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
GQ5_5
GQ5_5-10,8.6594e+06,570757,519.366,25.5875,2701.06,164.038,700.983,43.8207,1626.4,110.955,378.579,37.7423,2038.13,122.774,5551.54,305.172,8.67293e+06,571435,17.0522,1.69166,1,0,9.33951e+06,478889,16.4777,26.9479,2910.71,128.503,752.892,35.0857,1743.56,96.0357,407.102,37.5935,2203.81,92.9603,5425.23,236.638,9.35297e+06,479367,1.33721,0.0425297,5450,121.978,48.1449,1.96242,3935.21,41.0923,5.70215,0.73333,35114.2,1887.44,1.14819,0.044137,0.0579995,4880.47,133.271,41.3043,1.81453,2.25064,3767.09,46.0375,12.3796,1.78636,47773.5,2208.01,0.261148,0.0082809,0.00830579,3226.39,52.2569,0.910646,0.0358614,7.0601,0.839903,1.2807,0.0491565,0.0645955,5261.37,139.953,183.909,46.753,2.05269,2.54604,3889.94,46.148,57.2394,0.265419,0.00841634,0.00844164,3252,52.1498,52.3065,0.812802,0.0319528,0.0419884,0.691167,0.182566,
GQ5_5-11,8.79175e+06,560134,476.291,25.6514,1616.35,81.5668,380.436,23.5339,961.331,65.302,205.163,26.2421,1512.1,82.1707,3444.75,146.948,8.80039e+06,560408,17.0522,1.69166,1,0,9.46495e+06,466446,-14.1528,26.2748,1710.87,59.9372,398.884,20.0001,1011.15,61.1906,220.419,26.9861,1607.51,67.9682,3106.67,115.163,9.47306e+06,466580,1.10337,0.0431104,4745.81,130.89,35.1515,1.74668,3612.09,50.5466,-20908.7,10292.5,34195.9,1913.48,0.938023,0.0429247,0.0527968,4225.96,145.56,30.1379,1.68917,1.94863,3451.17,57.4982,-43624.4,20853.5,46895.4,2335.02,0.233152,0.0085671,0.00858629,3035.79,62.3833,1.12613,0.0519187,-35526.4,16234.8,1.05066,0.0480154,0.0590584,4584.34,153.955,189.362,34.2028,1.91598,2.21028,3575.41,57.704,66.5675,0.236969,0.00870735,0.00872685,3061.85,62.2437,62.383,1.00107,0.0460855,0.0566846,0.73493,0.152245,
GQ5_5-12,8.63443e+06,557319,551.625,25.8954,7611.51,483.047,1938.74,127.063,4077.03,285.873,498.731,54.3272,5784.86,393.365,14183.7,880.127,8.66908e+06,559435,17.0522,1.69166,1,0,9.31403e+06,459773,66.7977,27.2288,8213.91,390.624,2088.76,105.549,4397.44,245.748,540.593,53.9688,6245.92,334.1,14769.1,717.972,9.35036e+06,461470,1.33046,0.0234869,5450.55,66.4001,46.6217,1.0232,3917.22,21.3784,11.3145,1.35828,47484.1,1824.93,1.12861,0.0234626,0.0438003,4856.11,71.2572,39.5354,0.958306,1.59456,3755.2,24.1192,30.4223,5.97476,61619.7,2834.44,0.253824,0.00467545,0.00471697,3197.43,29.0283,0.89764,0.0187438,16.1454,1.9329,1.26814,0.0263227,0.0491397,5263.9,75.0522,140.109,44.935,1.08873,1.81157,3882.14,24.1823,40.2377,0.257984,0.00475207,0.00479427,3223.12,28.9689,29.2261,0.795623,0.0165839,0.0309591,0.676165,0.189712,
GQ5_5-13,8.53034e+06,568682,498.407,24.9977,1004.42,60.4593,246.05,17.4156,580.661,54.2615,22.2222,6.67903,521.166,39.7447,2336.72,120.772,8.53556e+06,568917,17.0522,1.69166,1,0,9.20808e+06,477276,14.2536,26.3617,1072.76,45.2051,262.754,14.823,617.561,53.1493,22.0543,6.97011,558.304,34.1602,1976.4,100.431,9.21262e+06,477446,2.0422,0.101864,7050.8,208.324,68.9517,4.39799,4250.79,65.7526,-5797.94,1068.93,39685.4,3186.94,1.7295,0.0840944,0.101411,6366.27,196.81,58.5662,3.6371,4.09791,4087.67,65.5155,-11706.8,1707.34,50645.2,3233.4,0.243508,0.0110991,0.0111153,3107.9,76.8632,0.607294,0.0305412,-5712.67,974.767,1.94714,0.0946711,0.114166,6882.54,213.915,257.966,66.5853,4.13507,4.65896,4215.61,65.6748,73.9955,0.247503,0.0112812,0.0112976,3133.89,76.6913,76.803,0.537241,0.0270137,0.0325765,0.744862,0.216347,
GQ5_5-14,8.17263e+06,560003,532.063,25.2041,763.274,52.9873,205.664,17.14,438.971,46.0018,54.8387,13.1835,453.61,38.6421,1953.58,110.976,8.17711e+06,560191,17.0522,1.69166,1,0,8.82909e+06,475532,40.8705,26.0394,823.911,44.5152,216.389,15.5556,473.186,44.606,59.7557,14.093,491.358,36.0461,1562.37,101.214,8.83285e+06,475668,1.77887,0.152076,6383.42,356.847,66.884,6.99459,4102.63,121.648,-2757.9,500.464,28662.4,3125.64,1.54574,0.149346,0.157703,5789.71,376.915,58.6505,6.75522,7.01482,3940.79,129.692,-5308.96,1157.68,40891.5,4481.96,0.268739,0.0157884,0.0158022,3188.46,101.27,0.869256,0.0814414,-3005.35,578.319,1.74155,0.168259,0.177675,6237.61,393.997,416.044,66.6302,7.67626,7.97124,4066.85,130.14,135.141,0.273153,0.0160476,0.0160617,3214.38,101.036,101.125,0.768354,0.0719861,0.0760143,0.903303,-0.217988,
GQ5_5-15,8.34656e+06,563736,500.978,24.8756,2228.78,151.708,551.348,44.7226,1259.8,90.9605,496.067,59.1335,2186.53,226.296,4580.67,292.435,8.3599e+06,563746,17.1622,1.68815,1,0,8.97949e+06,476038,12.665,26.2548,2359.06,142.552,579.82,44.4289,1327.46,88.7393,520.67,62.0806,2289.91,235.337,4313.59,281.393,8.99253e+06,475700,1.09648,0.0422808,4742.01,134.639,36.7896,1.89326,3667,51.8131,3.77776,0.517434,28554.7,1771.92,0.926195,0.0395826,0.0498806,4197.26,130.256,31.7019,1.80382,2.07319,3515.02,53.4033,8.71814,1.33489,40845.6,2340.99,0.245989,0.00897758,0.00899796,3117.25,57.2524,1.12473,0.050499,5.93309,0.742844,1.04297,0.0445839,0.0561831,4590.45,143.098,180.327,35.9403,2.04588,2.3514,3638.45,53.6318,61.6409,0.250033,0.00912515,0.00914587,3143.22,57.1294,57.2591,0.994569,0.0446696,0.0562911,0.716679,0.0824441,
GQ5_5-16,8.19899e+06,539516,525.173,25.1277,4061.67,313.102,1087.13,81.8622,2293.84,183.59,344.164,51.4596,3157.31,381.886,7971.17,567.106,8.2188e+06,541042,17.0641,1.68873,1,0,8.80916e+06,453167,32.8524,26.5648,4366.67,283.735,1166.26,73.438,2466.11,168.716,370.302,53.4387,3408.77,386.021,8029.78,509.433,8.82938e+06,454592,1.42209,0.061073,5643.67,171.131,52.9563,2.57879,4023.41,50.4166,-482.787,394.201,43455.3,1904.91,1.18898,0.0440375,0.0588009,5036.35,130.061,44.4726,1.93026,2.40441,3858.88,43.655,-1915.58,1413.3,56491.7,2976.28,0.270311,0.00665349,0.00668665,3288.15,38.6362,0.854273,0.0326149,-591.832,481.264,1.33627,0.049467,0.0660506,5452.7,137.462,183.545,50.253,2.17977,2.71521,3980.29,43.7501,54.4969,0.274759,0.006763,0.0067967,3313.77,38.5594,38.7515,0.756618,0.028864,0.0385406,0.807188,-0.0497398,
GQ5_5-17,8.09448e+06,568162,542.64,25.0041,4537.45,294.695,1135.74,69.8927,2477.19,160.918,261.595,46.1109,3388.13,380.904,8693.02,507.066,8.11602e+06,569600,17.0641,1.68873,1,0,8.69655e+06,496298,37.6423,26.3516,4873.52,244.715,1215.71,56.6432,2658.5,135.333,282.066,48.4995,3728.66,405.485,8781.58,410.528,8.71857e+06,497553,1.41643,0.0584226,5632.22,168.449,49.5715,2.37563,3953.71,54.6892,4143.71,2180.94,69815.7,9632.74,1.18644,0.0447912,0.0593128,5007.65,138.112,41.6762,1.87657,2.30791,3788.89,48.3076,10776.2,5793.84,84044.2,10253,0.253471,0.00679395,0.00682251,3182.63,43.1292,0.85904,0.0348714,4310.8,2257.01,1.32903,0.0501597,0.0664218,5410.07,145.885,193.182,46.8896,2.11073,2.5959,3905.77,48.4296,59.5615,0.257646,0.00690587,0.00693491,3208.5,43.0384,43.2194,0.763087,0.0309399,0.0409708,0.796604,-0.116053,
GQ5_5-18,7.9883e+06,574994,507.703,25.5335,3219.58,208.719,837.211,58.052,1772.58,137.365,75.4967,13.0701,1697.05,113.777,6337.08,393.628,8.00276e+06,575845,17.278,1.69334,1,0,8.5734e+06,512187,2.15952,26.3883,3457.67,172.739,896.433,50.3611,1902.29,126.129,80.4615,13.7383,1824.22,95.8254,6255.92,334.836,8.58784e+06,512888,1.91815,0.0453715,6875.95,100.266,68.7397,2.32419,4293.92,33.5896,-5972.87,1605.61,54000.7,2379.09,1.6239,0.0442366,0.0692026,6198.63,111.412,58.4911,2.12566,2.84141,4124.41,37.7241,-14262.1,3268.03,67476.1,2670.31,0.259899,0.00693928,0.00696868,3228.58,42.0609,0.631191,0.0180182,-6076.38,1568.25,1.81061,0.0494539,0.0773644,6639.28,116.291,181.924,65.4563,2.38268,3.18498,4236.65,37.8622,50.6113,0.264183,0.00705368,0.00708357,3254.37,41.9736,42.1514,0.56318,0.0161144,0.0252089,0.66779,0.0602729,
GQ5_5-19,8.40454e+06,574720,533.238,27.9349,4770.88,297.174,1251.68,78.5041,2610.63,174.182,204.607,27.9377,3492.1,271.494,9166.43,537.444,8.42682e+06,576047,17.1622,1.68815,1,0,9.02251e+06,497613,29.6938,29.3287,5113.86,244.623,1338.44,65.4056,2802.53,147.113,219.851,28.8056,3751.64,249.928,9281.98,436.645,9.0453e+06,498702,1.38697,0.0365361,5580.68,101.744,50.1738,1.68561,3979.67,35.1253,-2502.82,1056.18,51892.3,2080.84,1.16679,0.0291506,0.0480818,4963.6,87.9003,42.2225,1.38356,1.94082,3814.44,32.3678,-6216.83,2970.05,64783.4,2878.93,0.26381,0.00588103,0.00591674,3253.25,35.2918,0.877827,0.023981,-3358.34,1394.04,1.29273,0.0323317,0.0533289,5325.72,92.2183,152.108,46.9348,1.53826,2.15783,3919.43,32.4529,45.5242,0.268164,0.00597809,0.00601438,3279.02,35.2203,35.4342,0.787798,0.0215241,0.0355025,0.742845,0.0375497,
