tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	volume
This study	Hmt	2.1	329.2	12.5	12.1	2	11	100.0	jk.10a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:56:47	u	Ironstone	955.0	903.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.10a	pmagpy-4.2.109: demag_gui	jk.10a	
This study	Mgt	48.4	304.1	-53.9	2.9	2	11	0.0	jk.10a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:56:47	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.10a	pmagpy-4.2.109: demag_gui	jk.10a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.10a		jk.10a	
This study	Mgt	48.4	242.5	-52.4	2.9	2	11	100.0	jk.10a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:56:47	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.10a	pmagpy-4.2.109: demag_gui	jk.10a	
This study	Hmt	2.1	312.8	43.8	12.1	2	11	0.0	jk.10a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 18:56:47	u	Ironstone	955.0	903.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.10a	pmagpy-4.2.109: demag_gui	jk.10a	
This study	Hmt	2.9	80.9	-52.3	5.1	2	9	0.0	jk.11a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:15:46	u	Ironstone	959.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.11a	pmagpy-4.2.109: demag_gui	jk.11a	
This study	Mgt	11.7	78.1	-33.9	8.4	2	1	0.0	jk.11a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:15:46	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.11a	pmagpy-4.2.109: demag_gui	jk.11a	
This study	Hmt	2.9	58.8	-35.2	5.1	2	9	100.0	jk.11a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:15:46	u	Ironstone	959.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.11a	pmagpy-4.2.109: demag_gui	jk.11a	
This study	Mgt	11.7	66.5	-18.0	8.4	2	1	100.0	jk.11a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:15:46	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.11a	pmagpy-4.2.109: demag_gui	jk.11a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.11a		jk.11a	
This study	Mgt	17.4	268.2	-39.6	4.3	1	9	0.0	jk.12a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 09:41:40	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.12a	pmagpy-4.2.109: demag_gui	jk.12a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.12a		jk.12a	
This study	Mgt	17.4	313.1	-49.9	4.3	1	9	100.0	jk.12a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 09:41:40	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.12a	pmagpy-4.2.109: demag_gui	jk.12a	
This study	Hmt	2.6	20.8	61.1	3.5	2	9	0.0	jk.13a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:16:56	u	Ironstone	959.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.13a	pmagpy-4.2.109: demag_gui	jk.13a	
This study	Mgt	27.4	95.5	64.9	16.4	2	1	0.0	jk.13a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:16:56	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.13a	pmagpy-4.2.109: demag_gui	jk.13a	
This study	Hmt	2.6	17.7	26.2	3.5	2	9	100.0	jk.13a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:16:56	u	Ironstone	959.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.13a	pmagpy-4.2.109: demag_gui	jk.13a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.13a		jk.13a	
This study	Mgt	27.4	50.3	44.9	16.4	2	1	100.0	jk.13a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:16:56	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.13a	pmagpy-4.2.109: demag_gui	jk.13a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.14a		jk.14a	
This study	Hmt	1.0	293.6	-53.7	3.2	2	5	0.0	jk.15a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:25:42	u	Ironstone	951.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.15a	pmagpy-4.2.109: demag_gui	jk.15a	
This study	Mgt	6.0	294.3	-41.3	6.4	2	7	0.0	jk.15a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:25:42	u	Ironstone	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.15a	pmagpy-4.2.109: demag_gui	jk.15a	
This study	Hmt	1.0	243.5	-40.8	3.2	2	5	100.0	jk.15a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:25:42	u	Ironstone	951.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.15a	pmagpy-4.2.109: demag_gui	jk.15a	
