tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	volume
This study	Mgt	6.0	257.5	-35.1	6.4	2	7	100.0	jk.15a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:25:42	u	Ironstone	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.15a	pmagpy-4.2.109: demag_gui	jk.15a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.15a		jk.15a	
This study	Mgt	3.0	196.0	-44.4	12.5	2	9	0.0	jk.16a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:26:49	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.16a	pmagpy-4.2.109: demag_gui	jk.16a	
This study	Hmt	2.0	205.3	-74.9	2.0	2	6	100.0	jk.16a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:26:49	u	Ironstone	953.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.16a	pmagpy-4.2.109: demag_gui	jk.16a	
This study	Hmt	2.0	199.9	-53.0	2.0	2	6	0.0	jk.16a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:26:49	u	Ironstone	953.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.16a	pmagpy-4.2.109: demag_gui	jk.16a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.16a		jk.16a	
This study	Mgt	3.0	196.2	-66.4	12.5	2	9	100.0	jk.16a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:26:49	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.16a	pmagpy-4.2.109: demag_gui	jk.16a	
This study	Hmt	9.1	320.0	58.4	21.8	2	9	0.0	jk.18a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:27:57	u	Ironstone	953.0	923.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.18a	pmagpy-4.2.109: demag_gui	jk.18a	
This study	Hmt	9.1	352.7	10.7	21.8	2	9	100.0	jk.18a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:27:57	u	Ironstone	953.0	923.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.18a	pmagpy-4.2.109: demag_gui	jk.18a	
This study	Mgt	13.3	19.5	-6.9	4.0	2	11	100.0	jk.18a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:27:57	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.18a	pmagpy-4.2.109: demag_gui	jk.18a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.18a		jk.18a	
This study	Mgt	13.3	19.0	54.1	4.0	2	11	0.0	jk.18a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:27:57	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.18a	pmagpy-4.2.109: demag_gui	jk.18a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.19a		jk.19a	
This study	Mgt	18.0	257.2	-44.3	4.2	2	8	0.0	jk.19a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 08:40:02	u	Ironstone	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.19a	pmagpy-4.2.109: demag_gui	jk.19a	
This study	Mgt	18.0	290.6	-57.5	4.2	2	8	100.0	jk.19a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 08:40:02	u	Ironstone	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.19a	pmagpy-4.2.109: demag_gui	jk.19a	
This study	Hmt	2.7	351.8	-69.5	8.8	2	6	100.0	jk.19a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 08:40:02	u	Ironstone	953.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.19a	pmagpy-4.2.109: demag_gui	jk.19a	
This study	Hmt	2.7	254.6	-72.6	8.8	2	6	0.0	jk.19a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 08:40:02	u	Ironstone	953.0	943.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.19a	pmagpy-4.2.109: demag_gui	jk.19a	
This study	Mgt	2.3	275.7	-48.1	4.3	2	1	0.0	jk.20a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:18:04	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.20a	pmagpy-4.2.109: demag_gui	jk.20a	
This study	Hmt	6.4	315.8	-2.3	8.0	2	7	100.0	jk.20a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:18:04	u	Ironstone	959.0	947.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.20a	pmagpy-4.2.109: demag_gui	jk.20a	
This study	Mgt	2.3	314.8	-2.6	4.3	2	1	100.0	jk.20a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:18:04	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.20a	pmagpy-4.2.109: demag_gui	jk.20a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.20a		jk.20a	
This study	Hmt	6.4	276.5	-49.0	8.0	2	7	0.0	jk.20a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:18:04	u	Ironstone	959.0	947.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.20a	pmagpy-4.2.109: demag_gui	jk.20a	
This study	Hmt	0.5	339.2	-79.3	4.8	2	13	0.0	jk.21a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:21:17	u	Ironstone	959.0	913.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.21a	pmagpy-4.2.109: demag_gui	jk.21a	
This study	Mgt	15.3	216.8	-80.9	15.1	2	1	0.0	jk.21a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:21:17	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.21a	pmagpy-4.2.109: demag_gui	jk.21a	
This study	Hmt	0.5	358.9	-16.2	4.8	2	13	100.0	jk.21a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:21:17	u	Ironstone	959.0	913.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.21a	pmagpy-4.2.109: demag_gui	jk.21a	
This study	Mgt	15.3	357.4	-33.5	15.1	2	1	100.0	jk.21a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:21:17	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.21a	pmagpy-4.2.109: demag_gui	jk.21a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.21a		jk.21a	
This study	Mgt	2.8	97.4	7.3	7.5	2	1	0.0	jk.22a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:22:25	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.22a	pmagpy-4.2.109: demag_gui	jk.22a	
This study	Hmt	0.0	66.4	12.7	6.6	2	11	100.0	jk.22a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:22:25	u	Ironstone	959.0	923.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.22a	pmagpy-4.2.109: demag_gui	jk.22a	
This study	Mgt	2.8	87.8	8.8	7.5	2	1	100.0	jk.22a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:22:25	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.22a	pmagpy-4.2.109: demag_gui	jk.22a	
This study	Hmt	0.0	90.9	27.8	6.6	2	11	0.0	jk.22a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:22:25	u	Ironstone	959.0	923.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.22a	pmagpy-4.2.109: demag_gui	jk.22a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.22a		jk.22a	
This study	Mgt	25.4	134.4	-15.7	6.6	2	11	0.0	jk.23a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:23:35	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.23a	pmagpy-4.2.109: demag_gui	jk.23a	
This study	Mgt	25.4	125.9	35.7	6.6	2	11	100.0	jk.23a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:23:35	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.23a	pmagpy-4.2.109: demag_gui	jk.23a	
This study	Hmt	0.0	65.0	20.1	2.4	2	9	100.0	jk.23a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:23:35	u	Ironstone	957.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.23a	pmagpy-4.2.109: demag_gui	jk.23a	
This study	Hmt	0.0	93.9	22.6	2.4	2	9	0.0	jk.23a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:23:35	u	Ironstone	957.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.23a	pmagpy-4.2.109: demag_gui	jk.23a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.23a		jk.23a	
This study	Hmt	0.0	147.4	39.4	6.9	2	7	100.0	jk.24a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 08:49:00	u	Ironstone	955.0	943.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.24a	pmagpy-4.2.109: demag_gui	jk.24a	
This study	Mgt	6.2	80.4	-1.0	9.0	2	8	0.0	jk.24a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 08:49:00	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.24a	pmagpy-4.2.109: demag_gui	jk.24a	
This study	Hmt	0.0	46.0	56.9	6.9	2	7	0.0	jk.24a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 08:49:00	u	Ironstone	955.0	943.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.24a	pmagpy-4.2.109: demag_gui	jk.24a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.24a		jk.24a	
This study	Mgt	6.2	84.9	7.4	9.0	2	8	100.0	jk.24a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 08:49:00	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.24a	pmagpy-4.2.109: demag_gui	jk.24a	
This study	Hmt	0.0	69.9	31.9	4.0	2	12	0.0	jk.25a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:24:48	u	Ironstone	953.0	893.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.25a	pmagpy-4.2.109: demag_gui	jk.25a	
This study	Mgt	48.5	221.3	-61.8	9.4	2	11	0.0	jk.25a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:24:48	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.25a	pmagpy-4.2.109: demag_gui	jk.25a	
This study	Hmt	0.0	53.8	-1.2	4.0	2	12	100.0	jk.25a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:24:48	u	Ironstone	953.0	893.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.25a	pmagpy-4.2.109: demag_gui	jk.25a	
This study	Mgt	48.5	199.4	-6.2	9.4	2	11	100.0	jk.25a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:24:48	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.25a	pmagpy-4.2.109: demag_gui	jk.25a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.25a		jk.25a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.26a		jk.26a	
This study	Hmt	0.0	271.3	-5.6	12.6	2	9	100.0	jk.27a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:42:08	u	Ironstone	953.0	923.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.27a	pmagpy-4.2.109: demag_gui	jk.27a	
This study	Mgt	22.9	230.6	72.4	10.0	2	9	0.0	jk.27a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:42:08	u	Ironstone	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.27a	pmagpy-4.2.109: demag_gui	jk.27a	
This study	Hmt	0.0	268.7	10.5	12.6	2	9	0.0	jk.27a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:42:08	u	Ironstone	953.0	923.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.27a	pmagpy-4.2.109: demag_gui	jk.27a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.27a		jk.27a	
This study	Mgt	22.9	325.0	37.8	10.0	2	9	100.0	jk.27a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:42:08	u	Ironstone	853.0	798.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.27a	pmagpy-4.2.109: demag_gui	jk.27a	
This study	Mgt	33.2	27.6	0.8	7.6	2	1	0.0	jk.28a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:26:15	u	Ironstone	848.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.28a	pmagpy-4.2.109: demag_gui	jk.28a	
This study	Hmt	0.0	78.6	43.5	8.6	2	12	0.0	jk.28a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:26:15	u	Ironstone	959.0	893.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.28a	pmagpy-4.2.109: demag_gui	jk.28a	
This study	Mgt	33.2	44.3	-38.2	7.6	2	1	100.0	jk.28a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:26:15	u	Ironstone	848.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.28a	pmagpy-4.2.109: demag_gui	jk.28a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.28a		jk.28a	
This study	Hmt	0.0	37.5	23.6	8.6	2	12	100.0	jk.28a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 15:26:15	u	Ironstone	959.0	893.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.28a	pmagpy-4.2.109: demag_gui	jk.28a	
This study	Hmt	0.0	126.7	4.3	22.7	2	12	0.0	jk.29a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-22 13:26:50	u	Ironstone	959.0	923.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.29a	pmagpy-4.2.109: demag_gui	jk.29a	
This study	Mgt	5.6	129.1	-47.5	14.1	2	9	0.0	jk.29a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-22 13:26:50	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.29a	pmagpy-4.2.109: demag_gui	jk.29a	
This study	Mgt	5.6	141.7	4.1	14.1	2	9	100.0	jk.29a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-22 13:26:50	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.29a	pmagpy-4.2.109: demag_gui	jk.29a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.29a		jk.29a	
This study	Hmt	0.0	104.7	44.5	22.7	2	12	100.0	jk.29a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-22 13:26:50	u	Ironstone	959.0	923.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.29a	pmagpy-4.2.109: demag_gui	jk.29a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.30a		jk.30a	
This study	Mgt	4.5	104.9	59.6	11.7	2	1	0.0	jk.30a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 12:20:27	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.30a	pmagpy-4.2.109: demag_gui	jk.30a	
This study	Hmt	0.0	344.6	15.3	10.2	2	13	100.0	jk.30a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 12:20:27	u	Ironstone	957.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.30a	pmagpy-4.2.109: demag_gui	jk.30a	
This study	Mgt	4.5	21.6	42.0	11.7	2	1	100.0	jk.30a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 12:20:27	u	Ironstone	853.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.30a	pmagpy-4.2.109: demag_gui	jk.30a	
This study	Hmt	0.0	343.1	73.3	10.2	2	13	0.0	jk.30a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 12:20:27	u	Ironstone	957.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.30a	pmagpy-4.2.109: demag_gui	jk.30a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.31a		jk.31a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.35a		jk.35a	
This study	Hmt	0.0	319.7	54.3	14.4	2	1	0.0	jk.35a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:48:10	u	Ironstone	953.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.35a	pmagpy-4.2.109: demag_gui	jk.35a	
This study	Mgt	89.3	65.3	-14.8	14.9	2	9	0.0	jk.35a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:48:10	u	Ironstone	848.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.35a	pmagpy-4.2.109: demag_gui	jk.35a	
This study	Hmt	0.0	258.3	42.0	14.4	2	1	100.0	jk.35a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:48:10	u	Ironstone	953.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.35a	pmagpy-4.2.109: demag_gui	jk.35a	
This study	Mgt	89.3	68.5	26.3	14.9	2	9	100.0	jk.35a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-20 14:48:10	u	Ironstone	848.0	773.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.35a	pmagpy-4.2.109: demag_gui	jk.35a	
This study	Hmt	0.0	318.4	47.2	7.4	2	11	0.0	jk.36a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 10:02:40	u	Ironstone	953.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	jk.36a	pmagpy-4.2.109: demag_gui	jk.36a	
This study	Mgt	14.2	264.6	86.7	5.8	2	1	0.0	jk.36a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 10:02:40	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	jk.36a	pmagpy-4.2.109: demag_gui	jk.36a	
This study	Mgt	14.2	168.4	22.5	5.8	2	1	100.0	jk.36a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 10:02:40	u	Ironstone	853.0	723.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	jk.36a	pmagpy-4.2.109: demag_gui	jk.36a	
This study										Metamorphic	Sediment Layer			Ironstone				LP-NOMAG	g	jk.36a		jk.36a	
This study	Hmt	0.0	198.8	57.0	7.4	2	11	100.0	jk.36a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 10:02:40	u	Ironstone	953.0	903.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.36a	pmagpy-4.2.109: demag_gui	jk.36a	
This study	Hmt	0.0	321.8	8.5	9.2	1	7	100.0	jk.37a_LP-DIR-T	Metamorphic	Sediment Layer	hargrave 2024-03-21 13:01:41	u	Ironstone	957.0	943.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	jk.37a	pmagpy-4.2.109: demag_gui	jk.37a	
