THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
0.3,Chocolay,Chocolay,,Chocolay
0.3,Siamo,Siamo,,Siamo
0.2,Negaunee,Negaunee,,Negaunee
0.08,IF,IF,,Negaunee
0.03,Ore,Ore,,Negaunee
0.02,IF Cong,IF Cong,,Goodrich
0.28,Conglomerate,Conglomerate,,Goodrich
0.3,Michigamme,Michigamme,,Michigamme
