facies,R,G,B,width,swatch
IF,222,45,38,0.5,1
Ore,222,45,38,0.5,733
Siamo,50,163,84,0.5,703
Conglomerate,245,244,187,0.5,602
IF Cong,222,45,38,0.5,602
Negaunee,130,130,130,0.5,0
Michigamme,44,127,185,0.5,703
Chocolay,190,179,152,0.5,673
