tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
GQ.16a	GQ.16a_LP-DIR-T	GQ.16a		Hmt	21.0	-30.7	1	17	0	0.0	7.5	963	903	K		hargrave 2024-05-09 14:04:41	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.16a		GQ.16a																	This study			1.1e-05		Goodrich Quartzite	GQ
GQ.17a	GQ.17a_LP-DIR-T	GQ.17a		Mgt	114.1	-71.1	2	5	0	1.4	3.9	853	833	K		hargrave 2024-05-09 11:43:36	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.17a	GQ.17a_LP-DIR-T	GQ.17a		Mgt	205.7	-76.2	2	5	100	1.4	3.9	853	833	K		hargrave 2024-05-09 11:43:36	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.17a	GQ.17a_LP-DIR-T	GQ.17a		Hmt	242.9	-75.7	2	11	100	0.0	3.3	957	913	K		hargrave 2024-05-09 11:43:36	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.17a	GQ.17a_LP-DIR-T	GQ.17a		Hmt	98.5	-79.2	2	11	0	0.0	3.3	957	913	K		hargrave 2024-05-09 11:43:36	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.17a		GQ.17a																	This study			2.4e-05		Goodrich Quartzite	GQ
GQ.18a		GQ.18a																	This study			9e-06		Goodrich Quartzite	GQ
GQ.19a		GQ.19a																	This study			2.1e-05		Goodrich Quartzite	GQ
GQ.19a	GQ.19a_LP-DIR-T	GQ.19a		Mgt	283.1	47.5	2	10	0	2.3	7.7	853	723	K		hargrave 2024-05-06 17:56:20	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.19a	GQ.19a_LP-DIR-T	GQ.19a		Hmt	271.1	70.8	2	11	100	0.0	10.6	947	873	K		hargrave 2024-05-06 17:56:20	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.19a	GQ.19a_LP-DIR-T	GQ.19a		Mgt	305.8	67.4	2	10	100	2.3	7.7	853	723	K		hargrave 2024-05-06 17:56:20	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.19a	GQ.19a_LP-DIR-T	GQ.19a		Hmt	264.4	47.1	2	11	0	0.0	10.6	947	873	K		hargrave 2024-05-06 17:56:20	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.1a		GQ.1a																	This study			1.3e-05		Goodrich Quartzite	GQ
GQ.1a	GQ.1a_LP-DIR-T	GQ.1a		Hmt	341.5	28.6	2	15	100	0.0	8.5	961	903	K		hargrave 2024-05-09 13:59:04	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.1a	GQ.1a_LP-DIR-T	GQ.1a		Mgt	319.2	41.0	2	6	100	15.8	17.4	853	823	K		hargrave 2024-05-09 13:59:04	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.1a	GQ.1a_LP-DIR-T	GQ.1a		Hmt	329.9	23.3	2	15	0	0.0	8.5	961	903	K		hargrave 2024-05-09 13:59:04	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.1a	GQ.1a_LP-DIR-T	GQ.1a		Mgt	305.9	26.8	2	6	0	15.8	17.4	853	823	K		hargrave 2024-05-09 13:59:04	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
