tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az
GQ.10a	g		-5.0	438.2	24.0		46.4	-87.6				
GQ.11a	g		-103.0	438.2	24.0		46.4	-87.6				
GQ.12a	g		-67.0	438.2	24.0		46.4	-87.6				
GQ.14a	g		-76.0	438.2	24.0		46.4	-87.6				
GQ.15a	g		-69.0	438.2	24.0		46.4	-87.6				
GQ.16a	g		-74.0	438.2	24.0		46.4	-87.6				
GQ.17a	g		-56.0	438.2	24.0		46.4	-87.6				
GQ.18a	g		-68.0	438.2	24.0		46.4	-87.6				
GQ.19a	g		-10.0	438.2	24.0		46.4	-87.6				
GQ.1a	g		-15.0	438.2	24.0		46.4	-87.6				
GQ.20a	g		-81.0	438.2	24.0		46.4	-87.6				
GQ.21a	g		-54.0	438.2	24.0		46.4	-87.6				
GQ.23a	g		-73.0	438.2	24.0		46.4	-87.6				
GQ.24a	g		-4.0	438.2	24.0		46.4	-87.6				
GQ.25a	g		-18.0	438.2	24.0		46.4	-87.6				
GQ.26a	g		-61.0	438.2	24.0		46.4	-87.6				
GQ.27a	g		-79.0	438.2	24.0		46.4	-87.6				
GQ.28a	g		-33.0	438.2	24.0		46.4	-87.6				
GQ.29a	g		-67.0	438.2	24.0		46.4	-87.6				
GQ.2a	g		-75.0	438.2	24.0		46.4	-87.6				
GQ.30a	g		-69.0	438.2	24.0		46.4	-87.6				
GQ.31a	g		-52.0	438.2	24.0		46.4	-87.6				
GQ.3a	g		-18.0	438.2	24.0		46.4	-87.6				
GQ.4a	g		-97.0	438.2	24.0		46.4	-87.6				
GQ.5a	g		-76.0	438.2	24.0		46.4	-87.6				
GQ.6a	g		-94.0	438.2	24.0		46.4	-87.6				
GQ.7a	g		-84.0	438.2	24.0		46.4	-87.6				
GQ.8a	g		-83.0	438.2	24.0		46.4	-87.6				
GQ.9a	g		-82.0	438.2	24.0		46.4	-87.6				
